REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PL4-65
PATNUM:,2622E
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20011130
LOWFRQ:, 6425 
HGHFRQ:, 7125 
GUNITS:,DBI/DBR
LWGAIN:,35.8
MDGAIN:,36.3
HGGAIN:,36.7
AZWIDT:,2.5
ELWIDT:,2.5
ATVSWR:,1.08
FRTOBA:,43
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:, 39 
-180.00,-43.00,
-170.01,-43.00,
-170.00,-50.00,
-140.00,-50.00,
-107.50,-37.00,
-55.00,-35.00,
-25.00,-35.00,
-15.01,-33.00,
-15.00,-31.00,
-10.30,-31.00,
-7.60,-22.60,
-4.30,-22.60,
-4.00,-20.00,
-3.40,-20.00,
-3.00,-15.00,
-2.00,-6.00,
-1.50,-2.90,
-1.00,-0.90,
-0.50,-0.30,
0.00,0.00,
0.50,-0.30,
1.00,-0.90,
1.50,-2.90,
2.00,-6.00,
3.00,-15.00,
3.40,-20.00,
4.00,-20.00,
4.30,-22.60,
7.60,-22.60,
10.30,-31.00,
15.00,-31.00,
15.01,-33.00,
25.00,-35.00,
55.00,-35.00,
107.50,-37.00,
140.00,-50.00,
170.00,-50.00,
170.01,-43.00,
180.00,-43.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:, 15 
-180.00,-55.00,
-114.00,-55.00,
-89.90,-46.00,
-33.50,-46.00,
-15.00,-42.80,
-3.90,-42.80,
-2.60,-30.00,
0.00,-30.00,
2.60,-30.00,
3.90,-42.80,
15.00,-42.80,
33.50,-46.00,
89.90,-46.00,
114.00,-55.00,
180.00,-55.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:, 41 
-180.00,-48.00,
-170.01,-48.00,
-170.00,-54.00,
-150.00,-54.00,
-130.00,-52.00,
-100.00,-37.00,
-90.00,-37.00,
-50.00,-41.80,
-17.50,-26.30,
-9.00,-26.30,
-8.00,-25.70,
-7.30,-23.70,
-5.50,-23.70,
-4.00,-20.00,
-3.40,-20.00,
-3.00,-15.00,
-2.00,-6.00,
-1.50,-2.90,
-1.00,-0.90,
-0.50,-0.30,
0.00,0.00,
0.50,-0.30,
1.00,-0.90,
1.50,-2.90,
2.00,-6.00,
3.00,-15.00,
3.40,-20.00,
4.00,-20.00,
5.50,-23.70,
7.30,-23.70,
8.00,-25.70,
9.00,-26.30,
17.50,-26.30,
50.00,-41.80,
90.00,-37.00,
100.00,-37.00,
130.00,-52.00,
150.00,-54.00,
170.00,-54.00,
170.01,-48.00,
180.00,-48.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:, 17 
-180.00,-54.00,
-120.00,-54.00,
-115.00,-51.90,
-35.00,-48.80,
-15.00,-46.80,
-10.30,-44.90,
-3.50,-44.90,
-2.60,-30.00,
0.00,-30.00,
2.60,-30.00,
3.50,-44.90,
10.30,-44.90,
15.00,-46.80,
35.00,-48.80,
115.00,-51.90,
120.00,-54.00,
180.00,-54.00,
ENDFIL:,EOF
