REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HSX8-64
PATNUM:,2458B
FEDORN:,LEFT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20000117
LOWFRQ:, 6425 
HGHFRQ:, 7125 
GUNITS:,DBI/DBR
LWGAIN:,41.6
MDGAIN:,42.0
HGGAIN:,42.4
AZWIDT:,1.3
ELWIDT:,1.3
ATVSWR:,1.06
FRTOBA:,75
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:, 55 
-180.00,-75.00,
-81.00,-75.00,
-78.00,-68.00,
-67.50,-64.00,
-63.00,-58.00,
-48.00,-56.00,
-40.00,-56.00,
-35.00,-54.00,
-30.00,-49.00,
-22.50,-46.00,
-15.00,-46.00,
-12.50,-43.00,
-10.00,-43.00,
-9.50,-36.00,
-7.50,-36.00,
-7.00,-32.70,
-5.10,-32.70,
-4.60,-29.50,
-3.10,-29.50,
-2.60,-24.00,
-1.80,-24.00,
-1.60,-15.67,
-1.40,-12.00,
-1.20,-8.81,
-1.00,-6.12,
-0.80,-3.91,
-0.60,-2.20,
-0.40,-0.98,
-0.20,-0.24,
0.00,0.00,
0.20,-0.24,
0.40,-0.98,
0.60,-2.20,
0.80,-3.91,
1.00,-6.12,
1.20,-8.81,
1.40,-12.00,
1.60,-15.67,
1.70,-19.83,
1.90,-28.50,
3.50,-28.50,
4.00,-30.00,
7.00,-30.00,
8.00,-34.50,
9.20,-34.50,
12.00,-40.50,
15.00,-40.50,
28.00,-48.00,
36.00,-48.00,
40.00,-53.00,
57.50,-53.00,
71.00,-61.50,
76.00,-66.00,
92.00,-75.00,
180.00,-75.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:, 25 
-180.00,-75.00,
-66.00,-75.00,
-55.00,-68.00,
-45.00,-68.00,
-40.00,-61.00,
-15.00,-61.00,
-12.00,-61.00,
-11.00,-58.00,
-7.50,-58.00,
-7.00,-56.00,
-3.50,-56.00,
-2.50,-49.00,
-1.30,-40.00,
0.00,-40.00,
1.30,-40.00,
3.00,-53.50,
20.00,-53.50,
22.50,-65.00,
51.00,-65.00,
58.00,-70.00,
61.00,-70.00,
63.00,-70.00,
69.00,-73.00,
71.00,-75.00,
180.00,-75.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:, 60 
-180.00,-75.00,
-85.00,-75.00,
-75.00,-64.00,
-67.00,-64.00,
-62.00,-56.30,
-52.50,-56.30,
-45.00,-51.70,
-34.00,-51.70,
-30.00,-49.00,
-26.00,-49.00,
-15.00,-44.00,
-12.00,-44.00,
-11.50,-40.00,
-10.50,-40.00,
-9.50,-36.00,
-9.00,-34.00,
-7.50,-34.00,
-6.25,-31.00,
-3.10,-31.00,
-2.60,-23.00,
-1.90,-23.00,
-1.60,-15.67,
-1.40,-12.00,
-1.20,-8.81,
-1.00,-6.12,
-0.80,-3.91,
-0.60,-2.20,
-0.40,-0.98,
-0.20,-0.24,
0.00,0.00,
0.20,-0.24,
0.40,-0.98,
0.60,-2.20,
0.80,-3.91,
1.00,-6.12,
1.20,-8.81,
1.35,-12.00,
1.50,-15.67,
1.70,-24.00,
2.50,-24.00,
3.00,-30.30,
6.60,-30.30,
8.50,-34.70,
9.50,-34.70,
10.00,-39.40,
15.00,-39.40,
18.00,-39.40,
22.50,-45.00,
25.00,-45.00,
30.00,-48.00,
37.50,-52.00,
60.00,-52.00,
67.00,-63.50,
73.00,-63.50,
77.50,-69.00,
82.00,-69.00,
85.00,-73.00,
90.00,-73.00,
93.00,-75.00,
180.00,-75.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:, 29 
-180.00,-75.00,
-74.00,-75.00,
-67.50,-71.00,
-52.50,-71.00,
-50.00,-68.00,
-45.00,-68.00,
-40.00,-63.00,
-12.50,-63.00,
-12.00,-58.00,
-10.00,-58.00,
-7.50,-49.00,
-2.00,-49.00,
-1.30,-40.00,
0.00,-40.00,
1.30,-40.00,
2.00,-48.30,
3.50,-48.30,
4.50,-52.00,
15.00,-52.00,
22.50,-52.00,
30.00,-60.00,
45.00,-60.00,
50.00,-62.00,
60.00,-62.00,
65.00,-66.00,
70.00,-70.00,
80.00,-70.00,
90.00,-75.00,
180.00,-75.00,
ENDFIL:,EOF
