REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP8-65
PATNUM:,2696F
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20011130
LOWFRQ:, 6425 
HGHFRQ:, 7125 
GUNITS:,DBI/DBR
LWGAIN:,41.9
MDGAIN:,42.3
HGGAIN:,42.8
AZWIDT:,1.3
ELWIDT:,1.3
ATVSWR:,1.06
FRTOBA:,66
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:, 31 
-180.00,-66.00,
-85.00,-66.00,
-70.00,-50.00,
-60.00,-49.00,
-45.00,-43.00,
-30.01,-43.00,
-30.00,-38.00,
-20.01,-38.00,
-20.00,-36.00,
-11.50,-36.00,
-2.51,-24.00,
-2.50,-22.00,
-1.50,-22.00,
-1.00,-4.80,
-0.50,-2.00,
0.00,0.00,
0.50,-2.00,
1.00,-4.80,
1.50,-22.00,
2.50,-22.00,
2.51,-24.00,
11.50,-36.00,
20.00,-36.00,
20.01,-38.00,
30.00,-38.00,
30.01,-43.00,
45.00,-43.00,
60.00,-49.00,
70.00,-50.00,
85.00,-66.00,
180.00,-66.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:, 17 
-180.00,-66.00,
-85.00,-66.00,
-70.00,-60.00,
-15.00,-47.00,
-11.00,-47.00,
-6.00,-37.00,
-3.01,-37.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
3.01,-37.00,
6.00,-37.00,
11.00,-47.00,
15.00,-47.00,
70.00,-60.00,
85.00,-66.00,
180.00,-66.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:, 35 
-180.00,-66.00,
-85.00,-66.00,
-73.00,-54.20,
-60.00,-49.00,
-45.00,-43.00,
-30.01,-43.00,
-30.00,-38.00,
-20.01,-38.00,
-20.00,-36.00,
-14.00,-36.00,
-8.00,-29.00,
-5.00,-27.00,
-2.51,-24.00,
-2.50,-22.00,
-1.50,-22.00,
-1.00,-4.80,
-0.50,-2.00,
0.00,0.00,
0.50,-2.00,
1.00,-4.80,
1.50,-22.00,
2.50,-22.00,
2.51,-24.00,
5.00,-27.00,
8.00,-29.00,
14.00,-36.00,
20.00,-36.00,
20.01,-38.00,
30.00,-38.00,
30.01,-43.00,
45.00,-43.00,
60.00,-49.00,
73.00,-54.20,
85.00,-66.00,
180.00,-66.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:, 19 
-180.00,-66.00,
-85.00,-66.00,
-70.00,-60.00,
-15.00,-47.00,
-14.00,-43.90,
-9.40,-43.90,
-6.00,-37.00,
-3.01,-37.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
3.01,-37.00,
6.00,-37.00,
9.40,-43.90,
14.00,-43.90,
15.00,-47.00,
70.00,-60.00,
85.00,-66.00,
180.00,-66.00,
ENDFIL:,EOF
