REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PL15-65
PATNUM:,2630F
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20011130
LOWFRQ:, 6425 
HGHFRQ:, 7125 
GUNITS:,DBI/DBR
LWGAIN:,46.8
MDGAIN:,47.1
HGGAIN:,47.6
AZWIDT:,0.7
ELWIDT:,0.7
ATVSWR:,1.06
FRTOBA:,54
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:, 27 
-180.00,-54.00,
-175.01,-54.00,
-175.00,-61.00,
-120.00,-61.00,
-105.00,-47.00,
-90.00,-47.00,
-85.00,-48.00,
-30.00,-48.00,
-15.00,-42.90,
-3.00,-23.00,
-1.40,-23.00,
-1.00,-11.00,
-0.50,-1.30,
0.00,0.00,
0.50,-1.30,
1.00,-11.00,
1.40,-23.00,
3.00,-23.00,
15.00,-42.90,
30.00,-48.00,
85.00,-48.00,
90.00,-47.00,
105.00,-47.00,
120.00,-61.00,
175.00,-61.00,
175.01,-54.00,
180.00,-54.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:, 19 
-180.00,-62.00,
-175.01,-62.00,
-175.00,-65.00,
-115.00,-65.00,
-100.00,-57.00,
-10.00,-57.00,
-6.90,-40.00,
-4.00,-40.00,
-2.50,-30.00,
0.00,-30.00,
2.50,-30.00,
4.00,-40.00,
6.90,-40.00,
10.00,-57.00,
100.00,-57.00,
115.00,-65.00,
175.00,-65.00,
175.01,-62.00,
180.00,-62.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:, 35 
-180.00,-54.00,
-175.01,-54.00,
-175.00,-61.00,
-120.00,-61.00,
-105.00,-47.00,
-103.00,-46.00,
-90.00,-46.00,
-85.00,-46.90,
-27.50,-46.90,
-17.50,-39.00,
-15.00,-39.00,
-7.00,-26.00,
-5.00,-25.00,
-3.00,-23.00,
-1.40,-23.00,
-1.00,-11.00,
-0.50,-1.30,
0.00,0.00,
0.50,-1.30,
1.00,-11.00,
1.40,-23.00,
3.00,-23.00,
5.00,-25.00,
7.00,-26.00,
15.00,-39.00,
17.50,-39.00,
27.50,-46.90,
85.00,-46.90,
90.00,-46.00,
103.00,-46.00,
105.00,-47.00,
120.00,-61.00,
175.00,-61.00,
175.01,-54.00,
180.00,-54.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:, 23 
-180.00,-62.00,
-175.01,-62.00,
-175.00,-65.00,
-115.00,-65.00,
-100.00,-57.00,
-21.00,-57.00,
-15.00,-55.00,
-9.90,-52.00,
-8.50,-45.00,
-5.50,-45.00,
-2.50,-30.00,
0.00,-30.00,
2.50,-30.00,
5.50,-45.00,
8.50,-45.00,
9.90,-52.00,
15.00,-55.00,
21.00,-57.00,
100.00,-57.00,
115.00,-65.00,
175.00,-65.00,
175.01,-62.00,
180.00,-62.00,
ENDFIL:,EOF
