REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HPX8-58W
PATNUM:,3761A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19951014
LOWFRQ:,6425
HGHFRQ:,6930
GUNITS:,DBI/DBR
LWGAIN:,41.7
MDGAIN:,41.9
HGGAIN:,42.2
AZWIDT:,1.40
ELWIDT:,1.40
ATVSWR:,1.08
FRTOBA:,67.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,49
-180.0,-67.0,
-100.0,-67.0,
-90.0,-61.5,
-15.0,-33.0,
-12.0,-33.0,
-11.0,-31.0,
-10.0,-31.0,
-9.0,-29.0,
-7.0,-29.0,
-5.5,-26.0,
-5.0,-26.0,
-5.0,-25.0,
-3.0,-25.0,
-2.5,-24.0,
-2.0,-24.0,
-1.8,-19.4,
-1.6,-15.4,
-1.4,-11.8,
-1.2,-8.6,
-1.0,-6.0,
-0.8,-3.8,
-0.6,-2.2,
-0.4,-1.0,
-0.2,-0.5,
0.0,0.0,
0.2,-0.5,
0.4,-1.0,
0.6,-2.2,
0.8,-3.8,
1.0,-6.0,
1.2,-8.6,
1.4,-11.8,
1.6,-15.4,
1.8,-19.4,
2.0,-24.0,
2.5,-24.0,
3.0,-25.0,
5.0,-25.0,
5.0,-26.0,
5.5,-26.0,
7.0,-29.0,
9.0,-29.0,
10.0,-31.0,
11.0,-31.0,
12.0,-33.0,
15.0,-33.0,
90.0,-61.5,
100.0,-67.0,
180.0,-67.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,27
-180.0,-69.0,
-90.0,-69.0,
-70.0,-57.0,
-50.0,-57.0,
-30.0,-52.0,
-15.0,-52.0,
-14.0,-51.0,
-11.5,-51.0,
-9.0,-44.0,
-6.5,-44.0,
-6.0,-43.0,
-2.5,-43.0,
-1.5,-34.0,
0.0,-34.0,
1.5,-34.0,
2.5,-43.0,
6.0,-43.0,
6.5,-44.0,
9.0,-44.0,
11.5,-51.0,
14.0,-51.0,
15.0,-52.0,
30.0,-52.0,
50.0,-57.0,
70.0,-57.0,
90.0,-69.0,
180.0,-69.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,39
-180.0,-67.0,
-100.0,-67.0,
-60.0,-52.0,
-35.0,-46.0,
-15.0,-35.0,
-11.0,-35.0,
-5.0,-26.0,
-3.0,-26.0,
-2.5,-23.0,
-2.0,-23.0,
-1.8,-18.6,
-1.6,-14.7,
-1.4,-11.3,
-1.2,-8.3,
-1.0,-5.8,
-0.8,-3.7,
-0.6,-2.1,
-0.4,-0.9,
-0.2,-0.2,
0.0,0.0,
0.2,-0.2,
0.4,-0.9,
0.6,-2.1,
0.8,-3.7,
1.0,-5.8,
1.2,-8.3,
1.4,-11.3,
1.6,-14.7,
1.8,-18.6,
2.0,-23.0,
2.5,-23.0,
3.0,-26.0,
5.0,-26.0,
11.0,-35.0,
15.0,-35.0,
35.0,-46.0,
60.0,-52.0,
100.0,-67.0,
180.0,-67.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.0,-69.0,
-110.0,-69.0,
-100.0,-67.0,
-95.0,-67.0,
-80.0,-61.0,
-15.0,-52.0,
-12.0,-52.0,
-11.0,-49.0,
-5.5,-45.0,
-3.0,-45.0,
-1.5,-34.0,
0.0,-34.0,
1.5,-34.0,
3.0,-45.0,
5.5,-45.0,
11.0,-49.0,
12.0,-52.0,
15.0,-52.0,
80.0,-61.0,
95.0,-67.0,
100.0,-67.0,
110.0,-69.0,
180.0,-69.0,
ENDFIL:,EOF
