REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX10-58W
PATNUM:,3776A
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19951014
LOWFRQ:,6425
HGHFRQ:,6930
GUNITS:,DBI/DBR
LWGAIN:,43.0
MDGAIN:,43.2
HGGAIN:,43.4
AZWIDT:,1.15
ELWIDT:,1.15
ATVSWR:,10.80
FRTOBA:,73.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,48
-180.0,-71.0,
-90.0,-71.0,
-75.0,-70.0,
-50.0,-54.0,
-22.0,-54.0,
-15.0,-50.0,
-10.0,-41.0,
-3.0,-26.0,
-1.6,-26.0,
-1.6,-23.9,
-1.5,-19.7,
-1.4,-16.7,
-1.3,-13.5,
-1.1,-10.7,
-1.0,-8.6,
-0.9,-6.6,
-0.8,-4.9,
-0.7,-3.5,
-0.5,-2.1,
-0.4,-1.3,
-0.3,-0.7,
-0.2,-0.2,
0.0,0.0,
0.1,-0.1,
0.3,-0.6,
0.4,-1.3,
0.5,-2.2,
0.6,-3.3,
0.8,-4.7,
0.9,-6.4,
1.0,-8.3,
1.1,-10.6,
1.2,-13.5,
1.3,-16.4,
1.5,-20.8,
1.5,-23.0,
1.6,-26.0,
3.0,-26.0,
9.0,-34.0,
13.0,-38.0,
15.0,-39.0,
25.0,-43.0,
35.0,-47.0,
45.0,-60.0,
63.0,-60.0,
75.0,-70.0,
90.0,-71.0,
180.0,-71.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.0,-75.0,
-60.0,-75.0,
-40.0,-68.0,
-20.0,-68.0,
-15.0,-66.0,
-13.5,-66.0,
-10.0,-56.0,
-4.0,-55.0,
-2.0,-52.0,
-1.0,-34.0,
0.0,-34.0,
1.0,-34.0,
2.0,-49.0,
4.0,-54.0,
10.0,-54.0,
12.0,-58.0,
18.0,-58.0,
22.0,-61.0,
26.0,-61.0,
30.0,-67.0,
40.0,-67.0,
48.0,-74.0,
180.0,-74.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,50
-180.0,-75.0,
-90.0,-75.0,
-75.0,-70.0,
-55.0,-60.0,
-50.0,-54.0,
-30.0,-54.0,
-20.0,-50.0,
-15.0,-45.0,
-10.0,-40.0,
-4.0,-30.0,
-2.0,-30.0,
-1.5,-24.6,
-1.5,-21.5,
-1.4,-18.6,
-1.3,-15.5,
-1.1,-12.2,
-1.0,-9.2,
-0.9,-6.6,
-0.7,-4.3,
-0.6,-2.8,
-0.4,-1.5,
-0.3,-0.6,
-0.1,-0.1,
0.0,0.0,
0.0,0.0,
0.2,-0.1,
0.3,-0.8,
0.5,-2.0,
0.6,-3.6,
0.8,-5.5,
0.9,-7.6,
1.0,-10.0,
1.2,-13.0,
1.3,-16.0,
1.3,-18.5,
1.4,-23.0,
1.5,-24.0,
1.5,-27.0,
4.0,-27.0,
7.0,-33.0,
10.0,-41.0,
15.0,-43.0,
20.0,-43.0,
26.0,-45.0,
37.5,-50.0,
50.0,-60.0,
63.0,-60.0,
75.0,-70.0,
90.0,-75.0,
180.0,-75.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.0,-76.0,
-55.0,-76.0,
-45.0,-68.0,
-25.0,-68.0,
-20.0,-63.0,
-5.0,-63.0,
-3.0,-60.0,
-2.0,-50.0,
-1.0,-34.0,
0.0,-34.0,
1.0,-34.0,
2.0,-50.0,
3.0,-52.0,
10.0,-52.0,
13.0,-55.0,
15.0,-58.0,
20.0,-58.0,
30.0,-64.0,
37.0,-64.0,
45.0,-70.0,
50.0,-70.0,
60.0,-76.0,
180.0,-76.0,
ENDFIL:,EOF
