REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VPX4-64
PATNUM:,4625
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20000901
LOWFRQ:,6425
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,36.0
MDGAIN:,36.3
HGGAIN:,36.7
AZWIDT:,2.50
ELWIDT:,2.50
ATVSWR:,1.10
FRTOBA:,47.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,49
-180.00,-47.00,
-140.00,-47.00,
-132.00,-46.00,
-120.00,-46.00,
-100.00,-35.00,
-60.00,-35.00,
-37.50,-35.00,
-30.00,-30.00,
-25.50,-30.00,
-22.50,-28.00,
-18.00,-28.00,
-15.00,-26.00,
-10.50,-26.00,
-8.50,-24.00,
-5.50,-24.00,
-5.00,-22.00,
-4.50,-20.00,
-3.25,-20.00,
-3.00,-18.00,
-2.50,-11.78,
-2.00,-7.11,
-1.50,-3.79,
-1.00,-1.49,
-0.50,-0.27,
0.00,0.00,
0.50,-0.27,
1.00,-1.49,
1.50,-3.79,
2.00,-7.11,
2.50,-11.78,
3.00,-18.00,
3.25,-20.00,
4.50,-20.00,
5.00,-22.00,
5.50,-24.00,
8.50,-24.00,
10.50,-26.00,
15.00,-26.00,
18.00,-28.00,
22.50,-28.00,
25.50,-30.00,
30.00,-30.00,
37.50,-35.00,
60.00,-35.00,
100.00,-35.00,
120.00,-46.00,
132.00,-46.00,
140.00,-47.00,
180.00,-47.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,15
-180.00,-53.00,
-30.00,-53.00,
-23.00,-50.00,
-15.00,-50.00,
-10.00,-42.00,
-5.00,-42.00,
-3.00,-32.00,
0.00,-32.00,
3.00,-32.00,
5.00,-42.00,
10.00,-42.00,
15.00,-50.00,
23.00,-50.00,
30.00,-53.00,
180.00,-53.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,41
-180.00,-50.00,
-120.00,-50.00,
-100.00,-34.00,
-35.00,-34.00,
-30.00,-30.00,
-25.50,-30.00,
-22.50,-28.00,
-18.00,-28.00,
-15.00,-26.00,
-10.50,-26.00,
-8.50,-24.00,
-7.50,-24.00,
-6.00,-22.00,
-3.20,-22.00,
-3.00,-18.54,
-2.50,-11.30,
-2.00,-6.84,
-1.50,-3.75,
-1.00,-1.50,
-0.50,-0.27,
0.00,0.00,
0.50,-0.27,
1.00,-1.50,
1.50,-3.75,
2.00,-6.84,
2.50,-11.30,
3.00,-18.54,
3.20,-22.00,
6.00,-22.00,
7.50,-24.00,
8.50,-24.00,
10.50,-26.00,
15.00,-26.00,
18.00,-28.00,
22.50,-28.00,
25.50,-30.00,
30.00,-30.00,
35.00,-34.00,
100.00,-34.00,
120.00,-50.00,
180.00,-50.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.00,-50.00,
-90.00,-50.00,
-67.50,-47.00,
-22.50,-47.00,
-15.00,-44.00,
-8.00,-44.00,
-5.00,-42.00,
-3.00,-32.00,
0.00,-32.00,
3.00,-32.00,
5.00,-42.00,
8.00,-44.00,
15.00,-44.00,
22.50,-47.00,
67.50,-47.00,
90.00,-50.00,
180.00,-50.00,
ENDFIL:,EOF
