REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PAR6-65
PATNUM:,1290A
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19971202
LOWFRQ:,6425
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,38.7
MDGAIN:,38.8
HGGAIN:,39.0
AZWIDT:,1.80
ELWIDT:,1.80
ATVSWR:,1.06
FRTOBA:,59.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,65
-180.00,-59.00,
-136.80,-59.00,
-130.00,-59.00,
-115.20,-59.00,
-110.00,-58.77,
-100.00,-56.62,
-90.00,-45.84,
-80.00,-42.00,
-55.88,-42.00,
-55.00,-42.00,
-44.70,-42.00,
-29.96,-42.00,
-29.92,-40.63,
-20.07,-39.77,
-15.00,-37.38,
-12.79,-37.38,
-12.00,-33.13,
-10.99,-32.87,
-10.00,-29.73,
-8.90,-29.73,
-8.03,-27.66,
-6.84,-27.67,
-6.00,-25.00,
-2.91,-25.00,
-2.67,-20.39,
-2.34,-15.47,
-2.00,-11.00,
-1.67,-6.67,
-1.34,-3.85,
-1.00,-1.18,
-0.75,-0.75,
-0.33,-0.02,
0.00,0.00,
0.33,-0.02,
0.75,-0.75,
1.00,-1.18,
1.34,-3.85,
1.67,-6.67,
2.00,-11.00,
2.34,-15.47,
2.67,-20.39,
2.91,-25.00,
6.00,-25.00,
6.84,-27.67,
8.03,-27.66,
8.90,-29.73,
10.00,-29.73,
10.99,-32.87,
12.00,-33.13,
12.79,-37.38,
15.00,-37.38,
20.07,-39.77,
29.92,-40.63,
29.96,-42.00,
44.70,-42.00,
55.00,-42.00,
55.88,-42.00,
80.00,-42.00,
90.00,-45.84,
100.00,-56.62,
110.00,-58.77,
115.20,-59.00,
130.00,-59.00,
136.80,-59.00,
180.00,-59.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,29
-180.00,-59.00,
-86.03,-58.75,
-79.67,-58.24,
-72.51,-58.31,
-52.31,-58.31,
-47.54,-58.28,
-45.00,-57.35,
-40.50,-55.34,
-34.85,-55.33,
-30.00,-52.13,
-20.00,-46.98,
-15.00,-46.98,
-3.29,-46.98,
-2.00,-30.00,
0.00,-30.00,
2.00,-30.00,
3.29,-46.98,
15.00,-46.98,
20.00,-46.98,
30.00,-52.13,
34.85,-55.33,
40.50,-55.34,
45.00,-57.35,
47.54,-58.28,
52.31,-58.31,
72.51,-58.31,
79.67,-58.24,
86.03,-58.75,
180.00,-59.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,74
-180.00,-59.00,
-124.50,-59.00,
-110.00,-59.00,
-100.00,-59.00,
-84.00,-46.79,
-41.00,-46.79,
-35.00,-42.00,
-27.14,-42.00,
-25.00,-41.18,
-20.00,-39.30,
-15.00,-39.30,
-14.42,-39.30,
-14.00,-35.38,
-13.00,-35.38,
-12.00,-33.04,
-11.00,-31.68,
-10.00,-30.67,
-7.90,-30.67,
-7.68,-30.28,
-7.35,-30.14,
-7.01,-30.00,
-6.68,-29.86,
-6.34,-29.57,
-6.01,-28.68,
-5.68,-27.54,
-5.34,-27.11,
-5.01,-26.67,
-4.67,-26.61,
-4.34,-26.54,
-4.01,-26.32,
-3.67,-25.63,
-3.34,-24.40,
-3.00,-22.27,
-2.67,-18.95,
-2.34,-14.75,
-2.00,-10.52,
-1.67,-6.87,
-1.34,-4.16,
-0.85,-2.01,
-0.67,-1.24,
-0.33,-0.09,
0.00,0.00,
0.33,-0.02,
0.75,-0.75,
1.00,-1.24,
1.34,-3.37,
1.67,-6.22,
2.00,-9.30,
2.34,-14.07,
2.67,-18.75,
3.00,-22.69,
3.34,-25.39,
3.67,-27.11,
4.01,-28.78,
4.34,-30.45,
4.67,-31.04,
5.01,-31.38,
5.34,-31.72,
5.68,-31.97,
6.01,-32.22,
6.02,-32.24,
8.00,-32.24,
11.00,-32.97,
12.00,-33.98,
12.86,-35.50,
14.00,-35.50,
15.00,-36.50,
18.98,-43.14,
70.00,-43.14,
75.00,-45.36,
80.00,-45.96,
90.00,-50.30,
103.00,-59.00,
180.00,-59.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,26
-180.00,-59.00,
-92.18,-59.00,
-90.00,-59.00,
-56.83,-59.00,
-55.00,-59.00,
-50.00,-58.83,
-31.52,-58.83,
-30.00,-58.31,
-22.82,-58.31,
-20.00,-53.80,
-15.00,-53.80,
-3.60,-53.80,
-3.00,-47.86,
-2.00,-30.00,
0.00,-30.00,
2.00,-30.00,
3.00,-51.79,
12.00,-51.79,
13.50,-59.00,
14.00,-59.00,
14.21,-59.00,
15.00,-59.00,
60.00,-59.00,
65.00,-59.00,
70.00,-59.00,
180.00,-59.00,
ENDFIL:,EOF
