REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PXL6-65
PATNUM:,2634D
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19720108
LOWFRQ:,6425
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,39.1
MDGAIN:,39.4
HGGAIN:,39.9
AZWIDT:,1.70
ELWIDT:,1.70
ATVSWR:,1.07
FRTOBA:,47.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,43
-180.00,-47.00,
-170.00,-47.00,
-170.00,-57.00,
-148.00,-57.00,
-142.00,-52.00,
-133.00,-51.70,
-118.50,-47.20,
-111.00,-42.00,
-105.00,-40.00,
-20.00,-40.00,
-15.00,-37.00,
-11.00,-37.00,
-10.40,-35.00,
-9.60,-35.00,
-7.90,-30.10,
-7.20,-30.00,
-5.00,-23.80,
-1.90,-20.00,
-1.50,-10.00,
-1.00,-2.80,
-0.50,-1.00,
0.00,0.00,
0.50,-1.00,
1.00,-2.80,
1.50,-10.00,
1.90,-20.00,
5.00,-23.80,
7.20,-30.00,
7.90,-30.10,
9.60,-35.00,
10.40,-35.00,
11.00,-37.00,
15.00,-37.00,
20.00,-40.00,
105.00,-40.00,
111.00,-42.00,
118.50,-47.20,
133.00,-51.70,
142.00,-52.00,
148.00,-57.00,
170.00,-57.00,
170.00,-47.00,
180.00,-47.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,35
-180.00,-47.00,
-170.00,-47.00,
-170.00,-57.00,
-128.00,-57.00,
-114.00,-51.20,
-75.00,-51.20,
-71.00,-50.40,
-20.00,-50.40,
-15.00,-50.30,
-13.90,-50.20,
-13.00,-49.00,
-9.20,-49.00,
-7.50,-48.40,
-5.10,-48.40,
-4.50,-43.80,
-1.50,-39.50,
-1.40,-30.00,
0.00,-30.00,
1.40,-30.00,
1.50,-39.50,
4.50,-43.80,
5.10,-48.40,
7.50,-48.40,
9.20,-49.00,
13.00,-49.00,
13.90,-50.20,
15.00,-50.30,
20.00,-50.40,
71.00,-50.40,
75.00,-51.20,
114.00,-51.20,
128.00,-57.00,
170.00,-57.00,
170.00,-47.00,
180.00,-47.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,43
-180.00,-47.00,
-170.00,-47.00,
-170.00,-57.00,
-140.00,-57.00,
-120.00,-50.00,
-104.00,-41.60,
-84.00,-41.60,
-70.50,-47.10,
-49.00,-47.10,
-35.00,-41.00,
-21.00,-41.00,
-15.50,-32.70,
-9.20,-32.70,
-7.10,-27.50,
-5.50,-21.00,
-4.40,-18.20,
-2.30,-18.30,
-1.80,-17.90,
-1.50,-10.00,
-1.00,-2.80,
-0.50,-1.00,
0.00,0.00,
0.50,-1.00,
1.00,-2.80,
1.50,-10.00,
1.80,-17.90,
2.30,-18.30,
4.40,-18.20,
5.50,-21.00,
7.10,-27.50,
9.20,-32.70,
15.50,-32.70,
21.00,-41.00,
35.00,-41.00,
49.00,-47.10,
70.50,-47.10,
84.00,-41.60,
104.00,-41.60,
120.00,-50.00,
140.00,-57.00,
170.00,-57.00,
170.00,-47.00,
180.00,-47.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,33
-180.00,-47.00,
-170.00,-47.00,
-170.00,-57.00,
-120.00,-57.00,
-110.00,-54.00,
-100.00,-50.00,
-90.00,-49.50,
-20.00,-49.50,
-15.00,-45.50,
-14.10,-45.30,
-13.50,-42.90,
-12.00,-42.10,
-10.70,-36.00,
-5.60,-32.00,
-5.00,-32.00,
-1.40,-30.00,
0.00,-30.00,
1.40,-30.00,
5.00,-32.00,
5.60,-32.00,
10.70,-36.00,
12.00,-42.10,
13.50,-42.90,
14.10,-45.30,
15.00,-45.50,
20.00,-49.50,
90.00,-49.50,
100.00,-50.00,
110.00,-54.00,
120.00,-57.00,
170.00,-57.00,
170.00,-47.00,
180.00,-47.00,
ENDFIL:,EOF
