REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HSX6-64
PATNUM:,2452A
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19960615
LOWFRQ:,6425
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,39.1
MDGAIN:,39.6
HGGAIN:,40.0
AZWIDT:,1.70
ELWIDT:,1.70
ATVSWR:,1.07
FRTOBA:,70.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,61
-180.00,-70.00,
-92.00,-70.00,
-88.00,-67.00,
-83.00,-67.00,
-79.00,-61.00,
-73.00,-59.00,
-67.00,-59.00,
-54.00,-52.50,
-45.00,-52.50,
-42.00,-50.50,
-37.00,-50.50,
-34.00,-48.00,
-30.00,-48.00,
-27.00,-41.00,
-15.00,-41.00,
-14.50,-39.00,
-13.50,-39.00,
-11.00,-33.00,
-7.50,-33.00,
-6.50,-27.00,
-3.50,-27.00,
-3.00,-25.00,
-2.40,-25.00,
-2.20,-17.92,
-2.00,-14.81,
-1.80,-12.00,
-1.60,-9.48,
-1.40,-7.25,
-1.20,-5.33,
-1.00,-3.70,
-0.80,-2.37,
-0.60,-1.33,
-0.40,-0.59,
-0.20,-0.14,
0.00,0.00,
0.20,-0.14,
0.40,-0.59,
0.60,-1.33,
0.80,-2.37,
1.00,-3.70,
1.20,-5.33,
1.40,-7.25,
1.60,-9.48,
1.80,-12.00,
2.00,-14.81,
2.30,-21.50,
3.50,-21.50,
4.00,-28.00,
6.50,-28.00,
7.20,-32.00,
9.50,-32.00,
10.20,-38.00,
11.80,-38.00,
12.50,-40.50,
15.00,-40.50,
24.00,-45.00,
30.00,-50.50,
55.00,-54.00,
63.00,-64.00,
66.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,26
-180.00,-72.00,
-67.00,-72.00,
-56.00,-61.00,
-34.00,-61.00,
-32.00,-60.00,
-22.00,-60.00,
-19.00,-59.00,
-15.00,-59.00,
-10.70,-59.00,
-10.00,-56.00,
-3.30,-56.00,
-1.80,-40.00,
0.00,-40.00,
1.80,-40.00,
3.60,-56.00,
7.50,-56.00,
8.00,-60.50,
14.00,-60.50,
15.00,-63.50,
35.00,-63.50,
37.00,-66.50,
55.00,-66.50,
57.00,-69.00,
71.00,-69.00,
72.00,-72.00,
180.00,-72.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,59
-180.00,-70.00,
-82.00,-70.00,
-80.00,-68.00,
-77.00,-68.00,
-68.00,-58.70,
-60.00,-58.70,
-59.00,-55.00,
-52.50,-52.50,
-49.00,-48.00,
-30.00,-48.00,
-25.00,-42.00,
-21.00,-42.00,
-19.00,-40.00,
-15.00,-40.00,
-14.50,-40.00,
-11.50,-36.00,
-10.30,-36.00,
-9.50,-31.00,
-7.20,-31.00,
-6.00,-27.50,
-4.00,-27.50,
-3.30,-22.50,
-2.10,-22.50,
-1.80,-12.00,
-1.60,-9.48,
-1.40,-7.25,
-1.20,-5.33,
-1.00,-3.70,
-0.80,-2.37,
-0.60,-1.33,
-0.40,-0.59,
-0.20,-0.14,
0.00,0.00,
0.20,-0.14,
0.40,-0.59,
0.60,-1.33,
0.80,-2.37,
1.00,-3.70,
1.20,-5.33,
1.40,-7.25,
1.60,-9.48,
1.80,-12.00,
2.00,-14.81,
2.30,-21.50,
2.50,-23.00,
3.20,-23.00,
4.00,-27.50,
6.50,-27.50,
7.00,-30.00,
9.50,-30.00,
10.60,-35.00,
12.00,-35.00,
13.10,-37.50,
15.00,-37.50,
30.00,-49.00,
34.00,-51.00,
52.00,-51.00,
79.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,30
-180.00,-72.00,
-77.00,-72.00,
-65.00,-64.00,
-58.00,-64.00,
-47.50,-59.00,
-36.00,-59.00,
-25.00,-56.00,
-15.00,-56.00,
-11.70,-56.00,
-11.50,-55.00,
-7.70,-55.00,
-7.00,-52.00,
-5.50,-52.00,
-5.00,-51.00,
-3.20,-51.00,
-1.80,-40.00,
0.00,-40.00,
1.80,-40.00,
2.90,-50.00,
4.50,-50.00,
5.60,-55.00,
7.60,-55.00,
8.00,-56.00,
12.00,-56.00,
12.50,-61.00,
15.00,-61.00,
17.00,-63.50,
70.00,-63.50,
80.00,-72.00,
180.00,-72.00,
ENDFIL:,EOF
