REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PARX8-65
PATNUM:,4382
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19980521
LOWFRQ:,6425
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,40.9
MDGAIN:,41.2
HGGAIN:,41.3
AZWIDT:,1.30
ELWIDT:,1.30
ATVSWR:,1.08
FRTOBA:,60.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,53
-180.00,-60.00,
-102.00,-60.00,
-85.00,-46.00,
-41.00,-46.00,
-41.00,-44.00,
-26.00,-44.00,
-24.00,-40.00,
-16.00,-38.00,
-15.00,-36.00,
-11.00,-32.00,
-5.00,-32.00,
-4.00,-28.00,
-3.06,-24.00,
-2.32,-22.00,
-2.21,-20.00,
-2.07,-20.00,
-1.92,-16.00,
-1.78,-14.00,
-1.66,-12.00,
-1.52,-10.00,
-1.36,-8.00,
-1.19,-6.00,
-0.99,-3.00,
-0.71,-2.00,
-0.51,-1.00,
-0.32,-0.28,
0.00,0.00,
0.32,-0.28,
0.51,-1.00,
0.71,-2.00,
0.99,-3.00,
1.19,-6.00,
1.36,-8.00,
1.52,-10.00,
1.66,-12.00,
1.78,-14.00,
1.92,-16.00,
2.07,-20.00,
2.21,-20.00,
2.32,-22.00,
3.06,-24.00,
4.00,-28.00,
5.00,-32.00,
11.00,-32.00,
15.00,-36.00,
16.00,-38.00,
24.00,-40.00,
26.00,-44.00,
41.00,-44.00,
41.00,-46.00,
85.00,-46.00,
102.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,13
-180.00,-60.00,
-20.00,-60.00,
-15.00,-54.00,
-10.00,-51.00,
-4.00,-51.00,
-1.50,-30.00,
0.00,-30.00,
1.50,-30.00,
4.00,-51.00,
10.00,-51.00,
15.00,-54.00,
20.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,55
-180.00,-60.00,
-98.00,-60.00,
-82.00,-48.00,
-72.00,-48.00,
-68.00,-44.00,
-31.00,-44.00,
-28.00,-39.00,
-20.50,-39.00,
-19.50,-34.00,
-15.00,-33.00,
-12.00,-32.50,
-8.00,-32.50,
-4.00,-28.00,
-3.00,-26.00,
-2.36,-22.00,
-2.33,-20.00,
-2.17,-18.00,
-2.00,-16.00,
-1.85,-14.00,
-1.71,-12.00,
-1.57,-10.00,
-1.41,-8.00,
-1.23,-6.00,
-1.00,-4.00,
-0.72,-2.00,
-0.51,-1.00,
-0.32,-0.28,
0.00,0.00,
0.32,-0.28,
0.51,-1.00,
0.72,-2.00,
1.00,-4.00,
1.23,-6.00,
1.41,-8.00,
1.57,-10.00,
1.71,-12.00,
1.85,-14.00,
2.00,-16.00,
2.17,-18.00,
2.33,-20.00,
2.36,-22.00,
3.00,-26.00,
4.00,-28.00,
8.00,-32.50,
12.00,-32.50,
15.00,-33.00,
19.50,-34.00,
20.50,-39.00,
28.00,-39.00,
31.00,-44.00,
68.00,-44.00,
72.00,-48.00,
82.00,-48.00,
98.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.00,-60.00,
-22.00,-60.00,
-20.00,-56.00,
-15.00,-56.00,
-10.00,-56.00,
-8.00,-51.00,
-4.00,-51.00,
-1.50,-30.00,
0.00,-30.00,
1.50,-30.00,
4.00,-51.00,
8.00,-51.00,
10.00,-56.00,
15.00,-56.00,
20.00,-56.00,
22.00,-60.00,
180.00,-60.00,
ENDFIL:,EOF
