REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP8-186
PATNUM:,3961
FEDORN:,RIGHT
DESCR1:,
DESCR2:,RPE for the condition when 1.85 GHz is Vertically Polarized.  Consult RPE 3960 for 1.85 GHz Performance.
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19920425
LOWFRQ:,6425
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,41.5
MDGAIN:,41.9
HGGAIN:,42.4
AZWIDT:,1.30
ELWIDT:,1.30
ATVSWR:,1.10
FRTOBA:,69.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,45
-180.00,-69.00,
-94.00,-69.00,
-75.00,-59.00,
-50.00,-53.00,
-16.50,-32.00,
-15.00,-32.00,
-12.50,-32.00,
-10.50,-29.00,
-10.00,-29.00,
-7.00,-26.00,
-5.00,-26.00,
-3.00,-25.00,
-2.40,-19.50,
-1.70,-19.50,
-1.60,-18.30,
-1.40,-14.00,
-1.20,-10.30,
-1.00,-7.10,
-0.80,-4.60,
-0.60,-2.60,
-0.40,-1.10,
-0.20,-0.30,
0.00,0.00,
0.20,-0.30,
0.40,-1.10,
0.60,-2.60,
0.80,-4.60,
1.00,-7.10,
1.20,-10.30,
1.40,-14.00,
1.60,-18.30,
1.70,-19.50,
2.40,-19.50,
3.00,-25.00,
5.00,-26.00,
7.00,-26.00,
10.00,-29.00,
10.50,-29.00,
12.50,-32.00,
15.00,-32.00,
16.50,-32.00,
50.00,-53.00,
75.00,-59.00,
94.00,-69.00,
180.00,-69.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,27
-180.00,-73.00,
-80.00,-73.00,
-65.00,-60.00,
-60.00,-60.00,
-50.00,-55.00,
-45.00,-55.00,
-28.00,-48.00,
-15.00,-48.00,
-12.00,-48.00,
-9.50,-42.00,
-3.50,-42.00,
-2.20,-40.00,
-1.50,-30.00,
0.00,-30.00,
1.50,-30.00,
2.20,-40.00,
3.50,-42.00,
9.50,-42.00,
12.00,-48.00,
15.00,-48.00,
28.00,-48.00,
45.00,-55.00,
50.00,-55.00,
60.00,-60.00,
65.00,-60.00,
80.00,-73.00,
180.00,-73.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,47
-180.00,-69.00,
-95.00,-69.00,
-75.00,-63.00,
-50.00,-46.00,
-19.00,-34.00,
-15.00,-34.00,
-14.00,-34.00,
-13.00,-31.00,
-10.00,-31.00,
-7.50,-28.00,
-4.00,-28.00,
-3.50,-25.00,
-3.00,-25.00,
-2.50,-19.50,
-1.70,-19.50,
-1.60,-18.30,
-1.40,-14.00,
-1.20,-10.30,
-1.00,-7.10,
-0.80,-4.60,
-0.60,-2.60,
-0.40,-1.10,
-0.20,-0.30,
0.00,0.00,
0.20,-0.30,
0.40,-1.10,
0.60,-2.60,
0.80,-4.60,
1.00,-7.10,
1.20,-10.30,
1.40,-14.00,
1.60,-18.30,
1.70,-19.50,
2.50,-19.50,
3.00,-25.00,
3.50,-25.00,
4.00,-28.00,
7.50,-28.00,
10.00,-31.00,
13.00,-31.00,
14.00,-34.00,
15.00,-34.00,
19.00,-34.00,
50.00,-46.00,
75.00,-63.00,
95.00,-69.00,
180.00,-69.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,27
-180.00,-73.00,
-90.00,-73.00,
-70.00,-63.00,
-35.00,-51.00,
-23.00,-51.00,
-15.00,-48.00,
-13.50,-48.00,
-11.00,-43.00,
-5.00,-43.00,
-3.70,-40.00,
-2.00,-37.00,
-1.50,-37.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
1.50,-37.00,
2.00,-37.00,
3.70,-40.00,
5.00,-43.00,
11.00,-43.00,
13.50,-48.00,
15.00,-48.00,
23.00,-51.00,
35.00,-51.00,
70.00,-63.00,
90.00,-73.00,
180.00,-73.00,
ENDFIL:,EOF
