REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX8-65
PATNUM:,2581E
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19890216
LOWFRQ:,6425
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,41.6
MDGAIN:,42.0
HGGAIN:,42.4
AZWIDT:,1.30
ELWIDT:,1.30
ATVSWR:,1.06
FRTOBA:,76.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,41
-180.00,-76.00,
-85.00,-76.00,
-65.00,-67.00,
-55.00,-58.00,
-35.00,-54.00,
-30.00,-51.00,
-25.00,-49.00,
-17.50,-48.00,
-15.00,-45.50,
-12.50,-43.00,
-10.00,-43.00,
-5.00,-28.00,
-3.00,-25.00,
-2.50,-20.00,
-1.50,-20.00,
-1.20,-10.00,
-0.80,-4.00,
-0.40,-1.00,
-0.10,0.00,
0.00,0.00,
0.10,0.00,
0.40,-1.00,
0.80,-4.00,
1.20,-10.00,
1.50,-20.00,
2.50,-20.00,
3.00,-28.00,
5.00,-29.00,
10.00,-33.00,
11.00,-38.00,
15.00,-39.00,
20.00,-42.00,
25.00,-48.00,
30.00,-51.00,
38.00,-51.00,
40.00,-56.00,
60.00,-57.50,
75.00,-71.00,
85.00,-74.00,
100.00,-76.00,
180.00,-76.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.00,-81.00,
-80.00,-81.00,
-75.00,-78.00,
-70.00,-78.00,
-60.00,-67.00,
-40.00,-67.00,
-20.00,-62.00,
-15.00,-61.50,
-10.00,-61.00,
-4.00,-49.00,
-2.00,-30.00,
0.00,-30.00,
2.00,-30.00,
4.00,-51.00,
15.00,-57.00,
20.00,-63.00,
35.00,-63.00,
36.00,-66.00,
65.00,-66.00,
72.00,-76.00,
90.00,-77.00,
90.00,-81.00,
180.00,-81.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,46
-180.00,-78.00,
-80.00,-78.00,
-75.00,-71.00,
-72.00,-71.00,
-60.00,-60.00,
-40.00,-55.00,
-35.00,-55.00,
-25.00,-48.00,
-20.00,-48.00,
-20.00,-46.00,
-15.00,-45.00,
-11.00,-44.00,
-10.00,-40.00,
-9.00,-40.00,
-7.50,-33.00,
-5.00,-31.00,
-3.00,-27.00,
-2.50,-27.00,
-2.00,-20.00,
-1.70,-20.00,
-1.20,-10.00,
-0.80,-4.00,
-0.10,0.00,
0.00,0.00,
0.10,0.00,
0.40,-1.00,
0.80,-4.00,
1.20,-10.00,
1.70,-20.00,
2.00,-20.00,
3.00,-29.00,
5.00,-29.00,
5.50,-31.00,
7.50,-31.00,
8.00,-38.00,
10.00,-38.00,
12.50,-44.00,
25.00,-44.00,
30.00,-50.00,
45.00,-57.00,
50.00,-57.00,
60.00,-61.00,
65.00,-67.00,
70.00,-67.00,
85.00,-78.00,
180.00,-78.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.00,-81.00,
-75.00,-81.00,
-65.00,-78.00,
-60.00,-73.00,
-55.00,-73.00,
-50.00,-67.00,
-20.00,-65.00,
-15.00,-63.00,
-10.00,-62.00,
-7.00,-53.00,
-4.00,-50.00,
-2.00,-30.00,
0.00,-30.00,
2.00,-30.00,
4.00,-50.00,
5.00,-57.00,
15.00,-57.00,
30.00,-60.00,
30.00,-64.00,
50.00,-64.50,
65.00,-69.00,
75.00,-81.00,
180.00,-81.00,
ENDFIL:,EOF
