REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,P10-186
PATNUM:,3951
FEDORN:,RIGHT
DESCR1:,
DESCR2:,RPE for the condition when 1.85 GHz is horizontally polarized.  Consult RPE 3950 for 1.85 GHz performance.
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19920604
LOWFRQ:,6425
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,43.1
MDGAIN:,43.4
HGGAIN:,43.8
AZWIDT:,1.00
ELWIDT:,1.00
ATVSWR:,1.10
FRTOBA:,52.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,57
-180.0,-52.0,
-170.0,-52.0,
-170.0,-61.0,
-121.0,-61.0,
-95.0,-46.0,
-41.0,-44.0,
-15.0,-39.0,
-10.0,-39.0,
-7.5,-31.0,
-3.5,-28.0,
-1.5,-20.1,
-1.2,-15.0,
-1.2,-10.0,
-1.1,-6.9,
-1.0,-5.7,
-0.9,-4.7,
-0.8,-3.7,
-0.8,-2.9,
-0.7,-2.3,
-0.6,-1.7,
-0.6,-1.2,
-0.5,-0.9,
-0.4,-0.6,
-0.4,-0.4,
-0.3,-0.2,
-0.2,-0.1,
-0.1,0.0,
-0.1,0.0,
0.0,0.0,
0.1,0.0,
0.1,0.0,
0.2,-0.1,
0.3,-0.2,
0.4,-0.4,
0.4,-0.6,
0.5,-0.9,
0.6,-1.2,
0.6,-1.7,
0.7,-2.3,
0.8,-2.9,
0.8,-3.7,
0.9,-4.7,
1.0,-5.7,
1.1,-6.9,
1.2,-10.0,
1.2,-15.0,
1.5,-20.1,
3.5,-28.0,
7.5,-31.0,
10.0,-39.0,
15.0,-39.0,
41.0,-44.0,
95.0,-46.0,
121.0,-61.0,
170.0,-61.0,
170.0,-52.0,
180.0,-52.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,11
-180.0,-61.0,
-43.0,-61.0,
-15.0,-50.0,
-5.0,-50.0,
-1.0,-30.0,
0.0,-30.0,
1.0,-30.0,
5.0,-50.0,
15.0,-50.0,
43.0,-61.0,
180.0,-61.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,67
-180.0,-52.0,
-170.0,-52.0,
-170.0,-61.0,
-112.0,-61.0,
-97.0,-50.0,
-56.0,-42.0,
-26.0,-42.0,
-15.0,-35.0,
-10.0,-35.0,
-7.0,-27.0,
-5.0,-27.0,
-5.0,-25.0,
-3.5,-20.0,
-2.0,-16.7,
-1.9,-16.7,
-1.7,-15.0,
-1.3,-10.9,
-1.2,-10.0,
-1.1,-6.9,
-1.0,-5.7,
-0.9,-4.7,
-0.8,-3.7,
-0.8,-2.9,
-0.7,-2.3,
-0.6,-1.7,
-0.6,-1.2,
-0.5,-0.9,
-0.4,-0.6,
-0.4,-0.4,
-0.3,-0.2,
-0.2,-0.1,
-0.1,0.0,
-0.1,0.0,
0.0,0.0,
0.1,0.0,
0.1,0.0,
0.2,-0.1,
0.3,-0.2,
0.4,-0.4,
0.4,-0.6,
0.5,-0.9,
0.6,-1.2,
0.6,-1.7,
0.7,-2.3,
0.8,-2.9,
0.8,-3.7,
0.9,-4.7,
1.0,-5.7,
1.1,-6.9,
1.2,-10.0,
1.3,-10.9,
1.7,-15.0,
1.9,-16.7,
2.0,-16.7,
3.5,-20.0,
5.0,-25.0,
5.0,-27.0,
7.0,-27.0,
10.0,-35.0,
15.0,-35.0,
26.0,-42.0,
56.0,-42.0,
97.0,-50.0,
112.0,-61.0,
170.0,-61.0,
170.0,-52.0,
180.0,-52.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.0,-61.0,
-110.0,-61.0,
-50.0,-58.0,
-15.0,-46.0,
-10.0,-39.0,
-5.0,-37.0,
-3.0,-35.0,
-2.0,-30.0,
0.0,-30.0,
2.0,-30.0,
3.0,-35.0,
5.0,-37.0,
10.0,-39.0,
15.0,-46.0,
50.0,-58.0,
110.0,-61.0,
180.0,-61.0,
ENDFIL:,EOF
