REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HSX10-64
PATNUM:,2459A
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19960613
LOWFRQ:,6425
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,43.2
MDGAIN:,43.6
HGGAIN:,44.0
AZWIDT:,1.00
ELWIDT:,1.00
ATVSWR:,1.06
FRTOBA:,77.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,56
-180.00,-77.00,
-98.00,-77.00,
-94.00,-75.00,
-91.00,-75.00,
-82.50,-67.00,
-75.00,-60.00,
-72.50,-60.00,
-69.00,-57.00,
-62.00,-57.00,
-54.00,-54.50,
-46.00,-54.50,
-43.00,-52.50,
-36.00,-52.50,
-34.00,-47.50,
-26.00,-47.50,
-24.00,-45.00,
-15.00,-43.00,
-13.50,-41.00,
-11.00,-41.00,
-9.25,-38.50,
-7.50,-31.50,
-3.50,-31.50,
-2.50,-25.00,
-1.70,-25.00,
-1.40,-19.43,
-1.20,-14.28,
-1.00,-9.91,
-0.80,-6.34,
-0.60,-3.57,
-0.40,-1.58,
-0.20,-0.39,
0.00,0.00,
0.20,-0.39,
0.40,-1.58,
0.60,-3.57,
0.80,-6.34,
1.00,-9.91,
1.20,-14.28,
1.40,-19.43,
1.60,-25.38,
2.00,-31.00,
3.90,-31.00,
4.50,-35.20,
7.60,-35.20,
8.20,-38.70,
9.50,-38.70,
10.00,-44.00,
15.00,-44.00,
24.00,-53.00,
35.00,-53.00,
46.00,-58.50,
66.00,-58.50,
73.00,-67.00,
81.00,-67.00,
88.00,-77.00,
180.00,-77.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,34
-180.00,-77.00,
-77.00,-77.00,
-73.50,-74.00,
-70.00,-74.00,
-62.50,-70.00,
-47.00,-70.00,
-43.00,-68.00,
-36.00,-68.00,
-28.00,-65.50,
-21.00,-65.50,
-17.00,-64.00,
-15.00,-64.00,
-9.00,-64.00,
-8.50,-62.00,
-7.50,-62.00,
-7.00,-59.00,
-5.50,-59.00,
-4.80,-57.00,
-2.20,-57.00,
-1.00,-40.00,
0.00,-40.00,
1.00,-40.00,
2.50,-53.50,
5.50,-53.50,
6.70,-60.00,
9.40,-60.00,
10.20,-65.00,
13.70,-65.00,
14.50,-68.00,
51.00,-68.00,
58.00,-74.00,
73.00,-74.00,
76.00,-77.00,
180.00,-77.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,62
-180.00,-77.00,
-93.00,-77.00,
-91.00,-73.00,
-85.00,-73.00,
-82.00,-69.00,
-75.00,-69.00,
-67.00,-57.00,
-54.00,-57.00,
-52.00,-54.00,
-40.00,-54.00,
-33.00,-50.50,
-30.00,-44.50,
-22.00,-44.50,
-21.00,-41.00,
-15.00,-41.00,
-13.80,-41.00,
-13.50,-39.00,
-8.80,-39.00,
-7.50,-31.00,
-3.50,-31.00,
-2.20,-26.00,
-1.70,-26.00,
-1.40,-19.43,
-1.20,-14.28,
-1.00,-9.91,
-0.80,-6.34,
-0.60,-3.57,
-0.40,-1.58,
-0.20,-0.39,
0.00,0.00,
0.20,-0.39,
0.40,-1.58,
0.60,-3.57,
0.80,-6.34,
1.00,-9.91,
1.20,-14.28,
1.40,-19.43,
1.60,-25.38,
2.00,-30.00,
2.70,-30.00,
3.00,-33.00,
3.80,-33.00,
4.00,-34.00,
7.00,-34.00,
10.50,-41.00,
11.50,-46.00,
14.50,-46.00,
15.00,-47.00,
17.00,-48.00,
24.00,-48.00,
26.00,-52.00,
30.00,-52.00,
32.00,-54.50,
44.00,-54.50,
46.00,-56.50,
56.00,-56.50,
61.00,-58.00,
69.00,-58.00,
87.00,-74.50,
91.00,-74.50,
93.00,-77.00,
180.00,-77.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,38
-180.00,-77.00,
-77.00,-77.00,
-76.00,-76.00,
-71.00,-76.00,
-63.00,-65.00,
-38.00,-65.00,
-25.00,-62.00,
-20.00,-62.00,
-15.00,-60.00,
-6.50,-60.00,
-6.00,-56.00,
-5.00,-56.00,
-4.50,-53.00,
-2.50,-53.00,
-2.00,-51.50,
-1.50,-51.50,
-1.00,-40.00,
0.00,-40.00,
1.00,-40.00,
2.30,-53.00,
6.00,-53.00,
6.50,-54.00,
9.20,-54.00,
11.00,-63.00,
11.70,-63.00,
12.30,-68.00,
15.00,-68.00,
20.00,-68.00,
24.00,-69.00,
32.00,-69.00,
34.00,-70.00,
46.00,-70.00,
48.00,-72.00,
65.00,-72.00,
70.00,-75.00,
75.00,-75.00,
77.00,-77.00,
180.00,-77.00,
ENDFIL:,EOF
