REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PARX10-65
PATNUM:,4383
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19980810
LOWFRQ:,6425
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,43.3
MDGAIN:,43.6
HGGAIN:,44.0
AZWIDT:,1.10
ELWIDT:,1.10
ATVSWR:,1.06
FRTOBA:,60.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,53
-180.00,-60.00,
-170.00,-60.00,
-169.90,-66.00,
-116.00,-66.00,
-92.00,-50.00,
-52.00,-50.00,
-36.00,-47.00,
-24.00,-47.00,
-21.00,-41.00,
-15.00,-41.00,
-12.50,-41.00,
-8.50,-32.00,
-4.80,-32.00,
-2.67,-20.00,
-1.53,-20.00,
-1.47,-18.00,
-1.40,-16.00,
-1.33,-14.00,
-1.26,-12.00,
-1.18,-10.00,
-1.06,-8.00,
-0.94,-6.00,
-0.80,-4.00,
-0.60,-2.00,
-0.40,-0.78,
-0.23,-0.17,
0.00,0.00,
0.23,-0.17,
0.40,-0.78,
0.60,-2.00,
0.80,-4.00,
0.94,-6.00,
1.06,-8.00,
1.18,-10.00,
1.26,-12.00,
1.33,-14.00,
1.40,-16.00,
1.47,-18.00,
1.53,-20.00,
2.67,-20.00,
4.80,-32.00,
8.50,-32.00,
12.50,-41.00,
15.00,-41.00,
21.00,-41.00,
24.00,-47.00,
36.00,-47.00,
52.00,-50.00,
92.00,-50.00,
116.00,-66.00,
169.90,-66.00,
170.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,25
-180.00,-62.00,
-170.00,-62.00,
-169.90,-68.00,
-48.00,-68.00,
-45.00,-62.00,
-15.00,-62.00,
-13.00,-62.00,
-10.20,-57.00,
-4.30,-57.00,
-3.44,-51.00,
-2.60,-51.00,
-1.25,-35.00,
0.00,-35.00,
1.25,-35.00,
2.60,-51.00,
3.44,-51.00,
4.30,-57.00,
10.20,-57.00,
13.00,-62.00,
15.00,-62.00,
45.00,-62.00,
48.00,-68.00,
169.90,-68.00,
170.00,-62.00,
180.00,-62.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,55
-180.00,-60.00,
-170.00,-60.00,
-169.90,-67.00,
-109.00,-67.00,
-100.00,-56.00,
-85.00,-50.00,
-37.00,-50.00,
-31.00,-46.00,
-24.00,-46.00,
-22.00,-41.00,
-15.00,-41.00,
-4.90,-29.00,
-3.20,-29.00,
-2.40,-23.00,
-1.60,-23.00,
-1.52,-20.00,
-1.45,-18.00,
-1.38,-16.00,
-1.31,-14.00,
-1.22,-12.00,
-1.13,-10.00,
-1.02,-8.00,
-0.90,-6.00,
-0.74,-4.00,
-0.53,-2.00,
-0.40,-1.00,
-0.20,-0.16,
0.00,0.00,
0.20,-0.16,
0.40,-1.00,
0.53,-2.00,
0.74,-4.00,
0.90,-6.00,
1.02,-8.00,
1.13,-10.00,
1.22,-12.00,
1.31,-14.00,
1.38,-16.00,
1.45,-18.00,
1.52,-20.00,
1.60,-23.00,
2.40,-23.00,
3.20,-29.00,
4.90,-29.00,
15.00,-41.00,
22.00,-41.00,
24.00,-46.00,
31.00,-46.00,
37.00,-50.00,
85.00,-50.00,
100.00,-56.00,
109.00,-67.00,
169.90,-67.00,
170.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,29
-180.00,-62.00,
-170.00,-62.00,
-169.90,-70.00,
-79.00,-70.00,
-75.00,-66.00,
-62.00,-66.00,
-41.00,-60.00,
-15.00,-60.00,
-11.00,-60.00,
-9.90,-56.00,
-4.26,-56.00,
-3.50,-50.00,
-2.16,-50.00,
-1.25,-35.00,
0.00,-35.00,
1.25,-35.00,
2.16,-50.00,
3.50,-50.00,
4.26,-56.00,
9.90,-56.00,
11.00,-60.00,
15.00,-60.00,
41.00,-60.00,
62.00,-66.00,
75.00,-66.00,
79.00,-70.00,
169.90,-70.00,
170.00,-62.00,
180.00,-62.00,
ENDFIL:,EOF
