REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HPX10-65
PATNUM:,2655D
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19750528
LOWFRQ:,6425
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,43.6
MDGAIN:,44.0
HGGAIN:,44.4
AZWIDT:,1.00
ELWIDT:,1.00
ATVSWR:,1.06
FRTOBA:,70.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,33
-180.00,-71.00,
-100.00,-71.00,
-65.00,-50.00,
-55.00,-50.00,
-40.00,-43.00,
-30.00,-43.00,
-30.00,-41.00,
-15.00,-39.30,
-10.00,-36.00,
-10.00,-29.00,
-5.80,-29.00,
-3.00,-22.00,
-1.80,-22.00,
-1.50,-15.00,
-1.00,-5.00,
-0.50,-0.80,
0.00,0.00,
0.50,-0.80,
1.00,-5.00,
1.50,-15.00,
1.80,-22.00,
3.00,-22.00,
5.80,-29.00,
10.00,-29.00,
10.00,-36.00,
15.00,-39.30,
30.00,-41.00,
30.00,-43.00,
40.00,-43.00,
55.00,-50.00,
65.00,-50.00,
100.00,-71.00,
180.00,-71.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.00,-71.00,
-90.00,-71.00,
-70.00,-60.00,
-29.00,-58.00,
-20.00,-58.00,
-17.50,-53.00,
-11.50,-53.00,
-11.00,-50.00,
-7.00,-50.00,
-5.00,-40.00,
-2.00,-34.00,
0.00,-34.00,
2.00,-34.00,
5.00,-40.00,
7.00,-50.00,
11.00,-50.00,
11.50,-53.00,
17.50,-53.00,
20.00,-58.00,
29.00,-58.00,
70.00,-60.00,
90.00,-71.00,
180.00,-71.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,37
-180.00,-71.00,
-95.00,-71.00,
-80.00,-60.00,
-60.00,-53.00,
-51.00,-52.20,
-30.00,-47.20,
-30.00,-43.00,
-15.00,-40.00,
-11.00,-40.00,
-9.00,-34.00,
-5.00,-32.00,
-4.00,-26.00,
-3.10,-24.00,
-1.90,-24.00,
-1.80,-22.00,
-1.50,-15.00,
-1.00,-5.00,
-0.50,-0.80,
0.00,0.00,
0.50,-0.80,
1.00,-5.00,
1.50,-15.00,
1.80,-22.00,
1.90,-24.00,
3.10,-24.00,
4.00,-26.00,
5.00,-32.00,
9.00,-34.00,
11.00,-40.00,
15.00,-40.00,
30.00,-43.00,
30.00,-47.20,
51.00,-52.20,
60.00,-53.00,
80.00,-60.00,
95.00,-71.00,
180.00,-71.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,15
-180.00,-71.00,
-95.00,-71.00,
-66.00,-59.00,
-30.00,-59.00,
-15.00,-52.00,
-5.00,-44.00,
-2.00,-34.00,
0.00,-34.00,
2.00,-34.00,
5.00,-44.00,
15.00,-52.00,
30.00,-59.00,
66.00,-59.00,
95.00,-71.00,
180.00,-71.00,
ENDFIL:,EOF
