REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PAR12-65
PATNUM:,2430A
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19971205
LOWFRQ:,6425
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,44.9
MDGAIN:,45.3
HGGAIN:,45.5
AZWIDT:,0.80
ELWIDT:,0.80
ATVSWR:,1.06
FRTOBA:,64.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,38
-180.00,-64.00,
-110.00,-64.00,
-99.00,-54.50,
-34.44,-54.00,
-25.22,-49.51,
-15.00,-45.00,
-13.00,-42.00,
-7.00,-41.50,
-5.71,-33.21,
-4.01,-33.07,
-2.48,-23.82,
-2.00,-23.69,
-1.00,-8.27,
-0.83,-6.38,
-0.67,-3.25,
-0.50,-1.87,
-0.33,-0.49,
-0.17,-0.01,
0.00,0.00,
0.00,0.00,
0.17,-0.01,
0.33,-0.49,
0.50,-1.87,
0.67,-3.25,
0.83,-6.38,
1.00,-8.27,
2.00,-23.69,
2.48,-23.82,
4.01,-33.07,
5.71,-33.21,
7.00,-41.50,
13.00,-42.00,
15.00,-45.00,
25.22,-49.51,
34.44,-54.00,
99.00,-54.50,
110.00,-64.00,
180.00,-64.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,15
-180.00,-64.00,
-20.00,-64.00,
-15.00,-58.00,
-7.70,-58.00,
-6.20,-53.00,
-5.00,-49.00,
-3.42,-49.00,
-1.00,-30.00,
1.00,-30.00,
3.42,-49.00,
5.00,-49.00,
7.76,-58.00,
15.00,-58.00,
20.00,-64.00,
180.00,-64.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,44
-180.00,-64.00,
-110.00,-64.00,
-99.00,-55.00,
-50.00,-55.00,
-32.00,-50.00,
-25.00,-50.00,
-20.00,-43.00,
-15.00,-43.00,
-11.50,-43.00,
-10.50,-41.00,
-8.50,-41.00,
-7.00,-40.50,
-6.00,-38.00,
-5.00,-37.00,
-3.70,-33.00,
-3.00,-25.00,
-1.70,-25.00,
-1.00,-9.98,
-0.83,-7.49,
-0.67,-3.68,
-0.50,-2.28,
-0.33,-0.88,
-0.17,-0.01,
0.00,0.00,
0.17,-0.01,
0.33,-0.88,
0.50,-2.28,
0.67,-3.68,
0.83,-7.49,
1.00,-9.98,
1.70,-27.50,
3.00,-28.00,
4.00,-35.00,
5.00,-35.00,
8.00,-44.00,
10.00,-44.00,
13.50,-49.00,
14.50,-52.00,
15.00,-52.00,
26.00,-52.00,
40.00,-56.00,
100.00,-56.00,
110.00,-64.00,
180.00,-64.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,13
-180.00,-64.00,
-21.00,-64.00,
-15.00,-63.00,
-6.00,-62.00,
-5.00,-60.00,
-3.50,-60.00,
-1.00,-30.00,
1.00,-30.00,
3.00,-57.50,
5.40,-57.50,
7.00,-64.00,
15.00,-64.00,
180.00,-64.00,
ENDFIL:,EOF
