REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PARX12-65
PATNUM:,4384
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19980810
LOWFRQ:,6425
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,45.1
MDGAIN:,45.5
HGGAIN:,45.9
AZWIDT:,0.90
ELWIDT:,0.90
ATVSWR:,1.06
FRTOBA:,60.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,53
-180.00,-60.00,
-170.00,-60.00,
-169.90,-65.94,
-120.04,-65.94,
-104.87,-57.21,
-100.00,-55.00,
-96.04,-52.99,
-38.00,-51.00,
-36.00,-49.00,
-19.00,-49.00,
-16.00,-40.00,
-15.00,-39.00,
-10.00,-39.00,
-7.93,-36.05,
-4.00,-34.00,
-2.70,-27.00,
-1.51,-24.00,
-1.31,-18.00,
-1.20,-14.00,
-1.04,-10.00,
-0.94,-8.00,
-0.84,-6.00,
-0.70,-4.00,
-0.53,-2.00,
-0.40,-0.92,
-0.26,-0.16,
0.00,0.00,
0.26,-0.16,
0.40,-0.92,
0.53,-2.00,
0.70,-4.00,
0.84,-6.00,
0.94,-8.00,
1.04,-10.00,
1.20,-14.00,
1.31,-18.00,
1.51,-24.00,
2.70,-27.00,
4.00,-34.00,
7.93,-36.05,
10.00,-39.00,
15.00,-39.00,
16.00,-40.00,
19.00,-49.00,
36.00,-49.00,
38.00,-51.00,
96.04,-52.99,
100.00,-55.00,
104.87,-57.21,
120.04,-65.94,
169.90,-65.94,
170.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,19
-180.00,-65.00,
-170.00,-65.00,
-169.90,-73.00,
-100.00,-73.00,
-83.00,-69.00,
-22.00,-66.00,
-15.00,-55.00,
-4.00,-55.00,
-1.50,-35.00,
0.00,-35.00,
1.50,-35.00,
4.00,-55.00,
15.00,-55.00,
22.00,-66.00,
83.00,-69.00,
100.00,-73.00,
169.90,-73.00,
170.00,-65.00,
180.00,-65.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,57
-180.00,-60.00,
-170.00,-60.00,
-169.90,-70.00,
-120.00,-70.00,
-100.00,-55.00,
-97.50,-53.00,
-75.50,-58.00,
-58.00,-58.00,
-56.00,-54.00,
-29.00,-53.00,
-26.00,-48.00,
-17.00,-44.00,
-15.00,-41.00,
-11.00,-41.00,
-9.50,-37.00,
-5.00,-36.00,
-2.87,-27.00,
-1.65,-26.00,
-1.40,-24.00,
-1.30,-20.00,
-1.20,-16.00,
-1.07,-12.00,
-1.00,-10.00,
-0.90,-8.00,
-0.80,-6.00,
-0.66,-4.00,
-0.50,-1.90,
-0.28,-0.50,
0.00,0.00,
0.28,-0.50,
0.50,-1.90,
0.66,-4.00,
0.80,-6.00,
0.90,-8.00,
1.00,-10.00,
1.07,-12.00,
1.20,-16.00,
1.30,-20.00,
1.40,-24.00,
1.65,-26.00,
2.87,-27.00,
5.00,-36.00,
9.50,-37.00,
11.00,-41.00,
15.00,-41.00,
17.00,-44.00,
26.00,-48.00,
29.00,-53.00,
56.00,-54.00,
58.00,-58.00,
75.50,-58.00,
97.50,-53.00,
100.00,-55.00,
120.00,-70.00,
169.90,-70.00,
170.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.00,-65.00,
-170.00,-65.00,
-169.90,-72.00,
-80.00,-72.00,
-57.00,-64.00,
-22.00,-64.00,
-15.00,-56.00,
-5.00,-56.00,
-4.00,-50.00,
-2.50,-50.00,
-1.50,-35.00,
0.00,-35.00,
1.50,-35.00,
2.50,-50.00,
4.00,-50.00,
5.00,-56.00,
15.00,-56.00,
22.00,-64.00,
57.00,-64.00,
80.00,-72.00,
169.90,-72.00,
170.00,-65.00,
180.00,-65.00,
ENDFIL:,EOF
