REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HSX12-64
PATNUM:,2471A
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19960627
LOWFRQ:,6425
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,45.2
MDGAIN:,45.7
HGGAIN:,46.1
AZWIDT:,0.80
ELWIDT:,0.80
ATVSWR:,1.06
FRTOBA:,78.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,58
-180.00,-78.00,
-87.50,-78.00,
-82.50,-70.50,
-80.00,-70.50,
-70.00,-61.00,
-59.00,-61.00,
-57.50,-59.00,
-52.50,-59.00,
-50.00,-57.00,
-42.00,-57.00,
-22.00,-51.50,
-15.00,-51.50,
-12.75,-51.50,
-11.50,-46.00,
-11.00,-46.00,
-10.50,-42.10,
-9.25,-42.10,
-6.00,-33.60,
-3.50,-33.60,
-3.25,-29.50,
-2.25,-29.50,
-1.90,-23.00,
-1.50,-23.00,
-1.25,-21.33,
-1.00,-14.81,
-0.80,-9.48,
-0.60,-5.33,
-0.40,-2.37,
-0.20,-0.59,
0.00,0.00,
0.20,-0.59,
0.40,-2.37,
0.60,-5.33,
0.80,-9.48,
1.00,-14.81,
1.30,-22.00,
1.50,-22.00,
2.40,-30.50,
3.50,-32.00,
6.00,-32.00,
6.50,-34.00,
7.50,-34.00,
8.00,-39.50,
11.75,-39.50,
12.40,-45.50,
15.00,-45.50,
18.00,-45.50,
20.00,-50.00,
30.00,-50.00,
32.50,-51.70,
41.00,-51.70,
44.00,-56.50,
67.00,-56.50,
74.00,-60.00,
85.00,-74.00,
91.00,-74.00,
100.00,-78.00,
180.00,-78.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,27
-180.00,-78.00,
-67.00,-78.00,
-50.00,-70.00,
-20.00,-70.00,
-17.50,-68.00,
-15.00,-68.00,
-11.50,-68.00,
-10.25,-64.00,
-6.00,-64.00,
-4.50,-54.00,
-2.00,-54.00,
-0.80,-40.00,
0.00,-40.00,
0.80,-40.00,
1.50,-54.00,
12.00,-54.00,
13.50,-56.40,
14.25,-61.00,
15.00,-61.00,
16.00,-61.00,
18.00,-66.00,
30.00,-66.00,
42.00,-69.00,
55.00,-69.00,
60.00,-71.50,
62.50,-78.00,
180.00,-78.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,53
-180.00,-78.00,
-90.00,-78.00,
-82.50,-75.00,
-80.00,-70.00,
-70.00,-61.20,
-52.00,-61.20,
-42.50,-55.10,
-30.00,-55.10,
-27.50,-51.00,
-22.50,-49.00,
-15.00,-49.00,
-13.00,-49.00,
-6.00,-32.20,
-3.25,-32.20,
-3.00,-31.10,
-2.40,-31.10,
-1.90,-25.50,
-1.50,-25.50,
-1.20,-21.33,
-1.00,-14.81,
-0.80,-9.48,
-0.60,-5.33,
-0.40,-2.37,
-0.20,-0.59,
0.00,0.00,
0.20,-0.59,
0.40,-2.37,
0.60,-5.33,
0.80,-9.48,
1.00,-14.81,
1.25,-21.33,
1.60,-24.50,
2.00,-24.50,
2.10,-29.50,
2.75,-29.50,
3.25,-31.50,
5.50,-31.50,
6.50,-35.10,
7.50,-35.10,
8.00,-40.10,
10.50,-40.10,
11.00,-43.00,
13.00,-43.00,
15.00,-47.00,
20.00,-47.00,
40.00,-53.00,
44.00,-58.00,
62.50,-58.00,
64.00,-62.80,
72.50,-62.80,
77.50,-71.00,
87.00,-78.00,
180.00,-78.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,27
-180.00,-78.00,
-82.00,-78.00,
-77.50,-74.00,
-60.00,-74.00,
-55.00,-71.00,
-20.00,-71.00,
-15.00,-69.00,
-9.25,-69.00,
-8.75,-60.00,
-7.50,-60.00,
-6.75,-58.00,
-5.25,-58.00,
-4.00,-54.50,
-3.00,-54.50,
-0.80,-40.00,
0.00,-40.00,
0.80,-40.00,
2.50,-57.20,
15.00,-57.20,
20.00,-67.00,
35.00,-67.00,
37.50,-68.00,
55.00,-68.00,
63.00,-74.10,
70.00,-74.10,
73.00,-78.00,
180.00,-78.00,
ENDFIL:,EOF
