REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX12-65
PATNUM:,1715J
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19860602
LOWFRQ:,6425
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,45.2
MDGAIN:,45.7
HGGAIN:,46.1
AZWIDT:,0.90
ELWIDT:,0.90
ATVSWR:,1.06
FRTOBA:,78.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,54
-180.00,-78.00,
-170.00,-78.00,
-170.00,-82.00,
-160.00,-83.00,
-140.00,-83.00,
-120.00,-79.00,
-100.00,-78.00,
-95.00,-78.00,
-90.00,-75.00,
-90.00,-73.50,
-80.00,-63.00,
-70.00,-56.00,
-50.00,-56.00,
-40.00,-55.00,
-30.00,-55.00,
-20.00,-52.00,
-20.00,-46.00,
-15.00,-46.00,
-10.00,-44.00,
-9.00,-40.00,
-7.00,-37.00,
-6.00,-37.00,
-5.00,-32.00,
-3.00,-32.00,
-2.00,-29.00,
-1.50,-24.00,
-0.50,-3.00,
0.00,0.00,
0.50,-3.00,
1.50,-24.00,
2.00,-29.00,
3.00,-29.00,
5.00,-35.00,
6.00,-40.00,
7.00,-44.00,
10.00,-45.00,
10.00,-47.00,
12.00,-51.00,
15.00,-52.00,
20.00,-56.00,
25.00,-59.00,
40.00,-60.00,
45.00,-62.00,
65.00,-62.00,
70.00,-68.00,
80.00,-75.00,
90.00,-80.00,
100.00,-82.00,
105.00,-84.00,
140.00,-84.00,
155.00,-83.00,
170.00,-83.00,
170.00,-78.00,
180.00,-78.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,34
-180.00,-78.00,
-170.00,-78.00,
-170.00,-84.00,
-160.00,-85.00,
-130.00,-85.00,
-110.00,-83.00,
-80.00,-83.00,
-60.00,-76.00,
-30.00,-73.00,
-25.00,-72.00,
-20.00,-68.00,
-15.00,-61.00,
-10.00,-56.00,
-10.00,-52.00,
-7.00,-52.00,
-5.00,-46.00,
-2.50,-46.00,
-1.50,-38.00,
1.50,-38.00,
2.50,-50.00,
5.00,-55.00,
10.00,-73.00,
15.00,-75.00,
20.00,-76.00,
40.00,-78.00,
50.00,-78.00,
80.00,-83.00,
100.00,-83.00,
105.00,-84.00,
140.00,-84.00,
155.00,-83.00,
170.00,-83.00,
170.00,-78.00,
180.00,-78.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,61
-180.00,-79.00,
-170.00,-79.00,
-170.00,-81.00,
-160.00,-82.00,
-160.00,-83.00,
-150.00,-84.00,
-130.00,-84.00,
-120.00,-83.00,
-100.00,-83.00,
-90.00,-80.00,
-85.00,-75.00,
-80.00,-67.00,
-70.00,-60.00,
-45.00,-60.00,
-40.00,-58.00,
-35.00,-58.00,
-25.00,-55.00,
-20.00,-55.00,
-20.00,-49.00,
-12.00,-49.00,
-11.00,-48.00,
-10.00,-45.00,
-8.00,-40.00,
-7.00,-40.00,
-6.00,-38.00,
-5.00,-34.00,
-5.00,-33.00,
-3.00,-33.00,
-3.00,-32.00,
-2.00,-29.00,
-1.50,-24.00,
-0.50,-3.00,
0.00,0.00,
0.50,-3.00,
1.50,-24.00,
2.00,-29.00,
5.00,-35.00,
6.00,-40.00,
7.00,-44.00,
9.00,-45.00,
10.00,-49.00,
12.00,-51.00,
15.00,-51.00,
20.00,-54.00,
20.00,-57.00,
25.00,-59.00,
35.00,-59.00,
40.00,-62.00,
45.00,-66.00,
65.00,-66.00,
70.00,-71.50,
80.00,-77.00,
90.00,-79.00,
100.00,-84.00,
105.00,-85.00,
130.00,-85.00,
140.00,-84.00,
155.00,-83.00,
170.00,-83.00,
170.00,-79.00,
180.00,-79.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,33
-180.00,-79.00,
-170.00,-79.00,
-170.00,-83.00,
-150.00,-85.00,
-140.00,-85.00,
-130.00,-84.00,
-120.00,-80.00,
-85.00,-80.00,
-80.00,-78.00,
-60.00,-74.00,
-40.00,-72.00,
-35.00,-69.00,
-20.00,-69.00,
-20.00,-65.50,
-15.00,-62.00,
-14.00,-61.00,
-10.00,-60.00,
-5.00,-55.00,
-2.50,-55.00,
-1.50,-38.00,
1.50,-38.00,
2.50,-50.00,
5.00,-55.00,
10.00,-69.00,
15.00,-71.00,
70.00,-79.00,
120.00,-79.00,
130.00,-84.00,
140.00,-84.00,
155.00,-83.00,
170.00,-83.00,
170.00,-79.00,
180.00,-79.00,
ENDFIL:,EOF
