REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PXL15-65
PATNUM:,2640E
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19751112
LOWFRQ:,6425
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,46.6
MDGAIN:,46.9
HGGAIN:,47.3
AZWIDT:,0.70
ELWIDT:,0.70
ATVSWR:,1.06
FRTOBA:,59.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,39
-180.00,-59.00,
-170.00,-59.00,
-170.00,-62.00,
-115.00,-62.00,
-100.00,-49.00,
-94.00,-49.00,
-90.00,-53.00,
-50.00,-53.00,
-40.00,-47.00,
-35.00,-47.00,
-29.00,-50.00,
-15.00,-50.00,
-11.50,-35.00,
-8.00,-35.00,
-6.50,-29.00,
-3.20,-29.00,
-1.70,-18.00,
-1.00,-18.00,
-0.50,-1.00,
0.00,0.00,
0.50,-1.00,
1.00,-18.00,
1.70,-18.00,
3.20,-29.00,
6.50,-29.00,
8.00,-35.00,
11.50,-35.00,
15.00,-50.00,
29.00,-50.00,
35.00,-47.00,
40.00,-47.00,
50.00,-53.00,
90.00,-53.00,
94.00,-49.00,
100.00,-49.00,
115.00,-62.00,
170.00,-62.00,
170.00,-59.00,
180.00,-59.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,21
-180.00,-65.00,
-170.00,-65.00,
-170.00,-68.00,
-120.00,-68.00,
-110.00,-64.00,
-15.00,-64.00,
-8.00,-55.00,
-6.50,-43.00,
-3.00,-43.00,
-2.00,-30.00,
0.00,-30.00,
2.00,-30.00,
3.00,-43.00,
6.50,-43.00,
8.00,-55.00,
15.00,-64.00,
110.00,-64.00,
120.00,-68.00,
170.00,-68.00,
170.00,-65.00,
180.00,-65.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,33
-180.00,-59.00,
-115.00,-59.00,
-105.00,-50.00,
-93.00,-50.00,
-84.50,-55.00,
-45.00,-55.00,
-29.00,-53.00,
-20.00,-47.00,
-14.00,-47.00,
-11.50,-39.00,
-8.50,-38.00,
-5.50,-30.00,
-3.40,-30.00,
-1.90,-19.00,
-1.00,-19.00,
-0.50,-1.00,
0.00,0.00,
0.50,-1.00,
1.00,-19.00,
1.90,-19.00,
3.40,-30.00,
5.50,-30.00,
8.50,-38.00,
11.50,-39.00,
14.00,-47.00,
20.00,-47.00,
29.00,-53.00,
45.00,-55.00,
84.50,-55.00,
93.00,-50.00,
105.00,-50.00,
115.00,-59.00,
180.00,-59.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.00,-65.00,
-170.00,-65.00,
-170.00,-68.00,
-120.00,-68.00,
-100.00,-64.00,
-15.00,-64.00,
-3.50,-50.00,
-2.00,-30.00,
0.00,-30.00,
2.00,-30.00,
3.50,-50.00,
15.00,-64.00,
100.00,-64.00,
120.00,-68.00,
170.00,-68.00,
170.00,-65.00,
180.00,-65.00,
ENDFIL:,EOF
