REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX15-65
PATNUM:,1709E
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19760220
LOWFRQ:,6425
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,46.6
MDGAIN:,46.9
HGGAIN:,47.3
AZWIDT:,0.70
ELWIDT:,0.70
ATVSWR:,1.06
FRTOBA:,75.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,28
-180.00,-75.00,
-90.00,-75.00,
-80.00,-53.00,
-20.00,-53.00,
-17.00,-47.00,
-15.00,-47.00,
-13.00,-41.00,
-10.00,-41.00,
-5.00,-31.00,
-4.50,-31.00,
-4.50,-34.00,
-2.50,-34.00,
-2.00,-26.00,
-1.50,-26.00,
-0.40,-0.50,
0.00,0.00,
0.40,-0.50,
1.30,-22.00,
2.50,-22.00,
3.00,-29.00,
5.00,-29.00,
8.00,-40.00,
15.00,-43.40,
18.00,-45.00,
50.00,-45.00,
70.00,-54.00,
100.00,-75.00,
180.00,-75.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,22
-180.00,-75.00,
-80.00,-75.00,
-65.00,-67.00,
-50.00,-67.00,
-45.00,-63.00,
-18.00,-63.00,
-15.00,-60.00,
-15.00,-59.30,
-13.00,-57.00,
-10.00,-57.00,
-7.00,-48.00,
-4.00,-48.00,
-1.50,-30.00,
0.00,-30.00,
1.50,-30.00,
7.00,-60.00,
15.00,-57.00,
22.50,-60.00,
30.00,-60.00,
70.00,-70.00,
75.00,-75.00,
180.00,-75.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,30
-180.00,-75.00,
-80.00,-75.00,
-75.00,-64.00,
-60.00,-55.00,
-30.00,-54.00,
-30.00,-53.00,
-15.00,-47.00,
-15.00,-46.00,
-5.00,-35.00,
-2.70,-35.00,
-2.00,-25.00,
-1.00,-25.00,
-0.40,-0.50,
0.00,0.00,
0.40,-0.50,
1.30,-24.00,
2.50,-24.00,
2.70,-34.00,
6.00,-34.00,
7.00,-42.00,
15.00,-44.30,
15.70,-44.50,
15.70,-48.00,
21.00,-48.00,
22.00,-50.00,
50.00,-50.00,
60.00,-52.00,
80.00,-64.00,
90.00,-75.00,
180.00,-75.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,20
-180.00,-75.00,
-75.00,-75.00,
-75.00,-70.00,
-50.00,-62.00,
-30.00,-62.00,
-15.00,-59.00,
-10.00,-58.00,
-5.00,-50.00,
-4.00,-50.00,
-1.50,-30.00,
0.00,-30.00,
1.50,-30.00,
4.00,-50.00,
8.00,-64.00,
15.00,-64.00,
35.00,-65.00,
40.00,-68.00,
70.00,-68.00,
90.00,-75.00,
180.00,-75.00,
ENDFIL:,EOF
