REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHLP4-71W
PATNUM:,1686
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001113
LOWFRQ:, 7125 
HGHFRQ:, 8500 
GUNITS:,DBI/DBR
LWGAIN:,35.8
MDGAIN:,36.5
HGGAIN:,37.0
AZWIDT:,2.4
ELWIDT:,2.4
ATVSWR:,1.15
FRTOBA:,62
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:, 49 
-180.00,-62.00,
-98.00,-62.00,
-69.00,-42.00,
-43.00,-35.50,
-35.00,-35.50,
-30.00,-32.00,
-22.00,-30.00,
-15.00,-30.00,
-13.00,-27.00,
-11.00,-25.00,
-8.00,-20.00,
-5.40,-20.00,
-4.50,-16.00,
-2.64,-16.00,
-2.51,-14.00,
-2.25,-10.00,
-2.00,-7.78,
-1.75,-5.75,
-1.48,-4.06,
-1.24,-2.77,
-1.00,-1.76,
-0.75,-0.95,
-0.50,-0.34,
-0.25,0.00,
0.00,0.00,
0.25,0.00,
0.50,-0.34,
0.75,-0.95,
1.00,-1.76,
1.24,-2.77,
1.48,-4.06,
1.75,-5.75,
2.00,-7.78,
2.25,-10.00,
2.51,-14.00,
2.64,-16.00,
4.50,-16.00,
5.40,-20.00,
8.00,-20.00,
11.00,-25.00,
13.00,-27.00,
15.00,-30.00,
22.00,-30.00,
30.00,-32.00,
35.00,-35.50,
43.00,-35.50,
69.00,-42.00,
98.00,-62.00,
180.00,-62.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:, 27 
-180.00,-65.00,
-80.00,-65.00,
-68.00,-60.00,
-60.00,-56.00,
-53.00,-50.00,
-48.00,-48.00,
-45.00,-48.00,
-35.00,-48.00,
-30.00,-44.00,
-23.00,-44.00,
-15.00,-42.00,
-6.00,-42.00,
-3.00,-32.00,
0.00,-32.00,
3.00,-32.00,
6.00,-42.00,
15.00,-42.00,
23.00,-44.00,
30.00,-44.00,
35.00,-48.00,
45.00,-48.00,
48.00,-48.00,
53.00,-50.00,
60.00,-56.00,
68.00,-60.00,
80.00,-65.00,
180.00,-65.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:, 51 
-180.00,-63.00,
-95.00,-63.00,
-82.00,-58.00,
-67.00,-50.00,
-45.00,-38.00,
-37.00,-36.00,
-27.00,-31.00,
-23.00,-30.00,
-15.00,-30.00,
-10.50,-26.00,
-9.00,-22.00,
-5.00,-22.00,
-4.50,-19.00,
-3.00,-19.00,
-2.75,-16.00,
-2.51,-13.00,
-2.25,-9.50,
-2.01,-7.38,
-1.74,-5.48,
-1.50,-3.93,
-1.24,-2.71,
-1.00,-1.62,
-0.75,-0.88,
-0.50,-0.34,
-0.26,-0.07,
0.00,0.00,
0.26,-0.07,
0.50,-0.34,
0.75,-0.88,
1.00,-1.62,
1.24,-2.71,
1.50,-3.93,
1.74,-5.48,
2.01,-7.38,
2.25,-9.50,
2.51,-13.00,
2.75,-16.00,
3.00,-19.00,
4.50,-19.00,
5.00,-22.00,
9.00,-22.00,
10.50,-26.00,
15.00,-30.00,
23.00,-30.00,
27.00,-31.00,
37.00,-36.00,
45.00,-38.00,
67.00,-50.00,
82.00,-58.00,
95.00,-63.00,
180.00,-63.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:, 23 
-180.00,-66.00,
-83.00,-66.00,
-52.00,-58.00,
-33.00,-58.00,
-28.00,-54.00,
-20.00,-53.00,
-15.00,-50.00,
-10.00,-50.00,
-7.50,-46.00,
-5.00,-46.00,
-3.00,-32.00,
0.00,-32.00,
3.00,-32.00,
5.00,-46.00,
7.50,-46.00,
10.00,-50.00,
15.00,-50.00,
20.00,-53.00,
28.00,-54.00,
33.00,-58.00,
52.00,-58.00,
83.00,-66.00,
180.00,-66.00,
ENDFIL:,EOF
