REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP4-71
PATNUM:,2866
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19950301
LOWFRQ:,7125
HGHFRQ:,7750
GUNITS:,DBI/DBR
LWGAIN:,35.8
MDGAIN:,36.2
HGGAIN:,36.5
AZWIDT:,2.40
ELWIDT:,2.40
ATVSWR:,1.08
FRTOBA:,62.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,39
-180.0,-62.0,
-105.0,-62.0,
-65.0,-34.0,
-35.0,-34.0,
-15.0,-26.0,
-10.0,-25.0,
-6.0,-20.0,
-5.0,-20.0,
-3.5,-18.0,
-3.0,-13.2,
-2.5,-9.2,
-2.0,-5.9,
-1.6,-3.8,
-1.3,-2.5,
-1.0,-1.5,
-0.8,-0.9,
-0.6,-0.5,
-0.4,-0.2,
-0.2,-0.1,
0.0,0.0,
0.2,-0.1,
0.4,-0.2,
0.6,-0.5,
0.8,-0.9,
1.0,-1.5,
1.3,-2.5,
1.6,-3.8,
2.0,-5.9,
2.5,-9.2,
3.0,-13.2,
3.5,-18.0,
5.0,-20.0,
6.0,-20.0,
10.0,-25.0,
15.0,-26.0,
35.0,-34.0,
65.0,-34.0,
105.0,-62.0,
180.0,-62.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,39
-180.0,-62.0,
-105.0,-62.0,
-65.0,-34.0,
-35.0,-34.0,
-15.0,-26.0,
-10.0,-25.0,
-6.0,-20.0,
-5.0,-20.0,
-3.5,-18.0,
-3.0,-13.2,
-2.5,-9.2,
-2.0,-5.9,
-1.6,-3.8,
-1.3,-2.5,
-1.0,-1.5,
-0.8,-0.9,
-0.6,-0.5,
-0.4,-0.2,
-0.2,-0.1,
0.0,0.0,
0.2,-0.1,
0.4,-0.2,
0.6,-0.5,
0.8,-0.9,
1.0,-1.5,
1.3,-2.5,
1.6,-3.8,
2.0,-5.9,
2.5,-9.2,
3.0,-13.2,
3.5,-18.0,
5.0,-20.0,
6.0,-20.0,
10.0,-25.0,
15.0,-26.0,
35.0,-34.0,
65.0,-34.0,
105.0,-62.0,
180.0,-62.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,15
-180.0,-62.0,
-100.0,-62.0,
-40.0,-40.0,
-20.0,-38.0,
-15.0,-38.0,
-6.0,-38.0,
-3.5,-28.0,
0.0,-28.0,
3.5,-28.0,
6.0,-38.0,
15.0,-38.0,
20.0,-38.0,
40.0,-40.0,
100.0,-62.0,
180.0,-62.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,15
-180.0,-62.0,
-100.0,-62.0,
-40.0,-40.0,
-20.0,-38.0,
-15.0,-38.0,
-6.0,-38.0,
-3.5,-28.0,
0.0,-28.0,
3.5,-28.0,
6.0,-38.0,
15.0,-38.0,
20.0,-38.0,
40.0,-40.0,
100.0,-62.0,
180.0,-62.0,
ENDFIL:,EOF
