REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PL4-70
PATNUM:,2736D
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19770420
LOWFRQ:,7125
HGHFRQ:,7750
GUNITS:,DBI/DBR
LWGAIN:,36.7
MDGAIN:,37.0
HGGAIN:,37.3
AZWIDT:,2.20
ELWIDT:,2.20
ATVSWR:,1.06
FRTOBA:,46.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,41
-180.00,-46.13,
-171.05,-46.13,
-171.05,-51.11,
-140.74,-51.11,
-106.45,-36.17,
-45.81,-36.01,
-35.87,-34.18,
-15.00,-34.18,
-12.58,-34.18,
-10.75,-26.22,
-7.92,-26.22,
-7.00,-20.08,
-3.42,-20.24,
-2.92,-14.93,
-2.17,-9.79,
-1.92,-6.97,
-1.75,-4.81,
-1.25,-2.99,
-0.83,-1.49,
-0.50,-0.33,
0.00,0.00,
0.50,-0.33,
0.83,-1.49,
1.25,-2.99,
1.75,-4.81,
1.92,-6.97,
2.17,-9.79,
2.92,-14.93,
3.42,-20.24,
7.00,-20.08,
7.92,-26.22,
10.75,-26.22,
12.58,-34.18,
15.00,-34.18,
35.87,-34.18,
45.81,-36.01,
106.45,-36.17,
140.74,-51.11,
171.05,-51.11,
171.05,-46.13,
180.00,-46.13,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,21
-180.00,-51.94,
-75.63,-51.27,
-66.19,-46.96,
-36.37,-46.96,
-15.00,-43.14,
-4.08,-43.14,
-3.92,-39.99,
-3.42,-35.18,
-3.33,-33.02,
-2.92,-30.00,
0.00,-30.00,
2.92,-30.00,
3.33,-33.02,
3.42,-35.18,
3.92,-39.99,
4.08,-43.14,
15.00,-43.14,
36.37,-46.96,
66.19,-46.96,
75.63,-51.27,
180.00,-51.94,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,39
-180.00,-46.29,
-170.56,-46.29,
-169.07,-50.94,
-140.74,-50.94,
-101.48,-38.16,
-45.32,-38.16,
-38.36,-33.19,
-21.46,-26.22,
-15.00,-26.22,
-8.58,-26.22,
-7.08,-22.23,
-4.00,-20.08,
-2.92,-15.10,
-2.25,-9.79,
-1.92,-6.97,
-1.67,-4.81,
-1.25,-2.99,
-1.00,-1.66,
-0.58,-0.50,
0.00,0.00,
0.58,-0.50,
1.00,-1.66,
1.25,-2.99,
1.67,-4.81,
1.92,-6.97,
2.25,-9.79,
2.92,-15.10,
4.00,-20.08,
7.08,-22.23,
8.58,-26.22,
15.00,-26.22,
21.46,-26.22,
38.36,-33.19,
45.32,-38.16,
101.48,-38.16,
140.74,-50.94,
169.07,-50.94,
170.56,-46.29,
180.00,-46.29,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.00,-51.44,
-85.57,-51.11,
-76.13,-48.12,
-15.00,-48.29,
-4.50,-47.95,
-4.00,-43.14,
-3.42,-35.01,
-3.08,-30.00,
0.00,-30.00,
3.08,-30.00,
3.42,-35.01,
4.00,-43.14,
4.50,-47.95,
15.00,-48.29,
76.13,-48.12,
85.57,-51.11,
180.00,-51.44,
ENDFIL:,EOF
