REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HPX6-71
PATNUM:,3771E
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19930213
LOWFRQ:,7125
HGHFRQ:,7750
GUNITS:,DBI/DBR
LWGAIN:,39.5
MDGAIN:,39.9
HGGAIN:,40.2
AZWIDT:,1.60
ELWIDT:,1.60
ATVSWR:,1.06
FRTOBA:,66.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,41
-180.00,-66.00,
-100.00,-66.00,
-90.00,-60.00,
-60.00,-50.00,
-40.00,-40.00,
-30.00,-33.00,
-15.00,-30.00,
-10.00,-30.00,
-8.00,-24.00,
-5.00,-22.00,
-2.00,-16.00,
-1.80,-13.00,
-1.60,-10.20,
-1.40,-7.80,
-1.20,-5.80,
-1.00,-4.00,
-0.80,-2.60,
-0.60,-1.40,
-0.40,-0.60,
-0.20,-0.20,
0.00,0.00,
0.20,-0.20,
0.40,-0.60,
0.60,-1.40,
0.80,-2.60,
1.00,-4.00,
1.20,-5.80,
1.40,-7.80,
1.60,-10.20,
1.80,-13.00,
2.00,-16.00,
5.00,-22.00,
8.00,-24.00,
10.00,-30.00,
15.00,-30.00,
30.00,-33.00,
40.00,-40.00,
60.00,-50.00,
90.00,-60.00,
100.00,-66.00,
180.00,-66.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,15
-180.00,-66.00,
-90.00,-66.00,
-40.00,-52.00,
-25.00,-50.00,
-15.00,-50.00,
-5.00,-45.00,
-2.00,-30.00,
0.00,-30.00,
2.00,-30.00,
5.00,-45.00,
15.00,-50.00,
25.00,-50.00,
40.00,-52.00,
90.00,-66.00,
180.00,-66.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,41
-180.00,-66.00,
-100.00,-66.00,
-90.00,-60.00,
-60.00,-50.00,
-40.00,-40.00,
-25.00,-34.00,
-15.00,-32.00,
-10.00,-30.00,
-8.00,-24.00,
-5.00,-22.00,
-2.00,-16.00,
-1.80,-13.00,
-1.60,-10.20,
-1.40,-7.80,
-1.20,-5.80,
-1.00,-4.00,
-0.80,-2.60,
-0.60,-1.40,
-0.40,-0.60,
-0.20,-0.20,
0.00,0.00,
0.20,-0.20,
0.40,-0.60,
0.60,-1.40,
0.80,-2.60,
1.00,-4.00,
1.20,-5.80,
1.40,-7.80,
1.60,-10.20,
1.80,-13.00,
2.00,-16.00,
5.00,-22.00,
8.00,-24.00,
10.00,-30.00,
15.00,-32.00,
25.00,-34.00,
40.00,-40.00,
60.00,-50.00,
90.00,-60.00,
100.00,-66.00,
180.00,-66.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.00,-66.00,
-90.00,-66.00,
-40.00,-52.00,
-25.00,-50.00,
-15.00,-48.00,
-12.00,-45.00,
-5.00,-45.00,
-2.00,-30.00,
0.00,-30.00,
2.00,-30.00,
5.00,-45.00,
12.00,-45.00,
15.00,-48.00,
25.00,-50.00,
40.00,-52.00,
90.00,-66.00,
180.00,-66.00,
ENDFIL:,EOF
