REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PL6-71
PATNUM:,2704D
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19760506
LOWFRQ:,7125
HGHFRQ:,7750
GUNITS:,DBI/DBR
LWGAIN:,39.7
MDGAIN:,40.0
HGGAIN:,40.3
AZWIDT:,1.5
ELWIDT:,1.5
ATVSWR:,1.06
FRTOBA:,48
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,33
-180.00,-48.00,
-170.00,-48.00,
-170.00,-55.00,
-140.00,-55.00,
-110.00,-42.00,
-40.00,-42.00,
-30.00,-40.00,
-15.00,-39.00,
-11.80,-34.00,
-8.40,-34.00,
-4.50,-25.00,
-2.10,-25.00,
-2.00,-20.00,
-1.50,-8.00,
-1.00,-2.30,
-0.50,-0.70,
0.00,0.00,
0.50,-0.70,
1.00,-2.30,
1.50,-8.00,
2.00,-20.00,
2.10,-25.00,
4.50,-25.00,
8.40,-34.00,
11.80,-34.00,
15.00,-39.00,
30.00,-40.00,
40.00,-42.00,
110.00,-42.00,
140.00,-55.00,
170.00,-55.00,
170.00,-48.00,
180.00,-48.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,21
-180.00,-55.00,
-170.00,-55.00,
-170.00,-60.00,
-120.00,-60.00,
-99.50,-53.00,
-23.00,-53.00,
-15.00,-51.00,
-8.00,-46.00,
-2.30,-46.00,
-1.50,-30.00,
0.00,-30.00,
1.50,-30.00,
2.30,-46.00,
8.00,-46.00,
15.00,-51.00,
23.00,-53.00,
99.50,-53.00,
120.00,-60.00,
170.00,-60.00,
170.00,-55.00,
180.00,-55.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,37
-180.00,-48.00,
-170.00,-48.00,
-170.00,-55.00,
-140.00,-55.00,
-106.00,-42.00,
-95.00,-42.00,
-65.00,-47.00,
-50.00,-47.00,
-35.00,-38.00,
-15.00,-35.00,
-13.50,-32.00,
-9.00,-32.00,
-4.00,-23.00,
-2.10,-23.00,
-2.00,-20.00,
-1.50,-8.00,
-1.00,-2.30,
-0.50,-0.70,
0.00,0.00,
0.50,-0.70,
1.00,-2.30,
1.50,-8.00,
2.00,-20.00,
2.10,-23.00,
4.00,-23.00,
9.00,-32.00,
13.50,-32.00,
15.00,-35.00,
35.00,-38.00,
50.00,-47.00,
65.00,-47.00,
95.00,-42.00,
106.00,-42.00,
140.00,-55.00,
170.00,-55.00,
170.00,-48.00,
180.00,-48.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.00,-55.00,
-170.00,-55.00,
-170.00,-60.00,
-125.00,-60.00,
-115.00,-54.90,
-7.40,-54.90,
-3.00,-47.00,
-1.50,-30.00,
0.00,0.00,
1.50,-30.00,
3.00,-47.00,
7.40,-54.90,
115.00,-54.90,
125.00,-60.00,
170.00,-60.00,
170.00,-55.00,
180.00,-55.00,
ENDFIL:,EOF
