REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHPX6-71
PATNUM:,4669
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001010
LOWFRQ:,7125
HGHFRQ:,7750
GUNITS:,DBI/DBR
LWGAIN:,39.6
MDGAIN:,40.0
HGGAIN:,40.4
AZWIDT:,1.60
ELWIDT:,1.60
ATVSWR:,1.15
FRTOBA:,68.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,69
-180.00,-68.00,
-100.00,-68.00,
-90.00,-66.00,
-75.03,-58.00,
-67.00,-50.00,
-60.00,-50.00,
-55.00,-46.00,
-50.00,-44.00,
-42.50,-44.00,
-37.50,-40.00,
-30.00,-40.00,
-27.50,-38.00,
-25.00,-36.00,
-22.50,-36.00,
-20.00,-34.00,
-15.00,-34.00,
-12.50,-34.00,
-11.00,-30.50,
-9.00,-30.50,
-8.00,-28.00,
-6.00,-28.00,
-5.00,-24.00,
-3.50,-24.00,
-3.00,-22.00,
-2.50,-19.00,
-1.84,-19.00,
-1.80,-18.00,
-1.67,-15.00,
-1.43,-10.00,
-1.26,-7.00,
-1.00,-4.50,
-0.75,-2.37,
-0.50,-1.05,
-0.25,-0.20,
0.00,0.00,
0.25,-0.20,
0.50,-1.05,
0.75,-2.37,
1.00,-4.50,
1.26,-7.00,
1.43,-10.00,
1.67,-15.00,
1.80,-18.00,
1.84,-19.00,
2.50,-19.00,
3.00,-22.00,
3.50,-24.00,
5.00,-24.00,
6.00,-28.00,
8.00,-28.00,
9.00,-30.50,
11.00,-30.50,
12.50,-34.00,
15.00,-34.00,
20.00,-34.00,
22.50,-36.00,
25.00,-36.00,
27.50,-38.00,
30.00,-40.00,
37.50,-40.00,
42.50,-44.00,
50.00,-44.00,
55.00,-46.00,
60.00,-50.00,
67.00,-50.00,
75.03,-58.00,
90.00,-66.00,
100.00,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,35
-180.00,-69.00,
-90.00,-69.00,
-75.50,-68.00,
-67.50,-63.00,
-60.00,-62.00,
-50.00,-60.00,
-42.50,-59.00,
-37.50,-56.00,
-30.00,-56.00,
-20.00,-54.00,
-15.00,-52.00,
-12.50,-52.00,
-10.00,-46.00,
-5.00,-46.00,
-3.54,-44.00,
-2.25,-44.00,
-1.51,-30.00,
0.00,-30.00,
1.51,-30.00,
2.25,-44.00,
3.54,-44.00,
5.00,-46.00,
10.00,-46.00,
12.50,-52.00,
15.00,-52.00,
20.00,-54.00,
30.00,-56.00,
37.50,-56.00,
42.50,-59.00,
50.00,-60.00,
60.00,-62.00,
67.50,-63.00,
75.50,-68.00,
90.00,-69.00,
180.00,-69.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,57
-180.00,-68.00,
-90.00,-68.00,
-75.00,-60.00,
-68.00,-54.00,
-57.00,-50.00,
-50.00,-46.00,
-45.00,-43.00,
-37.50,-40.00,
-30.00,-38.00,
-25.50,-36.00,
-21.00,-34.00,
-15.00,-34.00,
-12.00,-34.00,
-10.00,-30.00,
-7.50,-29.00,
-6.00,-29.00,
-5.00,-27.00,
-3.50,-27.00,
-3.13,-24.00,
-2.50,-18.00,
-1.93,-18.00,
-1.75,-15.50,
-1.45,-10.00,
-1.24,-7.00,
-1.00,-4.67,
-0.75,-2.57,
-0.49,-1.05,
-0.24,-0.24,
0.00,0.00,
0.24,-0.24,
0.49,-1.05,
0.75,-2.57,
1.00,-4.67,
1.24,-7.00,
1.45,-10.00,
1.75,-15.50,
1.93,-18.00,
2.50,-18.00,
3.13,-24.00,
3.50,-27.00,
5.00,-27.00,
6.00,-29.00,
7.50,-29.00,
10.00,-30.00,
12.00,-34.00,
15.00,-34.00,
21.00,-34.00,
25.50,-36.00,
30.00,-38.00,
37.50,-40.00,
45.00,-43.00,
50.00,-46.00,
57.00,-50.00,
68.00,-54.00,
75.00,-60.00,
90.00,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,29
-180.00,-69.00,
-98.00,-69.00,
-83.00,-65.00,
-65.00,-55.00,
-45.00,-55.00,
-27.00,-54.00,
-19.50,-54.00,
-15.00,-50.00,
-10.00,-48.00,
-5.00,-48.00,
-4.00,-48.00,
-3.00,-38.00,
-2.00,-38.00,
-1.50,-30.00,
0.00,-30.00,
1.50,-30.00,
2.00,-38.00,
3.00,-38.00,
4.00,-48.00,
5.00,-48.00,
10.00,-48.00,
15.00,-50.00,
19.50,-54.00,
27.00,-54.00,
45.00,-55.00,
65.00,-55.00,
83.00,-65.00,
98.00,-69.00,
180.00,-69.00,
ENDFIL:,EOF
