REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP8-71
PATNUM:,2770E
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19760218
LOWFRQ:,7125
HGHFRQ:,7750
GUNITS:,DBI/DBR
LWGAIN:,42.3
MDGAIN:,42.5
HGGAIN:,42.9
AZWIDT:,1.10
ELWIDT:,1.10
ATVSWR:,1.06
FRTOBA:,68.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,29
-180.00,-68.00,
-100.00,-68.00,
-60.00,-45.00,
-25.00,-45.00,
-20.00,-41.00,
-15.00,-41.00,
-10.50,-36.00,
-7.80,-36.00,
-6.40,-29.00,
-3.00,-25.00,
-1.60,-25.00,
-1.50,-20.00,
-1.00,-5.00,
-0.50,-1.10,
0.00,0.00,
0.50,-1.10,
1.00,-5.00,
1.50,-20.00,
1.60,-25.00,
3.00,-25.00,
6.40,-29.00,
7.80,-36.00,
10.50,-36.00,
15.00,-41.00,
20.00,-41.00,
25.00,-45.00,
60.00,-45.00,
100.00,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,19
-180.00,-70.00,
-100.00,-70.00,
-60.00,-62.00,
-50.00,-62.00,
-34.00,-55.00,
-15.00,-55.00,
-13.40,-49.90,
-2.70,-49.00,
-1.40,-30.00,
0.00,-30.00,
1.40,-30.00,
2.70,-49.00,
13.40,-49.90,
15.00,-55.00,
34.00,-55.00,
50.00,-62.00,
60.00,-62.00,
100.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,35
-180.00,-68.00,
-100.00,-68.00,
-60.00,-53.00,
-45.00,-53.00,
-25.00,-45.00,
-20.00,-38.00,
-15.00,-38.00,
-11.10,-34.20,
-8.00,-33.10,
-6.40,-29.00,
-5.50,-27.00,
-4.00,-27.00,
-3.00,-25.00,
-1.60,-25.00,
-1.50,-20.00,
-1.00,-5.00,
-0.50,-1.10,
0.00,0.00,
0.50,-1.10,
1.00,-5.00,
1.50,-20.00,
1.60,-25.00,
3.00,-25.00,
4.00,-27.00,
5.50,-27.00,
6.40,-29.00,
8.00,-33.10,
11.10,-34.20,
15.00,-38.00,
20.00,-38.00,
25.00,-45.00,
45.00,-53.00,
60.00,-53.00,
100.00,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,21
-180.00,-70.00,
-100.00,-70.00,
-66.00,-59.00,
-31.00,-56.00,
-15.00,-53.70,
-12.00,-49.90,
-7.50,-49.50,
-5.50,-46.00,
-2.60,-45.00,
-1.40,-30.00,
0.00,-30.00,
1.40,-30.00,
2.60,-45.00,
5.50,-46.00,
7.50,-49.50,
12.00,-49.90,
15.00,-53.70,
31.00,-56.00,
66.00,-59.00,
100.00,-70.00,
180.00,-70.00,
ENDFIL:,EOF
