REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,LBX8-71
PATNUM:,4649
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20000726
LOWFRQ:,7125
HGHFRQ:,7750
GUNITS:,DBI/DBR
LWGAIN:,42.5
MDGAIN:,42.9
HGGAIN:,43.2
AZWIDT:,1.10
ELWIDT:,1.10
ATVSWR:,1.06
FRTOBA:,60.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,37
-180.00,-60.00,
-130.00,-60.00,
-105.00,-46.00,
-95.00,-46.00,
-90.00,-48.00,
-45.00,-48.00,
-40.00,-42.00,
-30.00,-42.00,
-20.00,-35.00,
-14.00,-35.00,
-12.00,-32.00,
-9.00,-32.00,
-4.00,-27.00,
-3.00,-22.00,
-2.00,-22.00,
-1.70,-13.00,
-1.50,-6.00,
-1.00,-2.00,
0.00,0.00,
1.00,-2.00,
1.50,-6.00,
1.70,-13.00,
2.00,-22.00,
3.00,-22.00,
4.00,-27.00,
9.00,-32.00,
12.00,-32.00,
14.00,-35.00,
20.00,-35.00,
30.00,-42.00,
40.00,-42.00,
45.00,-48.00,
90.00,-48.00,
95.00,-46.00,
105.00,-46.00,
130.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.00,-65.00,
-80.00,-65.00,
-60.00,-60.00,
-40.00,-60.00,
-25.00,-55.00,
-15.00,-55.00,
-12.00,-50.00,
-8.00,-50.00,
-4.00,-40.00,
-2.50,-40.00,
-1.50,-33.00,
0.00,-33.00,
1.50,-33.00,
2.50,-40.00,
4.00,-40.00,
8.00,-50.00,
12.00,-50.00,
15.00,-55.00,
25.00,-55.00,
40.00,-60.00,
60.00,-60.00,
80.00,-65.00,
180.00,-65.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,33
-180.00,-60.00,
-130.00,-60.00,
-105.00,-46.00,
-95.00,-46.00,
-90.00,-50.00,
-50.00,-50.00,
-30.00,-42.00,
-15.00,-39.00,
-10.00,-39.00,
-8.00,-29.00,
-4.00,-27.00,
-3.00,-22.00,
-2.00,-22.00,
-1.70,-13.00,
-1.50,-6.00,
-1.00,-2.00,
0.00,0.00,
1.00,-2.00,
1.50,-6.00,
1.70,-13.00,
2.00,-22.00,
3.00,-22.00,
4.00,-27.00,
8.00,-29.00,
10.00,-39.00,
15.00,-39.00,
30.00,-42.00,
50.00,-50.00,
90.00,-50.00,
95.00,-46.00,
105.00,-46.00,
130.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.00,-65.00,
-120.00,-65.00,
-100.00,-58.00,
-65.00,-58.00,
-40.00,-53.00,
-25.00,-53.00,
-15.00,-45.00,
-8.00,-45.00,
-4.00,-40.00,
-2.50,-40.00,
-1.50,-33.00,
0.00,-33.00,
1.50,-33.00,
2.50,-40.00,
4.00,-40.00,
8.00,-45.00,
15.00,-45.00,
25.00,-53.00,
40.00,-53.00,
65.00,-58.00,
100.00,-58.00,
120.00,-65.00,
180.00,-65.00,
ENDFIL:,EOF
