REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PL10-70
PATNUM:,2660F
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19920204
LOWFRQ:,7125
HGHFRQ:,7750
GUNITS:,DBI/DBR
LWGAIN:,44.3
MDGAIN:,44.7
HGGAIN:,45.0
AZWIDT:,0.90
ELWIDT:,0.90
ATVSWR:,1.06
FRTOBA:,52.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,63
-180.00,-52.50,
-175.00,-52.50,
-175.00,-60.00,
-116.00,-60.00,
-98.00,-46.00,
-84.00,-46.00,
-80.00,-47.00,
-30.00,-47.00,
-15.00,-44.00,
-12.00,-40.00,
-10.00,-40.00,
-3.00,-27.00,
-1.50,-27.00,
-1.25,-20.00,
-1.00,-15.00,
-0.83,-9.91,
-0.77,-8.36,
-0.72,-7.17,
-0.67,-6.09,
-0.62,-5.11,
-0.56,-4.23,
-0.51,-3.44,
-0.46,-2.74,
-0.41,-2.13,
-0.36,-1.60,
-0.31,-1.16,
-0.26,-0.79,
-0.21,-0.50,
-0.15,-0.27,
-0.10,-0.12,
-0.05,-0.03,
0.00,0.00,
0.05,-0.03,
0.10,-0.12,
0.15,-0.27,
0.21,-0.50,
0.26,-0.79,
0.31,-1.16,
0.36,-1.60,
0.41,-2.13,
0.46,-2.74,
0.51,-3.44,
0.56,-4.23,
0.62,-5.11,
0.67,-6.09,
0.72,-7.17,
0.77,-8.36,
0.83,-9.91,
1.00,-15.00,
1.25,-20.00,
1.50,-27.00,
3.00,-27.00,
10.00,-40.00,
12.00,-40.00,
15.00,-44.00,
30.00,-47.00,
80.00,-47.00,
84.00,-46.00,
98.00,-46.00,
116.00,-60.00,
175.00,-60.00,
175.00,-52.50,
180.00,-52.50,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,21
-180.00,-59.00,
-177.00,-59.00,
-177.00,-64.00,
-111.00,-64.00,
-90.00,-55.00,
-20.00,-55.00,
-15.00,-52.00,
-9.00,-50.00,
-2.50,-44.00,
-1.50,-30.00,
0.00,-30.00,
1.50,-30.00,
2.50,-44.00,
9.00,-50.00,
15.00,-52.00,
20.00,-55.00,
90.00,-55.00,
111.00,-64.00,
177.00,-64.00,
177.00,-59.00,
180.00,-59.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,67
-180.00,-52.50,
-177.00,-52.50,
-177.00,-61.00,
-115.00,-61.00,
-100.00,-48.00,
-50.00,-48.00,
-44.00,-47.00,
-40.00,-46.00,
-36.00,-46.00,
-24.00,-37.00,
-15.00,-37.00,
-13.00,-37.00,
-13.00,-36.00,
-10.00,-34.00,
-1.50,-27.00,
-1.25,-20.00,
-1.00,-15.03,
-1.00,-10.90,
-0.83,-8.09,
-0.77,-7.30,
-0.72,-6.50,
-0.66,-5.73,
-0.61,-4.96,
-0.55,-4.23,
-0.50,-3.53,
-0.44,-2.87,
-0.39,-2.26,
-0.33,-1.71,
-0.28,-1.22,
-0.22,-0.80,
-0.17,-0.46,
-0.11,-0.21,
-0.06,-0.05,
0.00,0.00,
0.06,-0.05,
0.11,-0.21,
0.17,-0.46,
0.22,-0.80,
0.28,-1.22,
0.33,-1.71,
0.39,-2.26,
0.44,-2.87,
0.50,-3.53,
0.55,-4.23,
0.61,-4.96,
0.66,-5.73,
0.72,-6.50,
0.77,-7.30,
0.83,-8.09,
1.00,-10.90,
1.00,-15.03,
1.25,-20.00,
1.50,-27.00,
10.00,-34.00,
13.00,-36.00,
13.00,-37.00,
15.00,-37.00,
24.00,-37.00,
36.00,-46.00,
40.00,-46.00,
44.00,-47.00,
50.00,-48.00,
100.00,-48.00,
115.00,-61.00,
177.00,-61.00,
177.00,-52.50,
180.00,-52.50,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,27
-180.00,-59.00,
-177.00,-59.00,
-177.00,-64.00,
-111.00,-64.00,
-92.00,-56.00,
-30.00,-56.00,
-20.00,-55.00,
-15.00,-53.00,
-13.00,-44.00,
-7.50,-44.00,
-5.00,-44.00,
-2.50,-44.00,
-1.50,-30.00,
0.00,-30.00,
1.50,-30.00,
2.50,-44.00,
5.00,-44.00,
7.50,-44.00,
13.00,-44.00,
15.00,-53.00,
20.00,-55.00,
30.00,-56.00,
92.00,-56.00,
111.00,-64.00,
177.00,-64.00,
177.00,-59.00,
180.00,-59.00,
ENDFIL:,EOF
