REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PL12-71
PATNUM:,3710F
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19790115
LOWFRQ:,7125
HGHFRQ:,7750
GUNITS:,DBI/DBR
LWGAIN:,45.6
MDGAIN:,46.0
HGGAIN:,46.3
AZWIDT:,0.70
ELWIDT:,0.70
ATVSWR:,1.06
FRTOBA:,54.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,29
-180.00,-54.00,
-170.00,-54.00,
-170.00,-65.00,
-123.00,-65.00,
-98.50,-49.00,
-42.00,-49.00,
-25.00,-43.00,
-11.50,-43.00,
-10.40,-35.00,
-6.40,-35.00,
-2.70,-23.80,
-1.30,-23.80,
-1.00,-18.00,
-0.50,-4.00,
0.00,0.00,
0.50,-4.00,
1.00,-18.00,
1.30,-23.80,
2.70,-23.80,
6.40,-35.00,
10.40,-35.00,
11.50,-43.00,
25.00,-43.00,
42.00,-49.00,
98.50,-49.00,
123.00,-65.00,
170.00,-65.00,
170.00,-54.00,
180.00,-54.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.00,-65.00,
-122.50,-65.00,
-15.00,-60.00,
-10.00,-52.00,
-6.20,-52.00,
-4.30,-44.00,
-1.50,-44.00,
-1.30,-30.00,
0.00,-30.00,
1.30,-30.00,
1.50,-44.00,
4.30,-44.00,
6.20,-52.00,
10.00,-52.00,
15.00,-60.00,
122.50,-65.00,
180.00,-65.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,35
-180.00,-54.00,
-170.00,-54.00,
-170.00,-65.00,
-123.00,-65.00,
-98.50,-52.20,
-48.50,-52.10,
-33.00,-46.00,
-20.50,-46.00,
-17.50,-41.00,
-15.00,-41.00,
-10.70,-37.00,
-10.40,-35.00,
-6.40,-35.00,
-2.70,-23.80,
-1.30,-23.80,
-1.00,-18.00,
-0.50,-4.00,
0.00,0.00,
0.50,-4.00,
1.00,-18.00,
1.30,-23.80,
2.70,-23.80,
6.40,-35.00,
10.40,-35.00,
10.70,-37.00,
15.00,-41.00,
17.50,-41.00,
20.50,-46.00,
33.00,-46.00,
48.50,-52.10,
98.50,-52.20,
123.00,-65.00,
170.00,-65.00,
170.00,-54.00,
180.00,-54.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,25
-180.00,-65.00,
-122.50,-65.00,
-97.00,-63.70,
-40.00,-63.00,
-15.00,-63.00,
-13.30,-58.00,
-9.00,-53.00,
-5.30,-53.00,
-3.50,-48.00,
-1.50,-46.00,
-1.50,-44.00,
-1.30,-30.00,
0.00,-30.00,
1.30,-30.00,
1.50,-44.00,
1.50,-46.00,
3.50,-48.00,
5.30,-53.00,
9.00,-53.00,
13.30,-58.00,
15.00,-63.00,
40.00,-63.00,
97.00,-63.70,
122.50,-65.00,
180.00,-65.00,
ENDFIL:,EOF
