REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HPX15-70
PATNUM:,2782D
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19760109
LOWFRQ:,7125
HGHFRQ:,7750
GUNITS:,DBI/DBR
LWGAIN:,47.3
MDGAIN:,47.7
HGGAIN:,48.0
AZWIDT:,0.70
ELWIDT:,0.70
ATVSWR:,1.06
FRTOBA:,72.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,31
-180.00,-72.00,
-98.50,-72.00,
-88.00,-70.40,
-71.00,-52.00,
-58.00,-52.00,
-15.00,-42.70,
-14.30,-42.00,
-11.50,-35.00,
-6.60,-31.80,
-6.10,-26.90,
-2.00,-24.30,
-1.20,-20.80,
-1.10,-5.00,
-1.00,-3.50,
-0.50,-0.90,
0.00,0.00,
0.50,-0.90,
1.00,-3.50,
1.10,-5.00,
1.20,-20.80,
2.00,-24.30,
6.10,-26.90,
6.60,-31.80,
11.50,-35.00,
14.30,-42.00,
15.00,-42.70,
58.00,-52.00,
71.00,-52.00,
88.00,-70.40,
98.50,-72.00,
180.00,-72.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,25
-180.00,-75.00,
-98.50,-75.00,
-71.50,-65.00,
-59.00,-65.00,
-15.00,-58.20,
-14.10,-55.90,
-7.50,-50.80,
-6.10,-45.80,
-4.10,-45.80,
-2.60,-44.20,
-1.10,-39.00,
-1.10,-32.00,
0.00,-32.00,
1.10,-32.00,
1.10,-39.00,
2.60,-44.20,
4.10,-45.80,
6.10,-45.80,
7.50,-50.80,
14.10,-55.90,
15.00,-58.20,
59.00,-65.00,
71.50,-65.00,
98.50,-75.00,
180.00,-75.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,29
-180.00,-72.00,
-89.00,-72.00,
-74.50,-55.00,
-50.00,-55.00,
-15.00,-41.00,
-14.40,-39.70,
-13.10,-39.70,
-5.40,-27.20,
-1.50,-24.80,
-1.40,-22.00,
-1.20,-20.80,
-1.10,-5.00,
-1.00,-3.50,
-0.50,-0.90,
0.00,0.00,
0.50,-0.90,
1.00,-3.50,
1.10,-5.00,
1.20,-20.80,
1.40,-22.00,
1.50,-24.80,
5.40,-27.20,
13.10,-39.70,
14.40,-39.70,
15.00,-41.00,
50.00,-55.00,
74.50,-55.00,
89.00,-72.00,
180.00,-72.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.00,-75.00,
-98.50,-75.00,
-73.00,-65.00,
-60.00,-62.20,
-15.00,-57.70,
-12.50,-56.30,
-12.00,-53.60,
-5.70,-44.90,
-1.50,-44.90,
-1.10,-39.00,
-1.10,-32.00,
0.00,-32.00,
1.10,-32.00,
1.10,-39.00,
1.50,-44.90,
5.70,-44.90,
12.00,-53.60,
12.50,-56.30,
15.00,-57.70,
60.00,-62.20,
73.00,-65.00,
98.50,-75.00,
180.00,-75.00,
ENDFIL:,EOF
