REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP15-71
PATNUM:,2783E
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19791019
LOWFRQ:,7125
HGHFRQ:,7750
GUNITS:,DBI/DBR
LWGAIN:,47.5
MDGAIN:,47.8
HGGAIN:,48.2
AZWIDT:,0.60
ELWIDT:,0.60
ATVSWR:,1.06
FRTOBA:,71.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,33
-180.00,-71.00,
-100.00,-71.00,
-75.00,-53.00,
-55.00,-53.00,
-50.00,-51.00,
-40.00,-51.00,
-30.00,-48.00,
-22.50,-48.00,
-15.00,-45.00,
-11.50,-45.00,
-7.50,-42.00,
-6.00,-37.00,
-4.00,-35.00,
-2.00,-25.00,
-1.00,-25.00,
-0.50,-10.00,
0.00,0.00,
0.50,-10.00,
1.00,-25.00,
2.00,-25.00,
4.00,-35.00,
6.00,-37.00,
7.50,-42.00,
11.50,-45.00,
15.00,-45.00,
22.50,-48.00,
30.00,-48.00,
40.00,-51.00,
50.00,-51.00,
55.00,-53.00,
75.00,-53.00,
100.00,-71.00,
180.00,-71.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,21
-180.00,-75.00,
-100.00,-75.00,
-75.00,-69.00,
-60.00,-66.80,
-15.00,-59.00,
-10.00,-57.00,
-6.40,-56.00,
-4.50,-53.00,
-2.00,-44.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
2.00,-44.00,
4.50,-53.00,
6.40,-56.00,
10.00,-57.00,
15.00,-59.00,
60.00,-66.80,
75.00,-69.00,
100.00,-75.00,
180.00,-75.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,29
-180.00,-71.00,
-100.00,-71.00,
-64.90,-54.00,
-35.00,-54.00,
-30.00,-48.00,
-18.00,-44.00,
-15.00,-44.00,
-13.00,-41.00,
-11.00,-41.00,
-8.50,-35.00,
-4.00,-35.00,
-2.00,-25.00,
-1.00,-25.00,
-0.50,-10.00,
0.00,0.00,
0.50,-10.00,
1.00,-25.00,
2.00,-25.00,
4.00,-35.00,
8.50,-35.00,
11.00,-41.00,
13.00,-41.00,
15.00,-44.00,
18.00,-44.00,
30.00,-48.00,
35.00,-54.00,
64.90,-54.00,
100.00,-71.00,
180.00,-71.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.00,-75.00,
-100.00,-75.00,
-75.00,-69.00,
-60.00,-66.80,
-15.00,-62.00,
-14.00,-57.00,
-12.00,-57.00,
-11.00,-51.00,
-7.40,-44.90,
-2.00,-44.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
2.00,-44.00,
7.40,-44.90,
11.00,-51.00,
12.00,-57.00,
14.00,-57.00,
15.00,-62.00,
60.00,-66.80,
75.00,-69.00,
100.00,-75.00,
180.00,-75.00,
ENDFIL:,EOF
