REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PL15-71
PATNUM:,2726D
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19790425
LOWFRQ:,7125
HGHFRQ:,7750
GUNITS:,DBI/DBR
LWGAIN:,47.5
MDGAIN:,47.8
HGGAIN:,48.2
AZWIDT:,0.60
ELWIDT:,0.60
ATVSWR:,1.06
FRTOBA:,57.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,29
-180.00,-57.00,
-170.00,-57.00,
-170.00,-70.00,
-120.00,-70.00,
-100.00,-52.00,
-30.00,-52.00,
-25.00,-49.00,
-15.00,-49.00,
-8.00,-47.00,
-3.00,-33.00,
-2.00,-30.00,
-1.00,-22.00,
-0.50,-10.00,
-0.40,-5.00,
0.00,0.00,
0.40,-5.00,
0.50,-10.00,
1.00,-22.00,
2.00,-30.00,
3.00,-33.00,
8.00,-47.00,
15.00,-49.00,
25.00,-49.00,
30.00,-52.00,
100.00,-52.00,
120.00,-70.00,
170.00,-70.00,
170.00,-57.00,
180.00,-57.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,25
-180.00,-70.00,
-105.00,-70.00,
-95.00,-68.00,
-30.00,-68.00,
-20.00,-64.00,
-15.00,-64.00,
-10.00,-61.00,
-6.00,-60.00,
-4.50,-48.80,
-2.00,-44.00,
-1.50,-44.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
1.50,-44.00,
2.00,-44.00,
4.50,-48.80,
6.00,-60.00,
10.00,-61.00,
15.00,-64.00,
20.00,-64.00,
30.00,-68.00,
95.00,-68.00,
105.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,37
-180.00,-57.00,
-170.00,-57.00,
-170.00,-70.00,
-120.00,-70.00,
-100.00,-52.00,
-99.50,-51.00,
-24.00,-51.00,
-15.00,-47.40,
-14.90,-47.30,
-14.90,-42.10,
-11.50,-40.00,
-10.00,-40.00,
-6.00,-33.00,
-3.00,-32.00,
-2.00,-30.00,
-1.00,-22.00,
-0.50,-10.00,
-0.40,-5.00,
0.00,0.00,
0.40,-5.00,
0.50,-10.00,
1.00,-22.00,
2.00,-30.00,
3.00,-32.00,
6.00,-33.00,
10.00,-40.00,
11.50,-40.00,
14.90,-42.10,
14.90,-47.30,
15.00,-47.40,
24.00,-51.00,
99.50,-51.00,
100.00,-52.00,
120.00,-70.00,
170.00,-70.00,
170.00,-57.00,
180.00,-57.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,27
-180.00,-70.00,
-105.00,-70.00,
-95.00,-68.00,
-30.00,-68.00,
-15.00,-60.00,
-13.50,-60.00,
-12.00,-56.00,
-10.50,-56.00,
-6.50,-45.00,
-2.50,-45.00,
-2.00,-44.00,
-1.50,-44.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
1.50,-44.00,
2.00,-44.00,
2.50,-45.00,
6.50,-45.00,
10.50,-56.00,
12.00,-56.00,
13.50,-60.00,
15.00,-60.00,
30.00,-68.00,
95.00,-68.00,
105.00,-70.00,
180.00,-70.00,
ENDFIL:,EOF
