REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHP2-71W
PATNUM:,3396B
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20000922
LOWFRQ:,7125
HGHFRQ:,8500
GUNITS:,DBI/DBR
LWGAIN:,29.8
MDGAIN:,30.4
HGGAIN:,31.1
AZWIDT:,4.90
ELWIDT:,4.90
ATVSWR:,1.15
FRTOBA:,53.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,39
-180.00,-53.00,
-140.00,-53.00,
-130.00,-51.50,
-95.00,-51.50,
-50.00,-29.00,
-22.00,-27.00,
-18.00,-22.00,
-15.00,-21.00,
-11.00,-21.00,
-10.00,-17.00,
-5.50,-17.00,
-5.20,-13.80,
-4.20,-8.40,
-3.50,-5.40,
-3.00,-3.80,
-2.40,-2.30,
-1.80,-1.30,
-1.10,-0.40,
-0.60,-0.20,
0.00,0.00,
0.60,-0.20,
1.10,-0.40,
1.80,-1.30,
2.40,-2.30,
3.00,-3.80,
3.50,-5.40,
4.20,-8.40,
5.20,-13.80,
5.50,-17.00,
10.00,-17.00,
11.00,-21.00,
15.00,-21.00,
18.00,-22.00,
22.00,-27.00,
50.00,-29.00,
95.00,-51.50,
130.00,-51.50,
140.00,-53.00,
180.00,-53.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,21
-180.00,-55.00,
-90.00,-55.00,
-65.00,-42.00,
-60.00,-42.00,
-50.00,-37.00,
-40.00,-36.00,
-22.00,-34.00,
-15.00,-34.00,
-7.00,-34.00,
-5.00,-30.00,
0.00,-30.00,
5.00,-30.00,
7.00,-34.00,
15.00,-34.00,
22.00,-34.00,
40.00,-36.00,
50.00,-37.00,
60.00,-42.00,
65.00,-42.00,
90.00,-55.00,
180.00,-55.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,37
-180.00,-53.00,
-90.00,-53.00,
-60.00,-38.00,
-50.00,-32.00,
-40.00,-29.00,
-24.00,-29.00,
-18.00,-20.00,
-15.00,-20.00,
-11.00,-20.00,
-10.00,-17.00,
-5.60,-17.00,
-5.30,-14.70,
-4.20,-8.40,
-3.60,-6.00,
-2.80,-3.50,
-2.10,-1.80,
-1.40,-0.80,
-0.80,-0.20,
0.00,0.00,
0.80,-0.20,
1.40,-0.80,
2.10,-1.80,
2.80,-3.50,
3.60,-6.00,
4.20,-8.40,
5.30,-14.70,
5.60,-17.00,
10.00,-17.00,
11.00,-20.00,
15.00,-20.00,
18.00,-20.00,
24.00,-29.00,
40.00,-29.00,
50.00,-32.00,
60.00,-38.00,
90.00,-53.00,
180.00,-53.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,21
-180.00,-53.00,
-95.00,-53.00,
-65.00,-50.00,
-59.00,-44.00,
-45.00,-40.00,
-34.00,-36.00,
-15.00,-36.00,
-10.00,-36.00,
-7.00,-34.00,
-5.00,-30.00,
0.00,-30.00,
5.00,-30.00,
7.00,-34.00,
10.00,-36.00,
15.00,-36.00,
34.00,-36.00,
45.00,-40.00,
59.00,-44.00,
65.00,-50.00,
95.00,-53.00,
180.00,-53.00,
ENDFIL:,EOF
