REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHP4-71W
PATNUM:,3397A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20000811
LOWFRQ:,7125
HGHFRQ:,8500
GUNITS:,DBI/DBR
LWGAIN:,36.0
MDGAIN:,36.6
HGGAIN:,37.5
AZWIDT:,2.40
ELWIDT:,2.40
ATVSWR:,1.15
FRTOBA:,60.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,59
-180.00,-60.00,
-115.00,-60.00,
-105.00,-58.00,
-80.00,-44.00,
-58.00,-34.50,
-30.00,-34.50,
-30.00,-32.00,
-27.50,-32.00,
-20.00,-30.00,
-16.50,-30.00,
-15.00,-27.00,
-10.00,-27.00,
-9.00,-22.00,
-8.00,-22.00,
-7.50,-20.00,
-5.50,-20.00,
-5.00,-18.00,
-2.70,-18.00,
-2.50,-16.00,
-2.40,-13.90,
-2.20,-10.80,
-2.00,-8.70,
-1.80,-6.60,
-1.60,-4.90,
-1.30,-3.40,
-1.00,-2.00,
-0.80,-1.10,
-0.50,-0.40,
-0.30,0.00,
0.00,0.00,
0.30,0.00,
0.50,-0.40,
0.80,-1.10,
1.00,-2.00,
1.30,-3.40,
1.60,-4.90,
1.80,-6.60,
2.00,-8.70,
2.20,-10.80,
2.40,-13.90,
2.50,-16.00,
2.70,-18.00,
5.00,-18.00,
5.50,-20.00,
7.50,-20.00,
8.00,-22.00,
9.00,-22.00,
10.00,-27.00,
15.00,-27.00,
16.50,-30.00,
20.00,-30.00,
27.50,-32.00,
30.00,-32.00,
30.00,-34.50,
58.00,-34.50,
80.00,-44.00,
105.00,-58.00,
115.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,27
-180.00,-62.00,
-120.00,-62.00,
-90.00,-60.00,
-80.00,-57.00,
-65.00,-50.00,
-60.00,-48.00,
-30.00,-45.00,
-20.00,-44.00,
-15.00,-44.00,
-14.00,-44.00,
-10.00,-40.00,
-5.00,-40.00,
-3.00,-32.00,
0.00,-32.00,
3.00,-32.00,
5.00,-40.00,
10.00,-40.00,
14.00,-44.00,
15.00,-44.00,
20.00,-44.00,
30.00,-45.00,
60.00,-48.00,
65.00,-50.00,
80.00,-57.00,
90.00,-60.00,
120.00,-62.00,
180.00,-62.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,45
-180.00,-60.00,
-100.00,-60.00,
-85.00,-58.00,
-66.00,-44.00,
-60.00,-43.00,
-46.00,-36.00,
-30.00,-35.00,
-20.00,-28.50,
-15.00,-27.00,
-11.00,-26.00,
-9.00,-22.00,
-5.00,-22.00,
-4.00,-20.00,
-2.80,-17.50,
-2.40,-11.80,
-2.10,-8.30,
-1.80,-6.30,
-1.50,-4.20,
-1.20,-2.30,
-0.90,-1.20,
-0.60,-0.50,
-0.30,0.00,
0.00,0.00,
0.30,0.00,
0.60,-0.50,
0.90,-1.20,
1.20,-2.30,
1.50,-4.20,
1.80,-6.30,
2.10,-8.30,
2.40,-11.80,
2.80,-17.50,
4.00,-20.00,
5.00,-22.00,
9.00,-22.00,
11.00,-26.00,
15.00,-27.00,
20.00,-28.50,
30.00,-35.00,
46.00,-36.00,
60.00,-43.00,
66.00,-44.00,
85.00,-58.00,
100.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,31
-180.00,-62.00,
-140.00,-62.00,
-105.00,-60.00,
-80.00,-56.00,
-70.00,-52.00,
-60.00,-52.00,
-40.00,-48.50,
-36.00,-48.00,
-30.00,-44.00,
-15.00,-44.00,
-12.00,-44.00,
-10.00,-41.00,
-8.00,-38.00,
-5.00,-37.00,
-3.00,-32.00,
0.00,-32.00,
3.00,-32.00,
5.00,-37.00,
8.00,-38.00,
10.00,-41.00,
12.00,-44.00,
15.00,-44.00,
30.00,-44.00,
36.00,-48.00,
40.00,-48.50,
60.00,-52.00,
70.00,-52.00,
80.00,-56.00,
105.00,-60.00,
140.00,-62.00,
180.00,-62.00,
ENDFIL:,EOF
