REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHPX4-71W
PATNUM:,3478A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20000814
LOWFRQ:,7125
HGHFRQ:,8500
GUNITS:,DBI/DBR
LWGAIN:,35.9
MDGAIN:,36.7
HGGAIN:,37.4
AZWIDT:,2.40
ELWIDT:,2.40
ATVSWR:,1.20
FRTOBA:,60.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,73
-180.00,-60.00,
-130.00,-60.00,
-100.00,-57.00,
-67.00,-42.00,
-60.00,-42.00,
-55.00,-36.00,
-45.00,-32.00,
-30.00,-32.00,
-15.00,-31.00,
-12.50,-26.00,
-9.00,-26.00,
-8.50,-24.00,
-6.00,-24.00,
-3.65,-16.00,
-2.82,-16.00,
-2.65,-13.60,
-2.33,-9.90,
-2.01,-6.85,
-1.80,-5.40,
-1.71,-4.70,
-1.60,-4.05,
-1.50,-3.50,
-1.40,-3.00,
-1.30,-2.40,
-1.20,-2.00,
-1.10,-1.50,
-1.00,-1.25,
-0.90,-1.05,
-0.80,-0.70,
-0.70,-0.50,
-0.60,-0.30,
-0.50,-0.20,
-0.40,-0.15,
-0.30,-0.10,
-0.20,-0.05,
-0.10,0.00,
0.00,0.00,
0.10,0.00,
0.20,-0.05,
0.30,-0.10,
0.40,-0.15,
0.50,-0.20,
0.60,-0.30,
0.70,-0.50,
0.80,-0.70,
0.90,-1.05,
1.00,-1.25,
1.10,-1.50,
1.20,-2.00,
1.30,-2.40,
1.40,-3.00,
1.50,-3.50,
1.60,-4.05,
1.71,-4.70,
1.80,-5.40,
2.01,-6.85,
2.33,-9.90,
2.65,-13.60,
2.82,-16.00,
3.65,-16.00,
6.00,-24.00,
8.50,-24.00,
9.00,-26.00,
12.50,-26.00,
15.00,-31.00,
30.00,-32.00,
45.00,-32.00,
55.00,-36.00,
60.00,-42.00,
67.00,-42.00,
100.00,-57.00,
130.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,13
-180.00,-60.00,
-80.00,-60.00,
-33.00,-45.00,
-15.00,-45.00,
-7.00,-45.00,
-3.00,-32.00,
0.00,-32.00,
3.00,-32.00,
7.00,-45.00,
15.00,-45.00,
33.00,-45.00,
80.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,75
-180.00,-60.00,
-140.00,-60.00,
-130.00,-58.00,
-90.00,-58.00,
-70.00,-41.00,
-55.00,-36.00,
-35.00,-36.00,
-29.00,-34.00,
-15.00,-31.00,
-12.00,-27.00,
-9.00,-27.00,
-8.00,-25.00,
-6.00,-25.00,
-4.52,-18.00,
-3.98,-18.00,
-2.90,-17.90,
-2.54,-12.90,
-2.26,-9.90,
-2.00,-7.50,
-1.80,-6.00,
-1.70,-5.30,
-1.60,-4.50,
-1.51,-4.00,
-1.40,-3.35,
-1.30,-2.85,
-1.20,-2.45,
-1.10,-2.00,
-1.00,-1.60,
-0.90,-1.25,
-0.81,-1.00,
-0.70,-0.65,
-0.60,-0.45,
-0.50,-0.30,
-0.39,-0.20,
-0.30,-0.10,
-0.20,0.00,
-0.10,0.00,
0.00,0.00,
0.10,0.00,
0.20,0.00,
0.30,-0.10,
0.39,-0.20,
0.50,-0.30,
0.60,-0.45,
0.70,-0.65,
0.81,-1.00,
0.90,-1.25,
1.00,-1.60,
1.10,-2.00,
1.20,-2.45,
1.30,-2.85,
1.40,-3.35,
1.51,-4.00,
1.60,-4.50,
1.70,-5.30,
1.80,-6.00,
2.00,-7.50,
2.26,-9.90,
2.54,-12.90,
2.90,-17.90,
3.98,-18.00,
4.52,-18.00,
6.00,-25.00,
8.00,-25.00,
9.00,-27.00,
12.00,-27.00,
15.00,-31.00,
29.00,-34.00,
35.00,-36.00,
55.00,-36.00,
70.00,-41.00,
90.00,-58.00,
130.00,-58.00,
140.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,21
-180.00,-60.00,
-98.00,-60.00,
-82.00,-56.00,
-74.00,-50.00,
-50.00,-45.00,
-26.00,-45.00,
-22.00,-43.00,
-15.00,-43.00,
-8.00,-43.00,
-4.00,-32.00,
0.00,-32.00,
4.00,-32.00,
8.00,-43.00,
15.00,-43.00,
22.00,-43.00,
26.00,-45.00,
50.00,-45.00,
74.00,-50.00,
82.00,-56.00,
98.00,-60.00,
180.00,-60.00,
ENDFIL:,EOF
