REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP6-71W
PATNUM:,2818B
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19911216
LOWFRQ:,7125
HGHFRQ:,8500
GUNITS:,DBI/DBR
LWGAIN:,39.7
MDGAIN:,40.3
HGGAIN:,41.1
AZWIDT:,1.50
ELWIDT:,1.50
ATVSWR:,1.06
FRTOBA:,66.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,41
-180.00,-66.00,
-100.00,-66.00,
-61.72,-46.09,
-55.00,-43.00,
-30.90,-39.98,
-26.43,-38.00,
-15.00,-37.00,
-13.67,-34.03,
-9.75,-33.20,
-5.08,-24.94,
-2.33,-24.94,
-2.33,-19.99,
-2.17,-15.03,
-1.92,-9.91,
-1.75,-7.93,
-1.58,-5.95,
-1.25,-3.96,
-1.00,-2.15,
-0.75,-1.16,
-0.50,-0.33,
0.00,0.00,
0.50,-0.33,
0.75,-1.16,
1.00,-2.15,
1.25,-3.96,
1.58,-5.95,
1.75,-7.93,
1.92,-9.91,
2.17,-15.03,
2.33,-19.99,
2.33,-24.94,
5.08,-24.94,
9.75,-33.20,
13.67,-34.03,
15.00,-37.00,
26.43,-38.00,
30.90,-39.98,
55.00,-43.00,
61.72,-46.09,
100.00,-66.00,
180.00,-66.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,19
-180.00,-72.00,
-100.98,-72.00,
-27.42,-51.21,
-15.00,-47.00,
-11.00,-47.00,
-10.00,-46.00,
-3.42,-46.00,
-2.17,-42.79,
-1.58,-30.00,
0.00,-30.00,
1.58,-30.00,
2.17,-42.79,
3.42,-46.09,
10.25,-46.09,
11.00,-47.00,
15.00,-47.00,
27.42,-51.21,
100.98,-72.00,
180.00,-72.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,45
-180.00,-66.00,
-95.00,-66.00,
-61.72,-52.04,
-37.36,-45.10,
-19.97,-36.01,
-15.00,-33.00,
-12.50,-31.00,
-9.00,-31.00,
-8.00,-28.00,
-7.50,-26.50,
-6.00,-26.50,
-5.00,-25.00,
-3.17,-25.00,
-2.17,-24.94,
-2.17,-19.82,
-2.17,-14.87,
-1.92,-9.91,
-1.67,-6.77,
-1.25,-3.96,
-1.00,-1.98,
-0.83,-0.99,
-0.50,-0.33,
0.00,0.00,
0.50,-0.33,
0.83,-0.99,
1.00,-1.98,
1.25,-3.96,
1.67,-6.77,
1.92,-9.91,
2.17,-14.87,
2.17,-19.82,
2.17,-24.94,
3.17,-25.00,
5.00,-25.00,
6.00,-26.50,
7.50,-26.50,
8.00,-28.00,
9.00,-31.50,
12.50,-31.50,
15.00,-33.00,
19.97,-36.01,
37.36,-45.10,
61.72,-52.04,
95.00,-66.00,
180.00,-66.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,29
-180.00,-72.00,
-101.97,-72.00,
-61.72,-56.00,
-50.00,-56.00,
-45.00,-55.00,
-28.00,-55.00,
-21.96,-50.72,
-15.00,-50.06,
-9.08,-50.06,
-6.92,-46.09,
-3.50,-46.09,
-2.75,-39.98,
-2.00,-39.98,
-1.58,-30.00,
0.00,-30.00,
1.58,-30.00,
2.00,-39.98,
2.75,-39.98,
3.50,-46.09,
6.92,-46.09,
9.08,-50.06,
15.00,-50.06,
21.96,-50.72,
28.00,-55.00,
45.00,-55.00,
50.00,-56.00,
61.72,-56.00,
101.97,-72.00,
180.00,-72.00,
ENDFIL:,EOF
