REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PL6-71W
PATNUM:,3703E
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19760506
LOWFRQ:,7125
HGHFRQ:,8500
GUNITS:,DBI/DBR
LWGAIN:,39.7
MDGAIN:,40.3
HGGAIN:,41.1
AZWIDT:,1.50
ELWIDT:,1.50
ATVSWR:,1.10
FRTOBA:,48.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,35
-180.00,-48.00,
-170.00,-48.00,
-170.00,-55.00,
-140.00,-55.00,
-110.00,-42.00,
-50.00,-42.00,
-42.50,-40.00,
-25.00,-39.00,
-15.00,-39.00,
-13.00,-34.00,
-8.40,-34.00,
-4.10,-25.00,
-2.10,-25.00,
-2.00,-23.00,
-1.50,-7.30,
-1.00,-2.10,
-0.50,-0.80,
0.00,0.00,
0.50,-0.80,
1.00,-2.10,
1.50,-7.30,
2.00,-23.00,
2.10,-25.00,
4.10,-25.00,
8.40,-34.00,
13.00,-34.00,
15.00,-39.00,
25.00,-39.00,
42.50,-40.00,
50.00,-42.00,
110.00,-42.00,
140.00,-55.00,
170.00,-55.00,
170.00,-48.00,
180.00,-48.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.00,-55.00,
-170.00,-55.00,
-170.00,-60.00,
-121.00,-60.00,
-101.00,-53.00,
-20.00,-53.00,
-15.00,-50.70,
-12.00,-47.70,
-7.60,-46.00,
-2.60,-46.00,
-1.60,-30.00,
0.00,-30.00,
1.60,-30.00,
2.60,-46.00,
7.60,-46.00,
12.00,-47.70,
15.00,-50.70,
20.00,-53.00,
101.00,-53.00,
121.00,-60.00,
170.00,-60.00,
170.00,-55.00,
180.00,-55.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,37
-180.00,-48.00,
-170.00,-48.00,
-170.00,-55.00,
-140.00,-55.00,
-105.00,-42.00,
-95.00,-42.00,
-65.00,-46.90,
-50.00,-46.90,
-36.00,-37.90,
-15.00,-34.10,
-14.00,-30.90,
-9.00,-30.90,
-6.00,-28.10,
-4.00,-23.00,
-2.00,-23.00,
-1.50,-7.30,
-1.00,-2.10,
-0.50,-0.80,
0.00,0.00,
0.50,-0.80,
1.00,-2.10,
1.50,-7.30,
2.00,-23.00,
4.00,-23.00,
6.00,-28.10,
9.00,-30.90,
14.00,-30.90,
15.00,-34.10,
36.00,-37.90,
50.00,-46.90,
65.00,-46.90,
95.00,-42.00,
105.00,-42.00,
140.00,-55.00,
170.00,-55.00,
170.00,-48.00,
180.00,-48.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.00,-55.00,
-170.00,-55.00,
-170.00,-60.00,
-126.50,-60.00,
-115.00,-54.90,
-15.00,-54.90,
-13.10,-52.90,
-10.10,-52.90,
-5.00,-51.00,
-3.00,-46.00,
-1.60,-30.00,
0.00,-30.00,
1.60,-30.00,
3.00,-46.00,
5.00,-51.00,
10.10,-52.90,
13.10,-52.90,
15.00,-54.90,
115.00,-54.90,
126.50,-60.00,
170.00,-60.00,
170.00,-55.00,
180.00,-55.00,
ENDFIL:,EOF
