REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HPX6-71W
PATNUM:,2860
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19930610
LOWFRQ:,7125
HGHFRQ:,8500
GUNITS:,DBI/DBR
LWGAIN:,39.6
MDGAIN:,40.4
HGGAIN:,41.0
AZWIDT:,1.50
ELWIDT:,1.50
ATVSWR:,1.15
FRTOBA:,65.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,37
-180.0,-65.0,
-100.0,-65.0,
-55.0,-45.0,
-45.0,-42.0,
-30.0,-33.0,
-15.0,-30.0,
-11.0,-27.0,
-9.0,-27.0,
-4.0,-20.0,
-1.8,-16.0,
-1.6,-12.3,
-1.4,-9.4,
-1.2,-6.9,
-1.0,-4.8,
-0.8,-3.1,
-0.6,-1.7,
-0.4,-0.8,
-0.2,-0.2,
0.0,0.0,
0.2,-0.2,
0.4,-0.8,
0.6,-1.7,
0.8,-3.1,
1.0,-4.8,
1.2,-6.9,
1.4,-9.4,
1.6,-12.3,
1.8,-16.0,
4.0,-20.0,
9.0,-27.0,
11.0,-27.0,
15.0,-30.0,
30.0,-33.0,
45.0,-42.0,
55.0,-45.0,
100.0,-65.0,
180.0,-65.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,21
-180.0,-65.0,
-90.0,-65.0,
-60.0,-56.0,
-40.0,-52.0,
-15.0,-48.0,
-12.0,-45.0,
-10.0,-45.0,
-9.0,-40.0,
-3.5,-40.0,
-2.5,-30.0,
0.0,-30.0,
2.5,-30.0,
3.5,-40.0,
9.0,-40.0,
10.0,-45.0,
12.0,-45.0,
15.0,-48.0,
40.0,-52.0,
60.0,-56.0,
90.0,-65.0,
180.0,-65.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,37
-180.0,-65.0,
-100.0,-65.0,
-55.0,-45.0,
-45.0,-42.0,
-25.0,-34.0,
-15.0,-32.0,
-11.0,-27.0,
-6.5,-27.0,
-4.0,-20.0,
-1.8,-16.0,
-1.6,-12.3,
-1.4,-9.4,
-1.2,-6.9,
-1.0,-4.8,
-0.8,-3.1,
-0.6,-1.7,
-0.4,-0.8,
-0.2,-0.2,
0.0,0.0,
0.2,-0.2,
0.4,-0.8,
0.6,-1.7,
0.8,-3.1,
1.0,-4.8,
1.2,-6.9,
1.4,-9.4,
1.6,-12.3,
1.8,-16.0,
4.0,-20.0,
6.5,-27.0,
11.0,-27.0,
15.0,-32.0,
25.0,-34.0,
45.0,-42.0,
55.0,-45.0,
100.0,-65.0,
180.0,-65.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,21
-180.0,-65.0,
-90.0,-65.0,
-60.0,-56.0,
-40.0,-52.0,
-15.0,-48.0,
-12.0,-45.0,
-10.0,-45.0,
-9.0,-41.0,
-3.5,-41.0,
-2.5,-30.0,
0.0,-30.0,
2.5,-30.0,
3.5,-41.0,
9.0,-41.0,
10.0,-45.0,
12.0,-45.0,
15.0,-48.0,
40.0,-52.0,
60.0,-56.0,
90.0,-65.0,
180.0,-65.0,
ENDFIL:,EOF
