REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP8-71W
PATNUM:,2820A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19880302
LOWFRQ:,7125
HGHFRQ:,8500
GUNITS:,DBI/DBR
LWGAIN:,42.3
MDGAIN:,42.9
HGGAIN:,43.6
AZWIDT:,1.10
ELWIDT:,1.10
ATVSWR:,1.06
FRTOBA:,68.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,37
-180.00,-68.00,
-100.24,-68.00,
-60.86,-45.10,
-33.00,-45.10,
-15.00,-39.00,
-12.50,-39.00,
-10.56,-36.08,
-8.50,-36.08,
-6.37,-29.23,
-2.93,-25.06,
-1.42,-24.89,
-1.26,-15.20,
-1.17,-10.02,
-1.09,-8.18,
-0.92,-5.18,
-0.75,-4.18,
-0.59,-2.17,
-0.34,-1.00,
0.00,0.00,
0.34,-1.00,
0.59,-2.17,
0.75,-4.18,
0.92,-5.18,
1.09,-8.18,
1.17,-10.02,
1.26,-15.20,
1.42,-24.89,
2.93,-25.06,
6.37,-29.23,
8.50,-36.08,
10.56,-36.08,
12.50,-39.00,
15.00,-39.00,
33.00,-45.10,
60.86,-45.10,
100.24,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.00,-70.00,
-100.24,-70.00,
-51.00,-60.00,
-45.89,-60.00,
-34.94,-54.96,
-25.00,-54.96,
-15.00,-51.00,
-13.49,-49.00,
-3.50,-49.00,
-2.50,-46.00,
-1.40,-30.00,
0.00,-30.00,
1.40,-30.00,
2.50,-46.00,
3.50,-49.00,
13.49,-49.00,
15.00,-51.00,
25.00,-54.96,
34.94,-54.96,
45.89,-60.00,
51.00,-60.00,
100.24,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,43
-180.00,-68.00,
-99.74,-68.00,
-60.36,-53.00,
-45.00,-53.00,
-33.00,-45.00,
-20.48,-38.08,
-15.00,-37.92,
-11.06,-34.24,
-7.96,-33.24,
-5.36,-27.23,
-3.77,-27.06,
-3.02,-25.06,
-1.42,-25.06,
-1.17,-15.03,
-1.17,-12.03,
-1.17,-10.02,
-1.01,-7.02,
-0.92,-5.01,
-0.67,-3.01,
-0.34,-0.84,
-0.10,-0.17,
0.00,0.00,
0.10,-0.17,
0.34,-0.84,
0.67,-3.01,
0.92,-5.01,
1.01,-7.02,
1.17,-10.02,
1.17,-12.03,
1.17,-15.03,
1.42,-25.06,
3.02,-25.06,
3.77,-27.06,
5.36,-27.23,
7.96,-33.24,
11.06,-34.24,
15.00,-37.92,
20.48,-38.08,
33.00,-45.00,
45.00,-53.00,
60.36,-53.00,
99.74,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,27
-180.00,-70.00,
-100.74,-70.00,
-65.35,-59.13,
-31.45,-56.12,
-20.98,-54.29,
-15.00,-51.37,
-12.07,-49.94,
-7.54,-49.61,
-5.45,-45.94,
-4.50,-45.94,
-3.00,-40.00,
-2.20,-40.00,
-1.30,-30.00,
0.00,-30.00,
1.30,-30.00,
2.20,-40.00,
3.00,-40.00,
4.50,-45.94,
5.45,-45.94,
7.54,-49.61,
12.07,-49.94,
15.00,-51.37,
20.98,-54.29,
31.45,-56.12,
65.35,-59.13,
100.74,-70.00,
180.00,-70.00,
ENDFIL:,EOF
