REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HPX10-71W
PATNUM:,2864A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19930610
LOWFRQ:,7125
HGHFRQ:,8500
GUNITS:,DBI/DBR
LWGAIN:,44.1
MDGAIN:,44.9
HGGAIN:,45.5
AZWIDT:,0.90
ELWIDT:,0.90
ATVSWR:,1.10
FRTOBA:,70.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,35
-180.0,-67.0,
-100.0,-67.0,
-80.0,-62.0,
-67.0,-49.0,
-40.0,-46.0,
-15.0,-37.0,
-12.5,-37.0,
-11.0,-34.0,
-2.0,-23.0,
-1.5,-23.0,
-1.4,-21.7,
-1.2,-16.0,
-1.0,-11.1,
-0.8,-7.1,
-0.6,-4.0,
-0.4,-1.8,
-0.2,-0.4,
0.0,0.0,
0.2,-0.4,
0.4,-1.8,
0.6,-4.0,
0.8,-7.1,
1.0,-11.1,
1.2,-16.0,
1.4,-21.7,
1.5,-23.0,
2.0,-23.0,
11.0,-34.0,
12.5,-37.0,
15.0,-37.0,
40.0,-46.0,
67.0,-49.0,
80.0,-62.0,
100.0,-67.0,
180.0,-67.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,15
-180.0,-68.0,
-80.0,-68.0,
-45.0,-60.0,
-15.0,-54.0,
-10.0,-48.0,
-3.0,-43.0,
-1.5,-30.0,
0.0,-30.0,
1.5,-30.0,
3.0,-43.0,
10.0,-48.0,
15.0,-54.0,
45.0,-60.0,
80.0,-68.0,
180.0,-68.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,37
-180.0,-67.0,
-100.0,-67.0,
-80.0,-62.0,
-65.0,-51.0,
-40.0,-50.0,
-23.0,-41.0,
-15.0,-41.0,
-7.0,-32.0,
-4.5,-28.0,
-2.0,-25.0,
-1.5,-25.0,
-1.4,-21.7,
-1.2,-16.0,
-1.0,-11.1,
-0.8,-7.1,
-0.6,-4.0,
-0.4,-1.8,
-0.2,-0.4,
0.0,0.0,
0.2,-0.4,
0.4,-1.8,
0.6,-4.0,
0.8,-7.1,
1.0,-11.1,
1.2,-16.0,
1.4,-21.7,
1.5,-25.0,
2.0,-25.0,
4.5,-28.0,
7.0,-32.0,
15.0,-41.0,
23.0,-41.0,
40.0,-50.0,
65.0,-51.0,
80.0,-62.0,
100.0,-67.0,
180.0,-67.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,19
-180.0,-68.0,
-90.0,-68.0,
-70.0,-65.0,
-40.0,-57.0,
-15.0,-52.0,
-12.5,-49.0,
-10.0,-48.0,
-3.0,-43.0,
-1.5,-30.0,
0.0,-30.0,
1.5,-30.0,
3.0,-43.0,
10.0,-48.0,
12.5,-49.0,
15.0,-52.0,
40.0,-57.0,
70.0,-65.0,
90.0,-68.0,
180.0,-68.0,
ENDFIL:,EOF
