REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP12-71W
PATNUM:,2822A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19900329
LOWFRQ:,7125
HGHFRQ:,8500
GUNITS:,DBI/DBR
LWGAIN:,46.2
MDGAIN:,46.8
HGGAIN:,47.6
AZWIDT:,0.70
ELWIDT:,0.70
ATVSWR:,1.06
FRTOBA:,71.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,35
-180.00,-71.00,
-100.00,-71.00,
-70.17,-51.50,
-35.00,-46.30,
-30.00,-44.00,
-15.00,-43.47,
-12.00,-41.00,
-5.00,-33.19,
-2.67,-25.06,
-1.42,-25.06,
-1.08,-20.08,
-0.83,-15.10,
-0.58,-9.96,
-0.58,-6.97,
-0.50,-4.81,
-0.42,-2.16,
-0.33,-1.16,
0.00,0.00,
0.33,-1.16,
0.42,-2.16,
0.50,-4.81,
0.58,-6.97,
0.58,-9.96,
0.83,-15.10,
1.08,-20.08,
1.42,-25.06,
2.67,-25.06,
5.00,-33.19,
12.00,-41.00,
15.00,-43.47,
30.00,-44.00,
35.00,-46.30,
70.17,-51.50,
100.00,-71.00,
180.00,-71.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.00,-71.00,
-79.11,-71.00,
-70.00,-66.00,
-45.00,-59.00,
-15.00,-59.00,
-13.50,-55.92,
-12.00,-55.92,
-7.00,-54.90,
-4.75,-45.96,
-2.17,-42.00,
-1.50,-30.00,
0.00,-30.00,
1.50,-30.00,
2.17,-42.00,
4.75,-45.96,
12.00,-55.92,
13.50,-55.92,
15.00,-58.57,
15.00,-59.00,
45.00,-59.00,
70.00,-66.00,
79.11,-71.00,
180.00,-71.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,35
-180.00,-71.00,
-99.98,-71.00,
-77.00,-57.00,
-50.00,-57.00,
-15.00,-39.16,
-10.42,-39.16,
-9.42,-36.17,
-7.58,-36.17,
-2.75,-25.06,
-1.50,-25.06,
-1.00,-20.08,
-0.83,-14.93,
-0.67,-11.12,
-0.67,-8.13,
-0.58,-4.98,
-0.42,-3.15,
-0.33,-1.16,
0.00,0.00,
0.33,-1.16,
0.42,-3.15,
0.58,-4.98,
0.67,-8.13,
0.67,-11.12,
0.83,-14.93,
1.00,-20.08,
1.50,-25.06,
2.75,-25.06,
7.58,-36.17,
9.42,-36.17,
10.42,-39.16,
15.00,-39.16,
50.00,-57.00,
77.00,-57.00,
99.98,-71.00,
180.00,-71.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,21
-180.00,-71.00,
-80.11,-71.00,
-58.73,-64.05,
-25.93,-64.05,
-15.00,-58.24,
-13.00,-54.00,
-11.00,-54.00,
-9.58,-44.30,
-2.00,-44.30,
-1.50,-30.00,
0.00,-30.00,
1.50,-30.00,
2.00,-44.30,
9.58,-44.30,
11.00,-54.00,
13.00,-54.00,
15.00,-58.24,
25.93,-64.05,
58.73,-64.05,
80.11,-71.00,
180.00,-71.00,
ENDFIL:,EOF
