REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHP2-74
PATNUM:,1328
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19980331
LOWFRQ:,7425
HGHFRQ:,7900
GUNITS:,DBI/DBR
LWGAIN:,30.1
MDGAIN:,30.4
HGGAIN:,30.6
AZWIDT:,4.80
ELWIDT:,4.80
ATVSWR:,1.15
FRTOBA:,54.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,41
-180.0,-54.0,
-140.0,-54.0,
-130.0,-52.0,
-90.0,-52.0,
-72.0,-40.0,
-50.0,-29.0,
-20.0,-27.0,
-18.0,-22.0,
-15.0,-21.0,
-11.0,-21.0,
-9.0,-17.0,
-5.0,-17.0,
-4.8,-14.0,
-4.2,-10.6,
-3.8,-8.2,
-3.3,-5.9,
-2.8,-3.8,
-2.2,-2.2,
-1.5,-0.9,
-0.8,-0.2,
0.0,0.0,
0.8,-0.2,
1.5,-0.9,
2.2,-2.2,
2.8,-3.8,
3.3,-5.9,
3.8,-8.2,
4.2,-10.6,
4.8,-14.0,
5.0,-17.0,
9.0,-17.0,
11.0,-21.0,
15.0,-21.0,
18.0,-22.0,
20.0,-27.0,
50.0,-29.0,
72.0,-40.0,
90.0,-52.0,
130.0,-52.0,
140.0,-54.0,
180.0,-54.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,19
-180.0,-56.0,
-90.0,-56.0,
-65.0,-44.0,
-55.0,-42.0,
-50.0,-42.0,
-26.0,-35.0,
-15.0,-35.0,
-7.0,-35.0,
-5.0,-30.0,
0.0,-30.0,
5.0,-30.0,
7.0,-35.0,
15.0,-35.0,
26.0,-35.0,
50.0,-42.0,
55.0,-42.0,
65.0,-44.0,
90.0,-56.0,
180.0,-56.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,39
-180.0,-54.0,
-85.0,-54.0,
-60.0,-39.0,
-45.0,-33.0,
-36.0,-29.0,
-24.0,-29.0,
-17.0,-20.0,
-15.0,-20.0,
-11.0,-20.0,
-9.0,-17.0,
-5.4,-17.0,
-4.8,-12.7,
-4.4,-10.0,
-3.9,-7.3,
-3.4,-5.3,
-2.6,-2.8,
-1.8,-1.2,
-1.3,-0.5,
-0.6,0.0,
0.0,0.0,
0.6,0.0,
1.3,-0.5,
1.8,-1.2,
2.6,-2.8,
3.4,-5.3,
3.9,-7.3,
4.4,-10.0,
4.8,-12.7,
5.4,-17.0,
9.0,-17.0,
11.0,-20.0,
15.0,-20.0,
17.0,-20.0,
24.0,-29.0,
36.0,-29.0,
45.0,-33.0,
60.0,-39.0,
85.0,-54.0,
180.0,-54.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.0,-54.0,
-90.0,-54.0,
-65.0,-50.0,
-60.0,-45.0,
-34.0,-36.0,
-15.0,-36.0,
-8.0,-36.0,
-5.0,-30.0,
0.0,-30.0,
5.0,-30.0,
8.0,-36.0,
15.0,-36.0,
34.0,-36.0,
60.0,-45.0,
65.0,-50.0,
90.0,-54.0,
180.0,-54.0,
ENDFIL:,EOF
