REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHP4-74
PATNUM:,1332A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20000809
LOWFRQ:,7425
HGHFRQ:,7900
GUNITS:,DBI/DBR
LWGAIN:,36.2
MDGAIN:,36.4
HGGAIN:,36.7
AZWIDT:,2.30
ELWIDT:,2.30
ATVSWR:,1.15
FRTOBA:,62.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,35
-180.00,-62.00,
-100.00,-62.00,
-73.00,-45.00,
-60.00,-39.50,
-30.00,-32.50,
-18.00,-30.50,
-15.00,-30.00,
-7.50,-21.00,
-5.00,-20.00,
-4.33,-16.00,
-2.44,-16.00,
-2.20,-12.00,
-1.86,-8.10,
-1.42,-4.00,
-1.00,-1.90,
-0.67,-0.90,
-0.33,-0.10,
0.00,0.00,
0.33,-0.10,
0.67,-0.90,
1.00,-1.90,
1.42,-4.00,
1.86,-8.10,
2.20,-12.00,
2.44,-16.00,
4.33,-16.00,
5.00,-20.00,
7.50,-21.00,
15.00,-30.00,
18.00,-30.50,
30.00,-32.50,
60.00,-39.50,
73.00,-45.00,
100.00,-62.00,
180.00,-62.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,15
-180.00,-64.00,
-90.00,-64.00,
-60.00,-52.00,
-15.00,-45.00,
-11.00,-42.00,
-5.00,-42.00,
-3.00,-32.00,
0.00,-32.00,
3.00,-32.00,
5.00,-42.00,
11.00,-42.00,
15.00,-45.00,
60.00,-52.00,
90.00,-64.00,
180.00,-64.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,55
-180.00,-62.00,
-85.00,-62.00,
-80.00,-58.00,
-66.50,-48.00,
-63.00,-46.00,
-58.50,-45.00,
-48.00,-41.50,
-42.50,-39.00,
-30.00,-39.00,
-28.00,-37.00,
-23.00,-34.50,
-18.00,-31.50,
-15.00,-30.00,
-13.00,-30.00,
-11.00,-26.40,
-8.00,-24.00,
-6.00,-24.00,
-5.00,-24.00,
-4.00,-22.00,
-2.95,-19.90,
-2.67,-15.50,
-2.34,-10.90,
-2.00,-7.80,
-1.50,-3.90,
-1.00,-1.60,
-0.68,-0.60,
-0.34,0.00,
0.00,0.00,
0.34,0.00,
0.68,-0.60,
1.00,-1.60,
1.50,-3.90,
2.00,-7.80,
2.34,-10.90,
2.67,-15.50,
2.95,-19.90,
4.00,-22.00,
5.00,-24.00,
6.00,-24.00,
8.00,-24.00,
11.00,-26.40,
13.00,-30.00,
15.00,-30.00,
18.00,-31.50,
23.00,-34.50,
28.00,-37.00,
30.00,-39.00,
42.50,-39.00,
48.00,-41.50,
58.50,-45.00,
63.00,-46.00,
66.50,-48.00,
80.00,-58.00,
85.00,-62.00,
180.00,-62.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,31
-180.00,-63.00,
-90.00,-63.00,
-86.50,-61.00,
-76.00,-58.00,
-70.00,-55.20,
-64.50,-54.00,
-58.00,-54.00,
-42.50,-53.50,
-35.00,-52.00,
-20.00,-52.00,
-15.00,-51.50,
-14.00,-51.00,
-10.00,-49.00,
-5.00,-48.50,
-3.00,-32.00,
0.00,-32.00,
3.00,-32.00,
5.00,-48.50,
10.00,-49.00,
14.00,-51.00,
15.00,-51.50,
20.00,-52.00,
35.00,-52.00,
42.50,-53.50,
58.00,-54.00,
64.50,-54.00,
70.00,-55.20,
76.00,-58.00,
86.50,-61.00,
90.00,-63.00,
180.00,-63.00,
ENDFIL:,EOF
