REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP6-74
PATNUM:,3691A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19911206
LOWFRQ:,7425
HGHFRQ:,7900
GUNITS:,DBI/DBR
LWGAIN:,40.1
MDGAIN:,40.4
HGGAIN:,40.6
AZWIDT:,1.50
ELWIDT:,1.50
ATVSWR:,1.06
FRTOBA:,64.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,77
-180.00,-64.00,
-90.00,-64.00,
-80.00,-55.00,
-70.00,-55.00,
-50.00,-44.00,
-35.00,-44.00,
-25.00,-39.00,
-15.00,-39.00,
-14.00,-39.00,
-11.00,-35.00,
-9.00,-35.00,
-8.00,-28.00,
-6.00,-28.00,
-5.00,-24.00,
-3.00,-24.00,
-2.50,-20.00,
-2.33,-18.33,
-2.17,-16.60,
-2.00,-14.81,
-1.83,-13.01,
-1.67,-11.22,
-1.50,-9.46,
-1.33,-7.78,
-1.17,-6.18,
-1.09,-5.44,
-1.01,-4.74,
-0.94,-4.08,
-0.86,-3.46,
-0.78,-2.89,
-0.70,-2.36,
-0.62,-1.88,
-0.55,-1.46,
-0.47,-1.08,
-0.39,-0.76,
-0.31,-0.49,
-0.23,-0.28,
-0.16,-0.12,
-0.08,-0.03,
0.00,0.00,
0.08,-0.03,
0.16,-0.12,
0.23,-0.28,
0.31,-0.49,
0.39,-0.76,
0.47,-1.08,
0.55,-1.46,
0.62,-1.88,
0.70,-2.36,
0.78,-2.89,
0.86,-3.46,
0.94,-4.08,
1.01,-4.74,
1.09,-5.44,
1.17,-6.18,
1.33,-7.78,
1.50,-9.46,
1.67,-11.22,
1.83,-13.01,
2.00,-14.81,
2.17,-16.60,
2.33,-18.33,
2.50,-20.00,
3.00,-24.00,
5.00,-24.00,
6.00,-28.00,
8.00,-28.00,
9.00,-35.00,
11.00,-35.00,
14.00,-39.00,
15.00,-39.00,
25.00,-39.00,
35.00,-44.00,
50.00,-44.00,
70.00,-55.00,
80.00,-55.00,
90.00,-64.00,
180.00,-64.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,25
-180.00,-67.00,
-65.00,-67.00,
-55.00,-62.00,
-50.00,-62.00,
-45.00,-60.00,
-40.00,-56.00,
-20.00,-50.00,
-15.00,-50.00,
-10.00,-50.00,
-7.00,-48.00,
-5.00,-48.00,
-1.50,-32.00,
0.00,-32.00,
1.50,-32.00,
5.00,-48.00,
7.00,-48.00,
10.00,-50.00,
15.00,-50.00,
20.00,-50.00,
40.00,-56.00,
45.00,-60.00,
50.00,-62.00,
55.00,-62.00,
65.00,-67.00,
180.00,-67.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,85
-180.00,-66.00,
-90.00,-66.00,
-80.00,-65.00,
-75.00,-59.00,
-70.00,-59.00,
-60.00,-55.00,
-55.00,-55.00,
-50.00,-52.00,
-45.00,-48.00,
-35.00,-43.00,
-25.00,-43.00,
-20.00,-39.00,
-15.00,-39.00,
-13.00,-35.00,
-10.00,-32.00,
-9.00,-32.00,
-8.00,-30.00,
-6.00,-30.00,
-4.00,-25.00,
-3.00,-25.00,
-2.50,-20.00,
-2.33,-18.02,
-2.17,-16.05,
-2.00,-14.11,
-1.83,-12.22,
-1.67,-10.40,
-1.50,-8.67,
-1.33,-7.05,
-1.24,-6.25,
-1.15,-5.47,
-1.06,-4.74,
-0.98,-4.05,
-0.89,-3.40,
-0.80,-2.80,
-0.71,-2.24,
-0.62,-1.74,
-0.53,-1.30,
-0.44,-0.92,
-0.35,-0.59,
-0.27,-0.34,
-0.18,-0.15,
-0.09,-0.04,
0.00,0.00,
0.09,-0.04,
0.18,-0.15,
0.27,-0.34,
0.35,-0.59,
0.44,-0.92,
0.53,-1.30,
0.62,-1.74,
0.71,-2.24,
0.80,-2.80,
0.89,-3.40,
0.98,-4.05,
1.06,-4.74,
1.15,-5.47,
1.24,-6.25,
1.33,-7.05,
1.50,-8.67,
1.67,-10.40,
1.83,-12.22,
2.00,-14.11,
2.17,-16.05,
2.33,-18.02,
2.50,-20.00,
3.00,-25.00,
4.00,-25.00,
6.00,-30.00,
8.00,-30.00,
9.00,-32.00,
10.00,-32.00,
13.00,-35.00,
15.00,-39.00,
20.00,-39.00,
25.00,-43.00,
35.00,-43.00,
45.00,-48.00,
50.00,-52.00,
55.00,-55.00,
60.00,-55.00,
70.00,-59.00,
75.00,-59.00,
80.00,-65.00,
90.00,-66.00,
180.00,-66.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,27
-180.00,-69.00,
-80.00,-69.00,
-75.00,-67.00,
-65.00,-66.00,
-50.00,-59.00,
-40.00,-59.00,
-30.00,-55.00,
-20.00,-55.00,
-15.00,-52.00,
-10.00,-52.00,
-8.00,-47.00,
-6.00,-47.00,
-1.50,-32.00,
0.00,-32.00,
1.50,-32.00,
6.00,-47.00,
8.00,-47.00,
10.00,-52.00,
15.00,-52.00,
20.00,-55.00,
30.00,-55.00,
40.00,-59.00,
50.00,-59.00,
65.00,-66.00,
75.00,-67.00,
80.00,-69.00,
180.00,-69.00,
ENDFIL:,EOF
