REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP10-74
PATNUM:,2792
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19981012
LOWFRQ:,7425
HGHFRQ:,7900
GUNITS:,DBI/DBR
LWGAIN:,43.8
MDGAIN:,44.0
HGGAIN:,44.2
AZWIDT:,0.90
ELWIDT:,0.90
ATVSWR:,1.04
FRTOBA:,70.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,37
-180.00,-70.00,
-100.00,-70.00,
-90.00,-68.00,
-65.00,-50.00,
-60.00,-50.00,
-45.00,-44.00,
-35.00,-44.00,
-30.00,-40.00,
-15.00,-40.00,
-13.00,-38.00,
-9.00,-38.00,
-6.00,-27.00,
-4.00,-27.00,
-2.00,-25.00,
-1.00,-10.00,
-0.60,-4.30,
-0.40,-1.90,
-0.20,-0.50,
0.00,0.00,
0.20,-0.50,
0.40,-1.90,
0.60,-4.30,
1.00,-10.00,
2.00,-25.00,
4.00,-27.00,
6.00,-27.00,
9.00,-38.00,
13.00,-38.00,
15.00,-40.00,
30.00,-40.00,
35.00,-44.00,
45.00,-44.00,
60.00,-50.00,
65.00,-50.00,
90.00,-68.00,
100.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,25
-180.00,-72.00,
-75.00,-72.00,
-65.00,-66.00,
-60.00,-66.00,
-55.00,-59.00,
-40.00,-59.00,
-20.00,-57.00,
-15.00,-54.00,
-10.00,-52.00,
-7.00,-48.00,
-2.00,-47.00,
-1.00,-32.00,
0.00,-32.00,
1.00,-32.00,
2.00,-47.00,
7.00,-48.00,
10.00,-52.00,
15.00,-54.00,
20.00,-57.00,
40.00,-59.00,
55.00,-59.00,
60.00,-66.00,
65.00,-66.00,
75.00,-72.00,
180.00,-72.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,35
-180.00,-70.00,
-85.00,-70.00,
-70.00,-55.00,
-60.00,-55.00,
-45.00,-48.00,
-40.00,-48.00,
-30.00,-42.00,
-20.00,-42.00,
-15.00,-39.00,
-11.00,-39.00,
-6.00,-30.00,
-3.00,-30.00,
-2.00,-25.00,
-1.00,-10.00,
-0.60,-4.30,
-0.40,-1.90,
-0.20,-0.50,
0.00,0.00,
0.20,-0.50,
0.40,-1.90,
0.60,-4.30,
1.00,-10.00,
2.00,-25.00,
3.00,-30.00,
6.00,-30.00,
11.00,-39.00,
15.00,-39.00,
20.00,-42.00,
30.00,-42.00,
40.00,-48.00,
45.00,-48.00,
60.00,-55.00,
70.00,-55.00,
85.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,19
-180.00,-72.00,
-80.00,-72.00,
-75.00,-69.00,
-45.00,-61.00,
-20.00,-60.00,
-15.00,-57.00,
-10.00,-57.00,
-3.00,-45.00,
-1.00,-32.00,
0.00,-32.00,
1.00,-32.00,
3.00,-45.00,
10.00,-57.00,
15.00,-57.00,
20.00,-60.00,
45.00,-61.00,
75.00,-69.00,
80.00,-72.00,
180.00,-72.00,
ENDFIL:,EOF
