REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HPX10-74
PATNUM:,3695
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19920714
LOWFRQ:,7425
HGHFRQ:,7900
GUNITS:,DBI/DBR
LWGAIN:,44.3
MDGAIN:,44.7
HGGAIN:,45.0
AZWIDT:,1.10
ELWIDT:,1.10
ATVSWR:,1.06
FRTOBA:,68.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,38
-180.00,-72.00,
-100.00,-72.00,
-85.00,-68.00,
-70.00,-54.00,
-50.00,-50.00,
-45.00,-46.00,
-30.00,-46.00,
-25.00,-42.00,
-15.00,-39.00,
-10.00,-39.00,
-8.00,-32.00,
-5.00,-32.00,
-3.00,-25.00,
-2.00,-25.00,
-1.00,-5.00,
-0.80,-4.00,
-0.75,-3.00,
-0.50,-2.00,
-0.25,-1.00,
0.25,-1.00,
0.50,-2.00,
0.75,-3.00,
0.80,-4.00,
1.00,-5.00,
2.00,-25.00,
3.00,-25.00,
5.00,-32.00,
8.00,-32.00,
10.00,-39.00,
15.00,-39.00,
25.00,-42.00,
30.00,-46.00,
45.00,-46.00,
50.00,-50.00,
70.00,-54.00,
85.00,-68.00,
100.00,-72.00,
180.00,-72.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,15
-180.00,-74.00,
-80.00,-74.00,
-40.00,-62.00,
-15.00,-62.00,
-8.00,-52.00,
-3.00,-52.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
3.00,-52.00,
8.00,-52.00,
15.00,-62.00,
40.00,-62.00,
80.00,-74.00,
180.00,-74.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,31
-180.00,-68.00,
-80.00,-68.00,
-70.00,-58.00,
-35.00,-43.00,
-20.00,-40.00,
-15.00,-37.00,
-8.00,-37.00,
-6.00,-32.00,
-2.50,-29.00,
-2.00,-25.00,
-1.00,-5.00,
-0.80,-4.00,
-0.75,-3.00,
-0.50,-2.00,
-0.25,-1.00,
0.00,0.00,
0.25,-1.00,
0.50,-2.00,
0.75,-3.00,
0.80,-4.00,
1.00,-5.00,
2.00,-25.00,
2.50,-29.00,
6.00,-32.00,
8.00,-37.00,
15.00,-37.00,
20.00,-40.00,
35.00,-43.00,
70.00,-58.00,
80.00,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,15
-180.00,-74.00,
-90.00,-74.00,
-30.00,-57.00,
-15.00,-57.00,
-10.00,-48.00,
-3.00,-48.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
3.00,-48.00,
10.00,-48.00,
15.00,-57.00,
30.00,-57.00,
90.00,-74.00,
180.00,-74.00,
ENDFIL:,EOF
