REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HSX12-74
PATNUM:,1916
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19960502
LOWFRQ:,7425
HGHFRQ:,7900
GUNITS:,DBI/DBR
LWGAIN:,46.5
MDGAIN:,46.8
HGGAIN:,47.0
AZWIDT:,0.80
ELWIDT:,0.80
ATVSWR:,1.06
FRTOBA:,78.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,55
-180.00,-78.00,
-92.50,-78.00,
-70.00,-62.50,
-60.00,-62.50,
-47.50,-56.50,
-40.00,-56.50,
-35.00,-54.00,
-26.50,-54.00,
-15.00,-49.00,
-13.50,-49.00,
-13.00,-48.30,
-10.45,-48.30,
-10.00,-44.50,
-7.50,-44.50,
-7.00,-39.50,
-5.75,-39.50,
-5.00,-33.70,
-4.00,-33.70,
-3.00,-28.00,
-1.30,-28.00,
-1.10,-20.10,
-0.90,-13.45,
-0.70,-8.14,
-0.50,-4.15,
-0.30,-1.49,
-0.10,-0.17,
0.00,0.00,
0.10,-0.17,
0.30,-1.49,
0.50,-4.15,
0.70,-8.14,
0.90,-13.45,
1.10,-20.10,
1.30,-28.00,
2.00,-28.00,
2.50,-32.00,
4.00,-32.00,
5.00,-34.75,
6.50,-34.75,
7.00,-39.00,
8.00,-39.00,
9.25,-42.00,
14.00,-42.00,
15.00,-47.50,
20.00,-47.50,
25.00,-51.00,
30.00,-51.00,
40.00,-55.00,
43.00,-55.00,
57.00,-58.50,
72.00,-58.50,
89.00,-75.00,
95.00,-75.00,
100.00,-78.00,
180.00,-78.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,30
-180.00,-80.00,
-80.00,-80.00,
-70.00,-75.00,
-60.00,-75.00,
-45.00,-70.50,
-31.35,-70.50,
-30.00,-69.75,
-15.00,-69.75,
-9.50,-69.75,
-9.25,-67.50,
-8.00,-67.50,
-7.00,-58.00,
-2.50,-58.00,
-1.00,-40.00,
0.00,-40.00,
1.00,-40.00,
2.00,-57.00,
4.50,-57.00,
5.00,-62.75,
12.00,-62.75,
12.50,-64.25,
14.00,-64.25,
15.00,-68.25,
25.00,-68.25,
33.00,-71.50,
40.00,-71.50,
46.00,-74.60,
75.00,-74.60,
83.50,-80.00,
180.00,-80.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,61
-180.00,-78.00,
-90.00,-78.00,
-71.00,-63.00,
-55.00,-62.50,
-40.00,-57.00,
-36.00,-55.00,
-32.00,-55.00,
-20.00,-52.00,
-15.00,-52.00,
-14.75,-52.00,
-14.00,-50.00,
-13.00,-50.00,
-12.00,-48.00,
-10.00,-48.00,
-9.00,-45.00,
-8.00,-45.00,
-7.00,-37.00,
-5.50,-37.00,
-5.00,-33.00,
-4.00,-33.00,
-3.00,-31.00,
-1.30,-31.00,
-1.10,-20.10,
-0.90,-13.45,
-0.70,-8.14,
-0.50,-4.15,
-0.30,-1.49,
-0.10,-0.17,
0.00,0.00,
0.10,-0.17,
0.30,-1.49,
0.50,-4.15,
0.70,-8.14,
0.90,-13.45,
1.10,-20.10,
1.30,-28.07,
1.60,-29.00,
2.25,-30.50,
4.00,-30.50,
4.50,-32.00,
4.75,-35.50,
6.50,-35.50,
7.70,-40.00,
9.50,-43.00,
13.60,-43.00,
14.00,-44.50,
15.00,-44.50,
16.00,-44.50,
20.00,-50.00,
28.00,-54.00,
35.00,-54.00,
38.00,-56.60,
45.00,-56.50,
47.00,-58.50,
59.00,-58.50,
61.00,-61.00,
70.00,-61.00,
75.00,-69.00,
93.00,-69.00,
98.00,-78.00,
180.00,-78.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,25
-180.00,-80.00,
-75.00,-80.00,
-65.50,-76.00,
-59.50,-76.00,
-55.00,-71.00,
-42.00,-71.00,
-40.00,-69.00,
-17.50,-69.00,
-15.00,-68.00,
-8.50,-68.00,
-6.00,-56.00,
-2.50,-56.00,
-1.00,-40.00,
0.00,-40.00,
1.00,-40.00,
2.50,-61.30,
13.50,-61.30,
14.00,-64.50,
15.00,-64.50,
19.00,-67.00,
30.00,-67.00,
35.00,-73.00,
64.00,-73.00,
77.00,-80.00,
180.00,-80.00,
ENDFIL:,EOF
