REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HSX4-77
PATNUM:,2589
FEDORN:,LEFT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19980608
LOWFRQ:,7725
HGHFRQ:,8275
GUNITS:,DBI/DBR
LWGAIN:,37.0
MDGAIN:,37.2
HGGAIN:,37.5
AZWIDT:,2.30
ELWIDT:,2.30
ATVSWR:,1.08
FRTOBA:,64.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,45
-180.0,-64.0,
-92.0,-64.0,
-88.0,-58.0,
-84.0,-58.0,
-76.0,-51.0,
-58.0,-51.0,
-52.0,-48.0,
-38.0,-48.0,
-31.0,-42.0,
-21.0,-37.0,
-15.0,-36.0,
-6.0,-22.0,
-2.8,-22.0,
-2.6,-18.0,
-2.4,-14.0,
-2.1,-10.0,
-1.9,-8.0,
-1.7,-6.0,
-1.4,-4.0,
-1.0,-2.0,
-0.8,-1.3,
-0.5,-0.5,
-0.3,-0.2,
0.0,0.0,
0.3,-0.2,
0.5,-0.5,
0.8,-1.3,
1.0,-2.0,
1.4,-4.0,
1.7,-6.0,
1.9,-8.0,
2.1,-10.0,
2.4,-14.0,
2.6,-18.0,
2.8,-22.0,
6.0,-22.0,
15.0,-35.0,
20.0,-41.0,
32.0,-41.0,
42.0,-45.0,
60.0,-47.0,
78.0,-60.0,
84.0,-60.0,
88.0,-64.0,
180.0,-64.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.0,-66.0,
-155.0,-66.0,
-120.0,-66.0,
-68.0,-66.0,
-60.0,-60.0,
-46.0,-56.0,
-20.0,-56.0,
-15.0,-52.0,
-10.0,-46.0,
-4.0,-46.0,
-2.5,-40.0,
0.0,-40.0,
2.5,-40.0,
4.0,-46.0,
10.0,-46.0,
15.0,-52.0,
41.0,-52.0,
50.2,-56.0,
62.4,-58.0,
74.0,-66.0,
100.0,-66.0,
140.0,-66.0,
180.0,-66.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,41
-180.0,-64.0,
-92.0,-64.0,
-78.0,-56.0,
-66.0,-56.0,
-60.0,-48.0,
-42.0,-46.0,
-26.0,-37.0,
-15.0,-28.0,
-6.1,-21.0,
-2.8,-21.0,
-2.6,-18.0,
-2.4,-14.0,
-2.1,-10.0,
-1.9,-8.0,
-1.7,-6.0,
-1.4,-4.0,
-1.0,-2.0,
-0.8,-1.3,
-0.5,-0.5,
-0.3,-0.2,
0.0,0.0,
0.3,-0.2,
0.5,-0.5,
0.8,-1.3,
1.0,-2.0,
1.4,-4.0,
1.7,-6.0,
1.9,-8.0,
2.1,-10.0,
2.4,-14.0,
2.6,-18.0,
2.8,-21.0,
6.0,-21.0,
12.0,-26.0,
15.0,-31.0,
20.0,-37.0,
44.0,-37.0,
48.0,-45.0,
70.2,-51.9,
91.8,-64.0,
180.0,-64.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,18
-180.0,-66.0,
-84.0,-66.0,
-68.0,-58.0,
-20.0,-58.0,
-15.0,-52.0,
-10.0,-46.0,
-4.0,-46.0,
-2.4,-40.0,
0.0,-40.0,
2.5,-40.0,
4.0,-46.0,
10.0,-46.0,
15.0,-51.0,
38.0,-51.0,
42.0,-55.0,
68.0,-55.0,
89.0,-66.0,
180.0,-66.0,
ENDFIL:,EOF
