REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HSX6-77
PATNUM:,1922B
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19971023
LOWFRQ:,7725
HGHFRQ:,8275
GUNITS:,DBI/DBR
LWGAIN:,40.7
MDGAIN:,41.0
HGGAIN:,41.4
AZWIDT:,1.50
ELWIDT:,1.50
ATVSWR:,1.06
FRTOBA:,67.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,59
-180.00,-75.00,
-98.56,-75.00,
-95.55,-73.47,
-89.92,-72.21,
-79.72,-71.98,
-76.21,-67.59,
-71.72,-62.72,
-65.77,-61.18,
-61.40,-57.92,
-47.51,-52.58,
-35.17,-48.75,
-25.85,-48.46,
-23.71,-43.58,
-15.00,-43.58,
-11.87,-42.60,
-11.23,-40.26,
-10.44,-35.94,
-8.67,-35.81,
-8.01,-31.61,
-6.16,-31.64,
-5.62,-28.05,
-3.67,-28.05,
-2.54,-22.26,
-1.87,-22.25,
-1.66,-16.80,
-1.45,-12.28,
-1.13,-6.98,
-0.90,-4.52,
-0.63,-1.75,
-0.30,-0.32,
0.00,0.00,
0.38,-0.40,
0.65,-2.06,
0.90,-4.68,
1.11,-7.06,
1.43,-11.97,
1.65,-17.12,
1.87,-22.13,
2.68,-22.04,
3.66,-28.91,
5.28,-28.80,
6.32,-31.36,
7.71,-31.20,
8.61,-36.75,
9.79,-36.85,
11.55,-41.16,
14.36,-43.80,
15.00,-45.82,
21.23,-45.76,
23.46,-48.51,
31.30,-48.58,
34.97,-52.36,
43.75,-53.12,
47.19,-56.99,
58.84,-58.01,
63.45,-65.31,
71.00,-68.00,
74.62,-75.00,
180.00,-75.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,22
-180.00,-75.00,
-72.22,-75.00,
-62.72,-66.37,
-54.26,-66.06,
-51.61,-61.71,
-35.05,-61.41,
-23.37,-59.61,
-15.00,-59.50,
-13.96,-59.31,
-4.73,-54.35,
-1.40,-40.00,
0.00,-40.00,
1.40,-40.00,
5.33,-54.11,
9.67,-56.87,
15.00,-62.35,
16.03,-63.16,
49.91,-63.18,
58.71,-66.49,
66.91,-66.69,
73.72,-75.00,
180.00,-75.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,59
-180.00,-75.00,
-98.56,-75.00,
-95.55,-73.47,
-89.42,-71.55,
-78.80,-71.04,
-61.89,-57.45,
-49.88,-50.50,
-38.74,-50.34,
-33.55,-44.89,
-29.56,-44.81,
-27.73,-43.31,
-21.08,-43.23,
-19.75,-41.41,
-15.42,-41.41,
-15.00,-38.49,
-12.09,-38.25,
-10.44,-35.94,
-9.10,-35.65,
-8.01,-31.61,
-6.41,-31.64,
-5.62,-28.05,
-3.97,-28.05,
-2.73,-21.04,
-1.87,-19.90,
-1.66,-16.80,
-1.45,-12.28,
-1.13,-6.98,
-0.90,-4.52,
-0.63,-1.75,
-0.30,-0.32,
0.00,0.00,
0.38,-0.40,
0.65,-2.06,
1.02,-4.68,
1.30,-7.79,
1.64,-12.81,
1.88,-17.81,
2.16,-19.80,
2.79,-20.84,
3.79,-29.04,
5.24,-30.40,
6.32,-31.23,
7.90,-31.20,
9.13,-35.88,
10.94,-36.09,
11.76,-38.73,
13.28,-39.69,
15.00,-45.92,
18.93,-45.80,
21.35,-49.98,
22.30,-49.93,
24.26,-50.37,
31.43,-51.38,
45.33,-51.45,
52.43,-56.14,
57.04,-59.77,
65.56,-64.34,
72.65,-75.00,
180.00,-75.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,22
-180.00,-75.00,
-76.43,-75.00,
-67.94,-62.96,
-54.99,-62.86,
-51.35,-61.39,
-45.08,-58.84,
-15.00,-58.84,
-10.17,-58.81,
-8.72,-56.19,
-5.65,-54.02,
-1.40,-40.00,
0.00,-40.00,
1.40,-40.00,
6.55,-54.06,
10.93,-56.74,
15.00,-56.74,
19.83,-62.70,
53.51,-62.70,
59.15,-69.20,
70.27,-69.31,
77.75,-75.00,
180.00,-75.00,
ENDFIL:,EOF
