REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX8-77
PATNUM:,2834D
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19760419
LOWFRQ:,7725
HGHFRQ:,8275
GUNITS:,DBI/DBR
LWGAIN:,43.1
MDGAIN:,43.5
HGGAIN:,43.7
AZWIDT:,1.10
ELWIDT:,1.10
ATVSWR:,1.06
FRTOBA:,68.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,32
-180.00,-70.00,
-100.00,-70.00,
-78.00,-56.00,
-59.00,-55.00,
-54.00,-49.10,
-15.00,-46.00,
-11.00,-44.00,
-10.00,-36.00,
-4.50,-35.00,
-3.90,-28.50,
-3.10,-28.50,
-2.50,-24.00,
-1.00,-15.00,
-0.50,-2.00,
0.00,0.00,
0.50,-2.00,
1.00,-15.00,
1.40,-15.00,
2.00,-20.30,
3.20,-28.50,
4.40,-28.50,
5.10,-34.00,
10.00,-35.00,
11.30,-40.00,
21.00,-40.00,
24.00,-47.00,
42.50,-54.00,
61.50,-54.00,
87.50,-70.00,
134.00,-70.00,
148.50,-67.70,
180.00,-67.70,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,21
-180.00,-71.30,
-86.50,-71.30,
-48.50,-59.00,
-20.00,-57.00,
-8.00,-57.00,
-6.30,-51.40,
-4.20,-50.00,
-1.40,-40.80,
-0.80,-30.00,
0.00,-30.00,
1.10,-30.00,
1.60,-39.00,
4.80,-53.00,
8.00,-53.00,
8.80,-50.80,
12.50,-50.80,
15.00,-59.00,
20.00,-61.90,
52.50,-61.90,
86.00,-71.00,
180.00,-71.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,34
-180.00,-71.30,
-86.50,-71.30,
-78.00,-59.70,
-65.00,-56.10,
-60.00,-56.10,
-58.00,-53.70,
-37.00,-50.00,
-22.00,-50.00,
-19.00,-46.10,
-15.00,-46.00,
-11.20,-45.70,
-11.00,-43.20,
-4.70,-35.00,
-3.90,-28.50,
-3.10,-28.50,
-2.50,-24.00,
-1.40,-24.00,
-1.00,-15.00,
-0.50,-2.00,
0.00,0.00,
0.50,-2.00,
1.00,-15.00,
1.50,-23.70,
2.90,-23.70,
6.70,-35.00,
11.00,-43.30,
22.20,-43.30,
42.50,-53.60,
60.00,-53.60,
70.00,-56.60,
88.00,-70.00,
120.00,-70.00,
127.00,-67.70,
180.00,-67.70,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,20
-180.00,-71.30,
-86.50,-71.30,
-66.00,-64.70,
-40.00,-61.20,
-6.00,-61.20,
-1.20,-36.00,
-0.80,-30.00,
0.00,-30.00,
1.10,-30.00,
1.40,-34.50,
5.20,-51.90,
12.00,-51.90,
14.10,-55.00,
15.00,-58.00,
15.00,-59.00,
50.00,-62.00,
79.00,-70.00,
120.00,-70.00,
127.00,-68.20,
180.00,-68.20,
ENDFIL:,EOF
