REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UMX8-6477
PATNUM:,4302
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19970114
LOWFRQ:,7725
HGHFRQ:,8275
GUNITS:,DBI/DBR
LWGAIN:,43.3
MDGAIN:,43.8
HGGAIN:,44.0
AZWIDT:,1.10
ELWIDT:,1.10
ATVSWR:,1.15
FRTOBA:,73.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,66
-180.00,-74.00,
-79.90,-74.00,
-61.00,-57.69,
-47.00,-57.69,
-45.00,-57.42,
-39.32,-57.42,
-35.00,-55.40,
-30.00,-52.52,
-25.00,-51.00,
-20.00,-48.75,
-15.00,-48.75,
-13.04,-48.75,
-13.00,-48.50,
-11.82,-48.50,
-11.00,-46.07,
-10.00,-44.19,
-8.71,-44.19,
-8.00,-37.23,
-6.90,-37.23,
-6.00,-31.89,
-4.33,-31.89,
-4.00,-30.21,
-3.00,-30.21,
-2.90,-26.68,
-1.91,-20.77,
-1.70,-18.99,
-1.48,-17.09,
-1.27,-13.21,
-1.06,-8.30,
-0.85,-5.40,
-0.64,-2.66,
-0.42,-1.05,
-0.21,-0.01,
0.00,0.00,
0.21,-0.01,
0.42,-0.68,
0.64,-2.58,
0.85,-5.04,
1.06,-8.35,
1.27,-12.65,
1.48,-19.51,
1.70,-22.11,
1.91,-23.96,
2.12,-25.36,
2.33,-25.66,
2.54,-25.85,
2.76,-26.04,
2.97,-29.78,
3.60,-29.84,
4.00,-29.84,
4.51,-30.46,
6.00,-30.46,
6.81,-35.58,
9.00,-35.58,
10.00,-41.68,
11.00,-42.68,
11.50,-42.91,
15.00,-42.91,
20.00,-42.91,
25.00,-48.27,
30.00,-48.27,
35.00,-48.67,
65.00,-60.98,
75.00,-66.00,
85.00,-74.00,
180.00,-74.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,31
-180.00,-74.00,
-75.00,-74.00,
-70.00,-70.86,
-57.36,-70.86,
-55.00,-68.60,
-36.00,-68.60,
-30.00,-64.56,
-27.00,-64.56,
-20.00,-58.38,
-15.00,-58.38,
-6.33,-58.38,
-6.00,-56.08,
-4.25,-56.08,
-4.00,-55.00,
-1.00,-35.00,
0.00,-35.00,
1.00,-35.00,
3.50,-54.11,
4.84,-56.08,
6.00,-56.08,
6.31,-58.38,
15.00,-58.38,
20.00,-58.38,
25.00,-64.56,
30.00,-64.56,
35.00,-68.60,
55.00,-68.60,
57.78,-70.86,
69.00,-70.86,
71.00,-74.00,
180.00,-74.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,69
-180.00,-74.00,
-85.00,-74.00,
-61.00,-60.56,
-53.68,-60.56,
-50.00,-58.76,
-45.00,-58.76,
-36.00,-52.27,
-31.00,-52.27,
-25.00,-47.97,
-15.00,-47.97,
-11.36,-47.97,
-11.00,-46.40,
-10.00,-43.38,
-8.65,-43.38,
-8.00,-36.15,
-6.90,-36.15,
-6.00,-31.89,
-4.36,-31.89,
-4.00,-30.21,
-3.00,-30.21,
-2.12,-23.50,
-1.91,-22.94,
-1.70,-22.38,
-1.48,-21.61,
-1.27,-15.34,
-1.06,-8.44,
-0.85,-5.57,
-0.64,-2.64,
-0.42,-1.06,
-0.21,-0.01,
0.00,0.00,
0.21,-0.13,
0.42,-1.61,
0.64,-3.38,
0.85,-6.85,
1.06,-9.55,
1.27,-17.31,
1.48,-23.82,
1.70,-24.91,
1.91,-25.77,
2.12,-26.64,
2.33,-27.36,
2.54,-27.97,
2.80,-28.58,
3.00,-29.71,
4.00,-29.71,
4.92,-31.05,
6.00,-31.05,
7.00,-34.99,
7.14,-35.58,
9.00,-35.58,
9.97,-41.49,
12.00,-41.49,
12.09,-41.73,
14.00,-41.73,
14.11,-42.65,
15.00,-42.65,
21.00,-42.65,
25.00,-46.49,
28.60,-48.63,
36.00,-48.63,
40.00,-55.08,
55.00,-55.08,
60.00,-61.67,
65.00,-61.67,
71.12,-70.17,
76.00,-70.17,
84.00,-74.00,
180.00,-74.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,33
-180.00,-74.00,
-73.00,-74.00,
-70.00,-72.38,
-60.00,-72.38,
-55.00,-67.35,
-46.96,-67.35,
-45.00,-66.66,
-40.00,-66.38,
-15.30,-66.38,
-15.00,-66.18,
-12.20,-66.18,
-12.00,-65.70,
-10.50,-65.70,
-9.00,-59.89,
-6.85,-59.89,
-6.00,-57.55,
-4.65,-57.55,
-4.50,-52.00,
-1.00,-35.00,
0.00,-35.00,
1.00,-35.00,
3.60,-52.04,
6.00,-52.04,
6.69,-56.64,
15.00,-56.64,
20.00,-56.64,
25.00,-63.26,
30.00,-64.73,
35.00,-65.66,
36.45,-66.69,
71.00,-66.69,
77.00,-74.00,
180.00,-74.00,
ENDFIL:,EOF
