REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UMX8-6477
PATNUM:,4303
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19970114
LOWFRQ:,7725
HGHFRQ:,8275
GUNITS:,DBI/DBR
LWGAIN:,43.3
MDGAIN:,43.8
HGGAIN:,44.0
AZWIDT:,1.10
ELWIDT:,1.10
ATVSWR:,1.15
FRTOBA:,73.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,66
-180.00,-74.00,
-85.00,-74.00,
-75.00,-66.00,
-65.00,-60.98,
-35.00,-48.67,
-30.00,-48.27,
-25.00,-48.27,
-20.00,-42.91,
-15.00,-42.91,
-11.50,-42.91,
-11.00,-42.68,
-10.00,-41.68,
-9.00,-35.58,
-6.81,-35.58,
-6.00,-30.46,
-4.51,-30.46,
-4.00,-29.84,
-3.60,-29.84,
-2.97,-29.78,
-2.76,-26.04,
-2.54,-25.85,
-2.33,-25.66,
-2.12,-25.36,
-1.91,-23.96,
-1.70,-22.11,
-1.48,-19.51,
-1.27,-12.65,
-1.06,-8.35,
-0.85,-5.04,
-0.64,-2.58,
-0.42,-0.68,
-0.21,-0.01,
0.00,0.00,
0.21,-0.01,
0.42,-1.05,
0.64,-2.66,
0.85,-5.40,
1.06,-8.30,
1.27,-13.21,
1.48,-17.09,
1.70,-18.99,
1.91,-20.77,
2.90,-26.68,
3.00,-30.21,
4.00,-30.21,
4.33,-31.89,
6.00,-31.89,
6.90,-37.23,
8.00,-37.23,
8.71,-44.19,
10.00,-44.19,
11.00,-46.07,
11.82,-48.50,
13.00,-48.50,
13.04,-48.75,
15.00,-48.75,
20.00,-48.75,
25.00,-51.00,
30.00,-52.52,
35.00,-55.40,
39.32,-57.42,
45.00,-57.42,
47.00,-57.69,
61.00,-57.69,
79.90,-74.00,
180.00,-74.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,31
-180.00,-74.00,
-71.00,-74.00,
-69.00,-70.86,
-57.78,-70.86,
-55.00,-68.60,
-35.00,-68.60,
-30.00,-64.56,
-25.00,-64.56,
-20.00,-58.38,
-15.00,-58.38,
-6.31,-58.38,
-6.00,-56.08,
-4.84,-56.08,
-3.50,-54.11,
-1.00,-35.00,
0.00,-35.00,
1.00,-35.00,
4.00,-55.00,
4.25,-56.08,
6.00,-56.08,
6.33,-58.38,
15.00,-58.38,
20.00,-58.38,
27.00,-64.56,
30.00,-64.56,
36.00,-68.60,
55.00,-68.60,
57.36,-70.86,
70.00,-70.86,
75.00,-74.00,
180.00,-74.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,69
-180.00,-74.00,
-84.00,-74.00,
-76.00,-70.17,
-71.12,-70.17,
-65.00,-61.67,
-60.00,-61.67,
-55.00,-55.08,
-40.00,-55.08,
-36.00,-48.63,
-28.60,-48.63,
-25.00,-46.49,
-21.00,-42.65,
-15.00,-42.65,
-14.11,-42.65,
-14.00,-41.73,
-12.09,-41.73,
-12.00,-41.49,
-9.97,-41.49,
-9.00,-35.58,
-7.14,-35.58,
-7.00,-34.99,
-6.00,-31.05,
-4.92,-31.05,
-4.00,-29.71,
-3.00,-29.71,
-2.80,-28.58,
-2.54,-27.97,
-2.33,-27.36,
-2.12,-26.64,
-1.91,-25.77,
-1.70,-24.91,
-1.48,-23.82,
-1.27,-17.31,
-1.06,-9.55,
-0.85,-6.85,
-0.64,-3.38,
-0.42,-1.61,
-0.21,-0.13,
0.00,0.00,
0.21,-0.01,
0.42,-1.06,
0.64,-2.64,
0.85,-5.57,
1.06,-8.44,
1.27,-15.34,
1.48,-21.61,
1.70,-22.38,
1.91,-22.94,
2.12,-23.50,
3.00,-30.21,
4.00,-30.21,
4.36,-31.89,
6.00,-31.89,
6.90,-36.15,
8.00,-36.15,
8.65,-43.38,
10.00,-43.38,
11.00,-46.40,
11.36,-47.97,
15.00,-47.97,
25.00,-47.97,
31.00,-52.27,
36.00,-52.27,
45.00,-58.76,
50.00,-58.76,
53.68,-60.56,
61.00,-60.56,
85.00,-74.00,
180.00,-74.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,33
-180.00,-74.00,
-77.00,-74.00,
-71.00,-66.69,
-36.45,-66.69,
-35.00,-65.66,
-30.00,-64.73,
-25.00,-63.26,
-20.00,-56.64,
-15.00,-56.64,
-6.69,-56.64,
-6.00,-52.04,
-3.60,-52.04,
-1.00,-35.00,
0.00,-35.00,
1.00,-35.00,
4.50,-52.00,
4.65,-57.55,
6.00,-57.55,
6.85,-59.89,
9.00,-59.89,
10.50,-65.70,
12.00,-65.70,
12.20,-66.18,
15.00,-66.18,
15.30,-66.38,
40.00,-66.38,
45.00,-66.66,
46.96,-67.35,
55.00,-67.35,
60.00,-72.38,
70.00,-72.38,
73.00,-74.00,
180.00,-74.00,
ENDFIL:,EOF
