REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HSX10-77
PATNUM:,1967
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19960824
LOWFRQ:,7725
HGHFRQ:,8275
GUNITS:,DBI/DBR
LWGAIN:,44.8
MDGAIN:,45.2
HGGAIN:,45.6
AZWIDT:,0.90
ELWIDT:,0.90
ATVSWR:,1.06
FRTOBA:,79.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,76
-180.0,-79.0,
-91.0,-79.0,
-87.0,-76.0,
-85.0,-76.0,
-83.0,-70.0,
-78.4,-70.0,
-75.0,-67.7,
-70.0,-66.5,
-65.0,-59.7,
-57.0,-59.7,
-55.0,-58.3,
-50.0,-55.2,
-40.0,-55.2,
-35.0,-51.7,
-26.0,-51.7,
-20.0,-47.0,
-15.0,-47.0,
-14.3,-47.0,
-14.0,-45.3,
-12.9,-45.3,
-12.0,-43.5,
-11.0,-42.0,
-7.5,-42.0,
-6.5,-37.0,
-6.0,-37.0,
-5.0,-35.4,
-3.6,-35.4,
-3.0,-32.8,
-2.6,-32.8,
-2.0,-29.5,
-1.9,-29.3,
-1.7,-29.0,
-1.5,-28.5,
-1.4,-22.9,
-1.2,-14.9,
-1.0,-9.6,
-0.9,-6.7,
-0.7,-3.6,
-0.5,-1.7,
-0.3,-0.5,
-0.2,0.0,
0.0,0.0,
0.2,0.0,
0.3,-0.5,
0.5,-1.7,
0.7,-3.6,
0.9,-6.7,
1.0,-9.6,
1.2,-14.9,
1.4,-22.9,
1.5,-24.1,
1.7,-24.4,
1.9,-24.8,
2.0,-25.1,
2.2,-27.6,
2.4,-30.5,
2.5,-31.4,
6.6,-31.4,
8.0,-37.0,
9.0,-37.0,
9.3,-41.6,
12.0,-41.6,
12.8,-42.5,
15.0,-42.5,
20.0,-42.5,
31.5,-51.2,
40.0,-51.2,
42.5,-54.9,
60.0,-54.9,
64.3,-58.6,
70.0,-58.6,
85.0,-72.0,
86.0,-74.5,
91.0,-74.5,
95.0,-79.0,
180.0,-79.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,39
-180.0,-80.0,
-82.0,-80.0,
-80.0,-79.0,
-70.0,-78.6,
-65.0,-72.8,
-52.8,-72.8,
-50.0,-68.5,
-43.5,-68.5,
-40.0,-67.9,
-24.7,-67.9,
-20.0,-66.5,
-15.0,-66.5,
-10.8,-66.5,
-10.0,-60.2,
-8.7,-60.2,
-8.0,-58.2,
-6.4,-58.2,
-6.0,-56.4,
-2.2,-56.4,
-1.0,-40.0,
0.0,-40.0,
1.0,-40.0,
2.1,-55.0,
5.0,-55.0,
6.0,-56.5,
7.0,-57.4,
8.0,-58.1,
8.3,-62.5,
13.0,-62.5,
13.2,-64.1,
15.0,-64.0,
20.0,-64.0,
22.8,-66.5,
50.0,-66.5,
58.0,-69.1,
61.0,-74.9,
70.0,-74.9,
76.0,-80.0,
180.0,-80.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,64
-180.0,-79.0,
-90.0,-79.0,
-70.0,-59.0,
-56.0,-59.0,
-53.0,-55.5,
-49.5,-55.5,
-45.0,-53.4,
-40.0,-52.7,
-35.0,-51.6,
-30.0,-51.6,
-25.0,-48.9,
-20.0,-48.6,
-15.0,-48.6,
-13.7,-48.6,
-13.0,-47.8,
-11.8,-47.8,
-11.0,-44.5,
-9.3,-44.5,
-9.0,-40.8,
-7.4,-40.8,
-7.0,-40.3,
-6.3,-34.7,
-3.5,-34.7,
-3.0,-28.9,
-1.5,-28.9,
-1.4,-21.7,
-1.2,-14.7,
-1.0,-9.5,
-0.9,-6.7,
-0.7,-3.5,
-0.5,-1.7,
-0.3,-0.3,
-0.2,0.0,
0.0,0.0,
0.2,0.0,
0.3,-0.3,
0.5,-1.7,
0.7,-3.5,
0.9,-6.7,
1.0,-9.5,
1.2,-14.7,
1.4,-21.7,
1.4,-25.8,
2.0,-25.8,
2.8,-32.4,
7.0,-32.4,
7.8,-40.0,
12.0,-40.0,
13.0,-41.0,
13.9,-44.0,
15.0,-44.0,
25.0,-44.0,
31.5,-47.0,
35.0,-52.5,
36.3,-53.1,
60.0,-53.1,
62.3,-57.2,
70.0,-57.2,
75.5,-66.3,
79.0,-66.3,
80.0,-73.0,
92.0,-73.0,
92.5,-79.0,
180.0,-79.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,37
-180.0,-80.0,
-80.0,-80.0,
-75.0,-74.5,
-62.2,-74.5,
-60.0,-72.5,
-48.6,-72.5,
-45.0,-70.4,
-40.0,-69.0,
-35.0,-68.2,
-17.5,-68.2,
-15.0,-66.0,
-10.5,-66.0,
-9.0,-57.3,
-6.5,-57.3,
-6.0,-55.0,
-4.6,-55.0,
-4.0,-51.0,
-1.5,-51.0,
-1.0,-40.0,
0.0,-40.0,
1.0,-40.0,
2.0,-50.0,
3.5,-56.6,
15.0,-56.6,
20.0,-56.6,
24.5,-62.7,
30.0,-62.7,
35.0,-63.3,
38.1,-64.8,
45.0,-64.8,
50.0,-67.1,
55.0,-68.9,
56.0,-69.9,
65.0,-69.9,
76.0,-74.5,
80.0,-80.0,
180.0,-80.0,
ENDFIL:,EOF
