REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX10-77
PATNUM:,2836D
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19740722
LOWFRQ:,7725
HGHFRQ:,8275
GUNITS:,DBI/DBR
LWGAIN:,44.9
MDGAIN:,45.2
HGGAIN:,45.4
AZWIDT:,0.90
ELWIDT:,0.90
ATVSWR:,1.06
FRTOBA:,70.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,28
-180.00,-70.00,
-102.00,-70.00,
-67.80,-57.30,
-41.00,-52.00,
-32.00,-54.10,
-22.00,-51.00,
-13.50,-51.00,
-11.50,-48.00,
-8.80,-48.00,
-3.30,-31.40,
-3.10,-26.50,
-1.40,-26.50,
-1.00,-15.00,
-0.50,-2.00,
0.00,0.00,
0.50,-2.00,
1.00,-15.00,
1.50,-26.50,
2.00,-26.50,
3.60,-31.70,
7.50,-36.00,
10.00,-41.00,
15.00,-44.00,
30.00,-47.00,
42.50,-54.00,
68.00,-55.10,
82.00,-70.10,
180.00,-70.10,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,18
-180.00,-71.10,
-84.00,-71.10,
-31.00,-64.00,
-11.50,-64.00,
-10.00,-59.00,
-3.00,-55.40,
-2.80,-50.20,
-1.60,-30.00,
0.00,-30.00,
1.40,-30.00,
2.30,-49.00,
5.50,-49.00,
9.50,-50.00,
11.00,-55.00,
15.00,-56.90,
30.00,-58.00,
80.00,-71.10,
180.00,-71.10,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,30
-180.00,-71.10,
-84.00,-71.10,
-78.00,-70.00,
-72.00,-63.00,
-46.50,-54.70,
-30.00,-54.70,
-26.50,-48.20,
-15.00,-49.30,
-11.20,-49.30,
-8.50,-42.00,
-6.00,-39.40,
-1.90,-25.40,
-1.40,-25.40,
-1.00,-15.00,
-0.50,-2.00,
0.00,0.00,
0.50,-2.00,
1.00,-15.00,
1.50,-25.20,
2.00,-25.20,
6.00,-36.00,
8.20,-40.00,
15.00,-49.40,
25.00,-49.40,
30.00,-53.70,
37.50,-54.00,
51.50,-60.90,
65.50,-57.10,
81.50,-71.10,
180.00,-71.10,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,24
-180.00,-71.10,
-84.00,-71.10,
-70.00,-69.20,
-30.00,-68.00,
-15.00,-65.90,
-14.00,-65.00,
-9.50,-54.50,
-4.20,-52.10,
-1.90,-45.50,
-1.60,-30.00,
0.00,-30.00,
1.40,-30.00,
2.30,-46.00,
5.00,-51.00,
9.50,-53.00,
10.00,-52.00,
12.00,-52.70,
15.00,-60.50,
30.00,-61.00,
30.00,-63.00,
60.30,-66.00,
72.50,-70.60,
80.00,-71.10,
180.00,-71.10,
ENDFIL:,EOF
