REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX15-77
PATNUM:,2840D
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19770309
LOWFRQ:,7725
HGHFRQ:,8275
GUNITS:,DBI/DBR
LWGAIN:,48.4
MDGAIN:,48.7
HGGAIN:,48.9
AZWIDT:,0.60
ELWIDT:,0.60
ATVSWR:,1.06
FRTOBA:,70.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,35
-180.00,-69.66,
-84.39,-69.66,
-70.00,-55.76,
-40.70,-45.93,
-15.51,-44.75,
-15.00,-44.75,
-8.91,-44.75,
-6.00,-34.75,
-4.11,-34.75,
-2.14,-21.86,
-1.11,-21.69,
-0.94,-14.92,
-0.86,-9.66,
-0.69,-6.95,
-0.69,-4.92,
-0.51,-2.88,
-0.51,-1.36,
-0.43,-0.51,
0.00,0.00,
0.26,-0.85,
0.26,-1.69,
0.34,-2.88,
0.51,-4.92,
0.60,-9.66,
0.69,-14.75,
0.86,-21.86,
1.29,-21.86,
3.94,-34.92,
5.57,-34.92,
10.03,-42.71,
15.00,-42.71,
30.93,-49.83,
70.51,-52.37,
94.16,-69.66,
180.00,-69.66,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.00,-79.66,
-89.53,-79.83,
-69.49,-69.66,
-40.19,-59.66,
-15.00,-58.87,
-7.80,-58.64,
-1.97,-42.88,
-1.46,-34.92,
-1.29,-32.88,
-1.11,-30.00,
0.00,-30.00,
0.94,-30.00,
1.03,-31.69,
1.20,-34.75,
1.63,-39.66,
1.80,-43.73,
6.43,-46.44,
13.63,-59.66,
15.00,-59.66,
20.14,-59.66,
66.40,-65.93,
87.48,-79.66,
180.00,-79.66,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,39
-180.00,-79.66,
-93.13,-79.66,
-65.37,-56.61,
-49.95,-51.69,
-41.21,-51.69,
-20.14,-42.88,
-15.00,-42.88,
-9.43,-42.88,
-6.00,-34.92,
-2.14,-21.86,
-1.11,-21.86,
-0.94,-16.61,
-0.94,-14.75,
-0.86,-10.00,
-0.69,-7.80,
-0.69,-6.10,
-0.69,-4.92,
-0.60,-3.05,
-0.43,-2.03,
-0.34,-0.68,
0.00,0.00,
0.26,-0.68,
0.34,-1.69,
0.43,-2.71,
0.60,-4.75,
0.60,-7.63,
0.60,-9.66,
0.69,-14.75,
0.86,-21.86,
1.37,-21.69,
1.80,-24.75,
4.11,-34.75,
8.06,-40.85,
15.00,-40.85,
18.08,-40.85,
31.45,-49.66,
76.17,-57.63,
93.13,-69.66,
180.00,-69.66,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,22
-180.00,-79.83,
-86.45,-79.83,
-63.83,-67.80,
-15.00,-59.54,
-9.69,-58.64,
-2.14,-42.88,
-1.80,-40.00,
-1.46,-34.92,
-1.20,-32.71,
-1.11,-30.85,
-1.11,-30.00,
0.00,-30.00,
0.94,-30.00,
1.03,-31.53,
1.29,-34.75,
1.63,-39.83,
1.97,-43.73,
15.00,-59.49,
45.84,-65.59,
75.65,-69.66,
93.64,-79.83,
180.00,-79.83,
ENDFIL:,EOF
