REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,FP6-77
PATNUM:,6150
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19820824
LOWFRQ:,7725
HGHFRQ:,8500
GUNITS:,DBI/DBR
LWGAIN:,40.2
MDGAIN:,40.6
HGGAIN:,40.8
AZWIDT:,1.50
ELWIDT:,1.50
ATVSWR:,1.07
FRTOBA:,60.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,35
-180.00,-60.00,
-160.00,-60.00,
-150.00,-57.00,
-110.00,-57.00,
-80.00,-42.00,
-60.00,-42.00,
-40.00,-37.00,
-30.00,-37.00,
-20.00,-34.00,
-15.00,-34.00,
-12.00,-34.00,
-5.00,-21.00,
-2.30,-21.00,
-2.00,-15.40,
-1.50,-8.60,
-1.00,-4.00,
-0.50,-1.30,
0.00,0.00,
0.50,-1.30,
1.00,-4.00,
1.50,-8.60,
2.00,-15.40,
2.30,-21.00,
5.00,-21.00,
12.00,-34.00,
15.00,-34.00,
20.00,-34.00,
30.00,-37.00,
40.00,-37.00,
60.00,-42.00,
80.00,-42.00,
110.00,-57.00,
150.00,-57.00,
160.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,15
-180.00,-64.00,
-95.00,-64.00,
-81.00,-56.30,
-15.00,-47.00,
-10.00,-45.00,
-5.00,-41.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
5.00,-41.00,
10.00,-45.00,
15.00,-47.00,
81.00,-56.30,
95.00,-64.00,
180.00,-64.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,39
-180.00,-60.00,
-175.00,-60.00,
-175.00,-61.00,
-110.00,-61.00,
-102.50,-54.00,
-90.00,-48.00,
-70.00,-48.00,
-60.00,-44.00,
-45.00,-44.00,
-30.00,-40.00,
-20.00,-40.00,
-15.00,-36.00,
-10.00,-32.00,
-5.00,-21.00,
-2.30,-21.00,
-2.00,-15.40,
-1.50,-8.60,
-1.00,-4.00,
-0.50,-1.30,
0.00,0.00,
0.50,-1.30,
1.00,-4.00,
1.50,-8.60,
2.00,-15.40,
2.30,-21.00,
5.00,-21.00,
10.00,-32.00,
15.00,-36.00,
20.00,-40.00,
30.00,-40.00,
45.00,-44.00,
60.00,-44.00,
70.00,-48.00,
90.00,-48.00,
102.50,-54.00,
110.00,-61.00,
175.00,-61.00,
175.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.00,-60.00,
-175.00,-60.00,
-175.00,-61.00,
-100.00,-61.00,
-70.00,-59.00,
-40.00,-54.00,
-20.00,-52.00,
-15.00,-47.00,
-10.00,-45.00,
-5.00,-41.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
5.00,-41.00,
10.00,-45.00,
15.00,-47.00,
20.00,-52.00,
40.00,-54.00,
70.00,-59.00,
100.00,-61.00,
175.00,-61.00,
175.00,-60.00,
180.00,-60.00,
ENDFIL:,EOF
