REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP6-77
PATNUM:,3763H
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001109
LOWFRQ:,7725
HGHFRQ:,8500
GUNITS:,DBI/DBR
LWGAIN:,40.3
MDGAIN:,40.8
HGGAIN:,41.1
AZWIDT:,1.50
ELWIDT:,1.50
ATVSWR:,1.06
FRTOBA:,68.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,37
-180.00,-68.20,
-100.50,-68.20,
-55.30,-44.20,
-40.40,-44.20,
-26.40,-38.10,
-15.00,-38.10,
-11.50,-33.00,
-8.40,-33.00,
-5.00,-25.00,
-2.20,-25.00,
-2.10,-19.90,
-1.80,-14.90,
-1.70,-10.10,
-1.60,-8.10,
-1.50,-6.00,
-1.10,-4.00,
-0.80,-2.00,
-0.50,-1.00,
0.00,0.00,
0.50,-1.00,
0.80,-2.00,
1.10,-4.00,
1.50,-6.00,
1.60,-8.10,
1.70,-10.10,
1.80,-14.90,
2.10,-19.90,
2.20,-25.00,
5.00,-25.00,
8.40,-33.00,
11.50,-33.00,
15.00,-38.10,
26.40,-38.10,
40.40,-44.20,
55.30,-44.20,
100.50,-68.20,
180.00,-68.20,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,27
-180.00,-72.00,
-100.50,-72.00,
-60.20,-62.90,
-50.80,-62.90,
-35.40,-55.00,
-15.00,-47.00,
-2.40,-47.00,
-2.00,-39.90,
-1.80,-34.90,
-1.60,-33.00,
-1.40,-30.00,
-1.30,-30.00,
-0.70,-30.00,
0.00,-30.00,
0.70,-30.00,
1.30,-30.00,
1.40,-30.00,
1.60,-33.00,
1.80,-34.90,
2.00,-39.90,
2.40,-47.00,
15.00,-47.00,
35.40,-55.00,
50.80,-62.90,
60.20,-62.90,
100.50,-72.00,
180.00,-72.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,43
-180.00,-70.00,
-99.50,-70.00,
-80.60,-65.20,
-55.80,-51.20,
-30.90,-45.00,
-15.00,-33.90,
-12.60,-31.10,
-9.00,-31.10,
-7.50,-28.00,
-5.70,-26.70,
-5.10,-25.00,
-2.00,-25.00,
-2.00,-18.20,
-1.90,-15.10,
-1.80,-12.90,
-1.70,-10.10,
-1.50,-7.00,
-1.30,-5.00,
-1.00,-3.20,
-0.80,-2.00,
-0.50,-1.00,
0.00,0.00,
0.50,-1.00,
0.80,-2.00,
1.00,-3.20,
1.30,-5.00,
1.50,-7.00,
1.70,-10.10,
1.80,-12.90,
1.90,-15.10,
2.00,-18.20,
2.00,-25.00,
5.10,-25.00,
5.70,-26.70,
7.50,-28.00,
9.00,-31.10,
12.60,-31.10,
15.00,-33.90,
30.90,-45.00,
55.80,-51.20,
80.60,-65.20,
99.50,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,35
-180.00,-72.00,
-100.00,-72.00,
-46.30,-55.00,
-24.40,-55.00,
-20.50,-52.00,
-15.00,-52.00,
-9.50,-52.00,
-6.80,-48.00,
-2.40,-48.00,
-2.30,-44.90,
-2.00,-39.90,
-1.90,-37.90,
-1.80,-34.90,
-1.70,-32.30,
-1.50,-30.00,
-1.00,-30.00,
-0.50,-30.00,
0.00,-30.00,
0.50,-30.00,
1.00,-30.00,
1.50,-30.00,
1.70,-32.30,
1.80,-34.90,
1.90,-37.90,
2.00,-39.90,
2.30,-44.90,
2.40,-48.00,
6.80,-48.00,
9.50,-52.00,
15.00,-52.00,
20.50,-52.00,
24.40,-55.00,
46.30,-55.00,
100.00,-72.00,
180.00,-72.00,
ENDFIL:,EOF
