REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PL8-77
PATNUM:,2760G
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001109
LOWFRQ:,7725
HGHFRQ:,8500
GUNITS:,DBI/DBR
LWGAIN:,42.9
MDGAIN:,43.3
HGGAIN:,43.6
AZWIDT:,1.10
ELWIDT:,1.10
ATVSWR:,1.06
FRTOBA:,50.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,31
-180.00,-50.00,
-170.00,-50.00,
-170.00,-60.00,
-128.00,-60.00,
-110.00,-48.00,
-65.00,-45.00,
-30.00,-45.00,
-20.00,-42.00,
-15.00,-42.00,
-11.50,-40.00,
-8.30,-40.00,
-1.80,-25.00,
-1.50,-18.00,
-1.00,-5.00,
-0.50,-1.00,
0.00,0.00,
0.50,-1.00,
1.00,-5.00,
1.50,-18.00,
1.80,-25.00,
8.30,-40.00,
11.50,-40.00,
15.00,-42.00,
20.00,-42.00,
30.00,-45.00,
65.00,-45.00,
110.00,-48.00,
128.00,-60.00,
170.00,-60.00,
170.00,-50.00,
180.00,-50.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.00,-58.10,
-170.00,-58.10,
-170.00,-65.00,
-118.00,-65.00,
-80.00,-58.00,
-20.00,-58.00,
-15.00,-56.00,
-12.50,-50.00,
-6.00,-50.00,
-1.90,-43.00,
-1.50,-30.00,
0.00,-30.00,
1.50,-30.00,
1.90,-43.00,
6.00,-50.00,
12.50,-50.00,
15.00,-56.00,
20.00,-58.00,
80.00,-58.00,
118.00,-65.00,
170.00,-65.00,
170.00,-58.10,
180.00,-58.10,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,33
-180.00,-50.00,
-170.00,-50.00,
-170.00,-60.00,
-120.00,-60.00,
-105.50,-47.00,
-90.00,-47.00,
-74.00,-52.00,
-55.00,-52.00,
-25.00,-38.00,
-13.50,-38.00,
-11.50,-34.00,
-4.00,-34.00,
-1.80,-25.00,
-1.50,-18.00,
-1.00,-5.00,
-0.50,-1.00,
0.00,0.00,
0.50,-1.00,
1.00,-5.00,
1.50,-18.00,
1.80,-25.00,
4.00,-34.00,
11.50,-34.00,
13.50,-38.00,
25.00,-38.00,
55.00,-52.00,
74.00,-52.00,
90.00,-47.00,
105.50,-47.00,
120.00,-60.00,
170.00,-60.00,
170.00,-50.00,
180.00,-50.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.00,-58.10,
-170.00,-58.10,
-170.00,-65.00,
-120.00,-65.00,
-80.00,-58.00,
-15.00,-58.00,
-11.50,-53.10,
-4.90,-53.10,
-2.00,-44.00,
-1.90,-43.00,
-1.50,-30.00,
0.00,-30.00,
1.50,-30.00,
1.90,-43.00,
2.00,-44.00,
4.90,-53.10,
11.50,-53.10,
15.00,-58.00,
80.00,-58.00,
120.00,-65.00,
170.00,-65.00,
170.00,-58.10,
180.00,-58.10,
ENDFIL:,EOF
