REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP12-4477
PATNUM:,0814
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19990630
LOWFRQ:,7725
HGHFRQ:,8500
GUNITS:,DBI/DBR
LWGAIN:,46.4
MDGAIN:,46.7
HGGAIN:,46.9
AZWIDT:,0.70
ELWIDT:,0.70
ATVSWR:,1.15
FRTOBA:,78.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,37
-180.0,-78.0,
-100.0,-78.0,
-92.0,-76.0,
-80.0,-65.0,
-74.0,-65.0,
-70.0,-59.0,
-44.0,-55.0,
-32.0,-55.0,
-25.0,-48.0,
-20.0,-46.0,
-15.0,-46.0,
-14.0,-46.0,
-12.0,-42.0,
-4.0,-32.0,
-1.3,-18.0,
-0.8,-09.0,
-0.4,-01.3,
-0.2,-00.1,
0.0,0.0,
0.2,-00.1,
0.4,-01.3,
0.8,-09.0,
1.3,-18.0,
4.0,-32.0,
12.0,-42.0,
14.0,-46.0,
15.0,-46.0,
20.0,-46.0,
25.0,-48.0,
32.0,-55.0,
44.0,-55.0,
70.0,-59.0,
74.0,-65.0,
80.0,-65.0,
92.0,-76.0,
100.0,-78.0,
180.0,-78.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.0,-78.0,
-80.0,-78.0,
-74.0,-74.0,
-58.0,-68.0,
-42.0,-68.0,
-34.0,-64.0,
-20.0,-64.0,
-15.0,-60.0,
-10.0,-48.0,
-2.5,-48.0,
-1.4,-35.0,
0.0,-35.0,
1.4,-35.0,
2.5,-48.0,
10.0,-48.0,
15.0,-60.0,
20.0,-64.0,
34.0,-64.0,
42.0,-68.0,
58.0,-68.0,
74.0,-74.0,
80.0,-78.0,
180.0,-78.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,29
-180.0,-78.0,
-92.0,-78.0,
-90.0,-74.0,
-80.0,-74.0,
-67.0,-60.0,
-46.0,-60.0,
-27.0,-46.0,
-22.0,-46.0,
-15.0,-39.0,
-7.0,-31.0,
-1.3,-18.0,
-0.8,-09.0,
-0.4,-01.3,
-0.2,-00.1,
0.0,0.0,
0.2,-00.1,
0.4,-01.3,
0.8,-09.0,
1.3,-18.0,
7.0,-31.0,
15.0,-39.0,
22.0,-46.0,
27.0,-46.0,
46.0,-60.0,
67.0,-60.0,
80.0,-74.0,
90.0,-74.0,
92.0,-78.0,
180.0,-78.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.0,-78.0,
-82.0,-78.0,
-78.0,-72.0,
-71.0,-72.0,
-67.0,-66.0,
-35.0,-62.0,
-32.0,-58.0,
-27.0,-58.0,
-15.0,-54.0,
-3.3,-42.0,
-1.4,-35.0,
0.0,-35.0,
1.4,-35.0,
3.3,-42.0,
15.0,-54.0,
27.0,-58.0,
32.0,-58.0,
35.0,-62.0,
67.0,-66.0,
71.0,-72.0,
78.0,-72.0,
82.0,-78.0,
180.0,-78.0,
ENDFIL:,EOF
