REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HPX12-77
PATNUM:,2797D
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001109
LOWFRQ:,7725
HGHFRQ:,8500
GUNITS:,DBI/DBR
LWGAIN:,
MDGAIN:,46.7
HGGAIN:,
AZWIDT:,0.7
ELWIDT:,0.7
ATVSWR:,1.06
FRTOBA:,72
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,35
-180.00,-70.00,
-100.00,-70.00,
-65.00,-51.00,
-42.50,-50.00,
-33.00,-50.00,
-18.00,-40.00,
-15.00,-40.00,
-14.70,-40.00,
-6.90,-32.00,
-4.00,-32.00,
-2.00,-25.00,
-1.80,-22.50,
-1.00,-22.50,
-0.80,-15.00,
-0.70,-6.00,
-0.50,-2.50,
-0.20,-0.20,
0.00,0.00,
0.20,-0.20,
0.50,-2.50,
0.70,-6.00,
0.80,-15.00,
1.00,-22.50,
1.80,-22.50,
2.00,-25.00,
4.00,-32.00,
6.90,-32.00,
14.70,-40.00,
15.00,-40.00,
18.00,-40.00,
33.00,-50.00,
42.50,-50.00,
65.00,-51.00,
100.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.00,-74.00,
-80.00,-74.00,
-60.00,-62.00,
-15.00,-62.00,
-7.00,-44.00,
-3.00,-44.00,
-1.60,-40.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
1.60,-40.00,
3.00,-44.00,
7.00,-44.00,
15.00,-62.00,
60.00,-62.00,
80.00,-74.00,
180.00,-74.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,33
-180.00,-72.00,
-96.00,-72.00,
-79.00,-58.30,
-30.00,-49.50,
-17.00,-41.00,
-15.00,-41.00,
-14.00,-41.00,
-8.70,-34.00,
-4.00,-34.00,
-1.50,-26.00,
-1.50,-22.50,
-1.00,-22.50,
-0.80,-15.00,
-0.70,-6.00,
-0.50,-2.50,
-0.20,-0.20,
0.00,0.00,
0.20,-0.20,
0.50,-2.50,
0.70,-6.00,
0.80,-15.00,
1.00,-22.50,
1.50,-22.50,
1.50,-26.00,
4.00,-34.00,
8.70,-34.00,
14.00,-41.00,
15.00,-41.00,
17.00,-41.00,
30.00,-49.50,
79.00,-58.30,
96.00,-72.00,
180.00,-72.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,21
-180.00,-74.00,
-85.00,-74.00,
-72.00,-66.00,
-25.00,-60.00,
-15.00,-60.00,
-11.30,-50.00,
-9.50,-50.00,
-2.50,-46.00,
-1.60,-40.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
1.60,-40.00,
2.50,-46.00,
9.50,-50.00,
11.30,-50.00,
15.00,-60.00,
25.00,-60.00,
72.00,-66.00,
85.00,-74.00,
180.00,-74.00,
ENDFIL:,EOF
